1096BD,28,,Daniël Goedkoopstraat,Amsterdam
1096BD,30,,Daniël Goedkoopstraat,Amsterdam
1096BD,32,,Daniël Goedkoopstraat,Amsterdam
1096BD,34,,Daniël Goedkoopstraat,Amsterdam
1096BD,36,,Daniël Goedkoopstraat,Amsterdam
1096BE,3,,Abram Dudok van Heelstraat,Amsterdam
1073TJ,5,H,Verbindingstraat,Amsterdam
1073TJ,5,4,Verbindingstraat,Amsterdam
1052CX,100,H,Nassaukade,Amsterdam
1052CX,100,1,Nassaukade,Amsterdam
1021KN,3,,Johan van Hasseltweg,Amsterdam
1063JJ,10,,Jan Zwanenburghof,Amsterdam
1063JK,13,,Jan Zwanenburghof,Amsterdam
1063JK,14,,Jan Zwanenburghof,Amsterdam
1063JK,17,,Jan Zwanenburghof,Amsterdam
1063JL,18,,Jan Zwanenburghof,Amsterdam
1063JL,21,,Jan Zwanenburghof,Amsterdam
1063JL,22,,Jan Zwanenburghof,Amsterdam
1063JM,25,,Jan Zwanenburghof,Amsterdam
1063JM,26,,Jan Zwanenburghof,Amsterdam
1087LC,4,,Johan Huijsenstraat,Amsterdam
1087LC,6,,Johan Huijsenstraat,Amsterdam
1087LC,8,,Johan Huijsenstraat,Amsterdam
1087LC,10,,Johan Huijsenstraat,Amsterdam
1087LC,12,,Johan Huijsenstraat,Amsterdam
1087LC,14,,Johan Huijsenstraat,Amsterdam
1087LC,16,,Johan Huijsenstraat,Amsterdam
1087LC,18,,Johan Huijsenstraat,Amsterdam
1087LC,20,,Johan Huijsenstraat,Amsterdam
1087LC,22,,Johan Huijsenstraat,Amsterdam
1087LC,24,,Johan Huijsenstraat,Amsterdam
1087LC,26,,Johan Huijsenstraat,Amsterdam
1087LC,28,,Johan Huijsenstraat,Amsterdam
1087LC,30,,Johan Huijsenstraat,Amsterdam
1087LC,32,,Johan Huijsenstraat,Amsterdam
1087LC,34,,Johan Huijsenstraat,Amsterdam
1087LC,36,,Johan Huijsenstraat,Amsterdam
1087LC,38,,Johan Huijsenstraat,Amsterdam
1087LC,40,,Johan Huijsenstraat,Amsterdam
1087LC,42,,Johan Huijsenstraat,Amsterdam
1087LE,84,,Ben van Meerendonkstraat,Amsterdam
1087LE,86,,Ben van Meerendonkstraat,Amsterdam
1087LE,88,,Ben van Meerendonkstraat,Amsterdam
1087LE,90,,Ben van Meerendonkstraat,Amsterdam
1087LE,92,,Ben van Meerendonkstraat,Amsterdam
1087LE,94,,Ben van Meerendonkstraat,Amsterdam
1087LE,96,,Ben van Meerendonkstraat,Amsterdam
1087LE,98,,Ben van Meerendonkstraat,Amsterdam
1087LE,100,,Ben van Meerendonkstraat,Amsterdam
1087LE,102,,Ben van Meerendonkstraat,Amsterdam
1087LE,104,,Ben van Meerendonkstraat,Amsterdam
1087LE,106,,Ben van Meerendonkstraat,Amsterdam
1087LE,108,,Ben van Meerendonkstraat,Amsterdam
1087LE,110,,Ben van Meerendonkstraat,Amsterdam
1087LE,112,,Ben van Meerendonkstraat,Amsterdam
1087LE,114,,Ben van Meerendonkstraat,Amsterdam
1087LE,116,,Ben van Meerendonkstraat,Amsterdam
1087LE,118,,Ben van Meerendonkstraat,Amsterdam
1087LE,120,,Ben van Meerendonkstraat,Amsterdam
1087LE,122,,Ben van Meerendonkstraat,Amsterdam
1087LE,124,,Ben van Meerendonkstraat,Amsterdam
1087LE,126,,Ben van Meerendonkstraat,Amsterdam
1087LE,128,,Ben van Meerendonkstraat,Amsterdam
1087LL,121,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,123,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,125,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,127,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,129,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,131,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,133,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,135,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,137,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,139,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,141,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,143,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,145,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,147,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,149,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1087LL,151,,Fritz Dietrich Kahlenbergstraat,Amsterdam
1075CJ,93,,Koninginneweg,Amsterdam
1087GC,134,,Mattenbiesstraat,Amsterdam
1087LC,44,,Johan Huijsenstraat,Amsterdam
1087LC,46,,Johan Huijsenstraat,Amsterdam
1087LC,48,,Johan Huijsenstraat,Amsterdam
1087LC,50,,Johan Huijsenstraat,Amsterdam
1087LC,52,,Johan Huijsenstraat,Amsterdam
1087LC,54,,Johan Huijsenstraat,Amsterdam
1087LB,75,,Ben van Meerendonkstraat,Amsterdam
1087LB,77,,Ben van Meerendonkstraat,Amsterdam
1087LB,79,,Ben van Meerendonkstraat,Amsterdam
1087LB,81,,Ben van Meerendonkstraat,Amsterdam
1087LB,83,,Ben van Meerendonkstraat,Amsterdam
1087LB,85,,Ben van Meerendonkstraat,Amsterdam
1087LB,87,,Ben van Meerendonkstraat,Amsterdam
1087LB,89,,Ben van Meerendonkstraat,Amsterdam
1087LB,91,,Ben van Meerendonkstraat,Amsterdam
1087LB,93,,Ben van Meerendonkstraat,Amsterdam
1087LB,95,,Ben van Meerendonkstraat,Amsterdam
1087LB,97,,Ben van Meerendonkstraat,Amsterdam
1087LB,99,,Ben van Meerendonkstraat,Amsterdam
1087LB,101,,Ben van Meerendonkstraat,Amsterdam
1087LB,103,,Ben van Meerendonkstraat,Amsterdam
1087LB,105,,Ben van Meerendonkstraat,Amsterdam
1087LB,107,,Ben van Meerendonkstraat,Amsterdam
1087LB,109,,Ben van Meerendonkstraat,Amsterdam
1087LB,111,,Ben van Meerendonkstraat,Amsterdam
1087LB,113,,Ben van Meerendonkstraat,Amsterdam
1087LB,115,,Ben van Meerendonkstraat,Amsterdam
1087LB,117,,Ben van Meerendonkstraat,Amsterdam
1087LB,119,,Ben van Meerendonkstraat,Amsterdam
1087LB,121,,Ben van Meerendonkstraat,Amsterdam
1087LB,123,,Ben van Meerendonkstraat,Amsterdam
1087LB,125,,Ben van Meerendonkstraat,Amsterdam
1087LB,127,,Ben van Meerendonkstraat,Amsterdam
1087LB,129,,Ben van Meerendonkstraat,Amsterdam
1087LB,131,,Ben van Meerendonkstraat,Amsterdam
1087LB,133,,Ben van Meerendonkstraat,Amsterdam
1087LB,135,,Ben van Meerendonkstraat,Amsterdam
1087LB,137,,Ben van Meerendonkstraat,Amsterdam
1087LB,139,,Ben van Meerendonkstraat,Amsterdam
1087LB,141,,Ben van Meerendonkstraat,Amsterdam
1087LB,143,,Ben van Meerendonkstraat,Amsterdam
1087LB,145,,Ben van Meerendonkstraat,Amsterdam
1087LB,147,,Ben van Meerendonkstraat,Amsterdam
1087LB,149,,Ben van Meerendonkstraat,Amsterdam
1087LB,151,,Ben van Meerendonkstraat,Amsterdam
1087LB,153,,Ben van Meerendonkstraat,Amsterdam
1087LB,155,,Ben van Meerendonkstraat,Amsterdam
1087LB,157,,Ben van Meerendonkstraat,Amsterdam
1087LB,159,,Ben van Meerendonkstraat,Amsterdam
1087LB,161,,Ben van Meerendonkstraat,Amsterdam
1087LB,163,,Ben van Meerendonkstraat,Amsterdam
1087LB,165,,Ben van Meerendonkstraat,Amsterdam
1087LB,167,,Ben van Meerendonkstraat,Amsterdam
1087LB,169,,Ben van Meerendonkstraat,Amsterdam
1087LB,171,,Ben van Meerendonkstraat,Amsterdam
1087LB,173,,Ben van Meerendonkstraat,Amsterdam
1087LB,175,,Ben van Meerendonkstraat,Amsterdam
1087LB,177,,Ben van Meerendonkstraat,Amsterdam
1087LB,179,,Ben van Meerendonkstraat,Amsterdam
1087LB,181,,Ben van Meerendonkstraat,Amsterdam
1087LB,183,,Ben van Meerendonkstraat,Amsterdam
1087LB,185,,Ben van Meerendonkstraat,Amsterdam
1087LB,187,,Ben van Meerendonkstraat,Amsterdam
1087LB,189,,Ben van Meerendonkstraat,Amsterdam
1087LB,191,,Ben van Meerendonkstraat,Amsterdam
1087LB,193,,Ben van Meerendonkstraat,Amsterdam
1087LB,195,,Ben van Meerendonkstraat,Amsterdam
1087LB,197,,Ben van Meerendonkstraat,Amsterdam
1087LB,199,,Ben van Meerendonkstraat,Amsterdam
1087LB,201,,Ben van Meerendonkstraat,Amsterdam
1087LB,203,,Ben van Meerendonkstraat,Amsterdam
1087LB,205,,Ben van Meerendonkstraat,Amsterdam
1087LB,207,,Ben van Meerendonkstraat,Amsterdam
1087LB,209,,Ben van Meerendonkstraat,Amsterdam
1087LB,211,,Ben van Meerendonkstraat,Amsterdam
1087LB,213,,Ben van Meerendonkstraat,Amsterdam
1087LD,22,,Marius Meijboomstraat,Amsterdam
1087LD,24,,Marius Meijboomstraat,Amsterdam
1087LD,26,,Marius Meijboomstraat,Amsterdam
1087LD,28,,Marius Meijboomstraat,Amsterdam
1087LD,30,,Marius Meijboomstraat,Amsterdam
1087LD,32,,Marius Meijboomstraat,Amsterdam
1087LD,34,,Marius Meijboomstraat,Amsterdam
1087LD,36,,Marius Meijboomstraat,Amsterdam
1087LD,38,,Marius Meijboomstraat,Amsterdam
1087LD,40,,Marius Meijboomstraat,Amsterdam
1087LD,42,,Marius Meijboomstraat,Amsterdam
1087LD,44,,Marius Meijboomstraat,Amsterdam
1087LD,46,,Marius Meijboomstraat,Amsterdam
1087LD,48,,Marius Meijboomstraat,Amsterdam
1087LD,50,,Marius Meijboomstraat,Amsterdam
1087LD,52,,Marius Meijboomstraat,Amsterdam
1087LD,54,,Marius Meijboomstraat,Amsterdam
1087LD,56,,Marius Meijboomstraat,Amsterdam
1087LD,58,,Marius Meijboomstraat,Amsterdam
1087LD,60,,Marius Meijboomstraat,Amsterdam
