2036JA,17,,Assumburg,Haarlem
2036JB,18,,Assumburg,Haarlem
2036JA,19,,Assumburg,Haarlem
2036JB,20,,Assumburg,Haarlem
2036JA,21,,Assumburg,Haarlem
2036JB,22,,Assumburg,Haarlem
2036JA,23,,Assumburg,Haarlem
2036JB,24,,Assumburg,Haarlem
2036JA,25,,Assumburg,Haarlem
2036JB,26,,Assumburg,Haarlem
2036JA,27,,Assumburg,Haarlem
2036JB,28,,Assumburg,Haarlem
2036JA,29,,Assumburg,Haarlem
2036JB,30,,Assumburg,Haarlem
2036JA,31,,Assumburg,Haarlem
2036JB,32,,Assumburg,Haarlem
2036JA,33,,Assumburg,Haarlem
2036JB,34,,Assumburg,Haarlem
2036JA,35,,Assumburg,Haarlem
2036JB,36,,Assumburg,Haarlem
2036JA,37,,Assumburg,Haarlem
2036JB,38,,Assumburg,Haarlem
2036JA,39,,Assumburg,Haarlem
2036JB,40,,Assumburg,Haarlem
2036JB,42,,Assumburg,Haarlem
2036JB,44,,Assumburg,Haarlem
2036JB,46,,Assumburg,Haarlem
2036JB,48,,Assumburg,Haarlem
2036JB,50,,Assumburg,Haarlem
2036JB,52,,Assumburg,Haarlem
2012XL,1,,Asterstraat,Haarlem
2012XL,9,0001,Asterstraat,Haarlem
2012XL,11,0101,Asterstraat,Haarlem
2012XL,14,,Asterstraat,Haarlem
2012XL,16,,Asterstraat,Haarlem
2012XL,18,,Asterstraat,Haarlem
2012XL,20,,Asterstraat,Haarlem
2034EB,2,,Athenestraat,Haarlem
2034EB,4,,Athenestraat,Haarlem
2034EB,6,,Athenestraat,Haarlem
2034EB,8,,Athenestraat,Haarlem
2034EB,10,,Athenestraat,Haarlem
2034EB,12,,Athenestraat,Haarlem
2034EB,14,,Athenestraat,Haarlem
2034EB,16,,Athenestraat,Haarlem
2034EB,18,,Athenestraat,Haarlem
2034EB,20,,Athenestraat,Haarlem
2034EB,22,,Athenestraat,Haarlem
2034EB,24,,Athenestraat,Haarlem
2034EB,26,,Athenestraat,Haarlem
2034EB,28,,Athenestraat,Haarlem
2034EB,30,,Athenestraat,Haarlem
2034EA,31,,Athenestraat,Haarlem
2034EB,32,,Athenestraat,Haarlem
2034EB,34,,Athenestraat,Haarlem
2034EB,36,,Athenestraat,Haarlem
2034EB,38,,Athenestraat,Haarlem
2034EB,40,,Athenestraat,Haarlem
2034EB,42,,Athenestraat,Haarlem
2034EB,44,,Athenestraat,Haarlem
2034EB,46,,Athenestraat,Haarlem
2022BL,1,,Atjehstraat,Haarlem
2022BL,3,,Atjehstraat,Haarlem
2022BP,4,,Atjehstraat,Haarlem
2022BL,5,,Atjehstraat,Haarlem
2022BP,6,,Atjehstraat,Haarlem
2022BL,7,,Atjehstraat,Haarlem
2022BP,8,,Atjehstraat,Haarlem
2022BL,9,,Atjehstraat,Haarlem
2022BP,10,,Atjehstraat,Haarlem
2022BL,11,,Atjehstraat,Haarlem
2022BP,12,,Atjehstraat,Haarlem
2022BL,13,,Atjehstraat,Haarlem
2022BP,14,,Atjehstraat,Haarlem
2022BL,15,,Atjehstraat,Haarlem
2022BP,16,,Atjehstraat,Haarlem
2022BL,17,,Atjehstraat,Haarlem
2022BP,18,,Atjehstraat,Haarlem
2022BL,19,,Atjehstraat,Haarlem
2022BP,20,,Atjehstraat,Haarlem
2022BL,21,,Atjehstraat,Haarlem
2022BP,22,,Atjehstraat,Haarlem
2022BL,23,,Atjehstraat,Haarlem
2022BP,24,,Atjehstraat,Haarlem
2022BL,25,,Atjehstraat,Haarlem
2022BP,26,,Atjehstraat,Haarlem
2022BL,27,,Atjehstraat,Haarlem
2022BP,28,,Atjehstraat,Haarlem
2022BL,29,,Atjehstraat,Haarlem
2022BP,30,,Atjehstraat,Haarlem
2022BL,31,,Atjehstraat,Haarlem
2022BP,32,,Atjehstraat,Haarlem
2022BL,33,,Atjehstraat,Haarlem
2022BP,34,,Atjehstraat,Haarlem
2022BL,35,,Atjehstraat,Haarlem
2022BP,36,,Atjehstraat,Haarlem
2022BL,37,,Atjehstraat,Haarlem
2022BR,38,,Atjehstraat,Haarlem
2022BL,39,,Atjehstraat,Haarlem
2022BR,40,,Atjehstraat,Haarlem
2022BL,41,,Atjehstraat,Haarlem
2022BR,42,,Atjehstraat,Haarlem
2022BL,43,,Atjehstraat,Haarlem
2022BR,44,,Atjehstraat,Haarlem
2022BM,45,,Atjehstraat,Haarlem
2022BR,46,,Atjehstraat,Haarlem
2022BM,47,,Atjehstraat,Haarlem
2022BR,48,,Atjehstraat,Haarlem
2022ZM,2,,Madoerastraat,Haarlem
