147,2985AP,Kerkweg,Ridderkerk
123,2985TL,Van Lennepstraat,Ridderkerk
129,2985TL,Van Lennepstraat,Ridderkerk
141,2985TL,Van Lennepstraat,Ridderkerk
139,2985TL,Van Lennepstraat,Ridderkerk
95,2985TL,Van Lennepstraat,Ridderkerk
110,2983AJ,Mozartstraat,Ridderkerk
102,2983AJ,Mozartstraat,Ridderkerk
132,2983AJ,Mozartstraat,Ridderkerk
140,2983AJ,Mozartstraat,Ridderkerk
124,2983AJ,Mozartstraat,Ridderkerk
122,2983AJ,Mozartstraat,Ridderkerk
98,2983AJ,Mozartstraat,Ridderkerk
92,2983AJ,Mozartstraat,Ridderkerk
84,2983AJ,Mozartstraat,Ridderkerk
82,2983AJ,Mozartstraat,Ridderkerk
22,2984XE,Clara Wichmannstraat,Ridderkerk
69,2984XG,Clara Wichmannstraat,Ridderkerk
58,2984XD,Christine Mohrmannstraat,Ridderkerk
26,2982XN,Talmastraat,Ridderkerk
80,2984XG,Clara Wichmannstraat,Ridderkerk
102,2984XJ,Clara Wichmannstraat,Ridderkerk
107,2984XJ,Clara Wichmannstraat,Ridderkerk
106,2984XJ,Clara Wichmannstraat,Ridderkerk
10,2981CC,Ferdinand Bolstraat,Ridderkerk
14,2981CC,Ferdinand Bolstraat,Ridderkerk
18,2981CC,Ferdinand Bolstraat,Ridderkerk
33,2987EG,Krammerhof,Ridderkerk
27,2982XP,Poesiatstraat,Ridderkerk
30,2982XN,Talmastraat,Ridderkerk
23,2982XP,Poesiatstraat,Ridderkerk
20,2982XR,Poesiatstraat,Ridderkerk
87,2984EH,Van Leeuwenhoekstraat,Ridderkerk
42,2986AA,Oostmolendijk,Ridderkerk
17,2985CR,Van Eedenstraat,Ridderkerk
13,2985CR,Van Eedenstraat,Ridderkerk
15,2985CR,Van Eedenstraat,Ridderkerk
14,2985CS,Van Eedenstraat,Ridderkerk
9,2981AE,Burgemeester de Zeeuwstraat,Ridderkerk
11,2981AE,Burgemeester de Zeeuwstraat,Ridderkerk
6,2982CM,Kastanjelaan,Ridderkerk
223,2986AA,Oostmolendijk,Ridderkerk
84,2986AA,Oostmolendijk,Ridderkerk
27,2988CG,Voorweg,Ridderkerk
27,2985CR,Van Eedenstraat,Ridderkerk
28,2985CS,Van Eedenstraat,Ridderkerk
1,2984AZ,Valkenierstraat,Ridderkerk
