2612AM,18,,Sumatrastraat,Delft
2612AM,12,,Sumatrastraat,Delft
2612AM,32,,Sumatrastraat,Delft
2612AM,14,,Sumatrastraat,Delft
2612AM,20,,Sumatrastraat,Delft
2612AM,24,,Sumatrastraat,Delft
2612AM,22,,Sumatrastraat,Delft
2612AM,30,,Sumatrastraat,Delft
2612AM,34,,Sumatrastraat,Delft
2612AM,38,,Sumatrastraat,Delft
2612AL,41,,Sumatrastraat,Delft
2612AL,43,,Sumatrastraat,Delft
2612AD,2,,Borneostraat,Delft
2612AD,20,,Borneostraat,Delft
2612AD,4,,Borneostraat,Delft
2612AD,6,,Borneostraat,Delft
2612AD,8,,Borneostraat,Delft
2612AD,10,,Borneostraat,Delft
2612AD,12,,Borneostraat,Delft
2612AD,14,,Borneostraat,Delft
2612AD,16,,Borneostraat,Delft
2612AD,18,,Borneostraat,Delft
2612AC,1,,Borneostraat,Delft
2612AC,3,,Borneostraat,Delft
2612AC,5,,Borneostraat,Delft
2612AC,7,,Borneostraat,Delft
2612AC,9,,Borneostraat,Delft
2612AC,11,,Borneostraat,Delft
2612AC,13,,Borneostraat,Delft
2612AC,15,,Borneostraat,Delft
2612AC,17,,Borneostraat,Delft
2612AC,19,,Borneostraat,Delft
2612AC,21,,Borneostraat,Delft
2612AC,23,,Borneostraat,Delft
2612AC,25,,Borneostraat,Delft
2612AC,27,,Borneostraat,Delft
2612AC,29,,Borneostraat,Delft
2612AC,31,,Borneostraat,Delft
2612AC,33,,Borneostraat,Delft
2612AC,35,,Borneostraat,Delft
2612AC,37,,Borneostraat,Delft
2612BJ,1,,Sabangstraat,Delft
2612BJ,3,,Sabangstraat,Delft
2612BJ,5,,Sabangstraat,Delft
2612BJ,7,,Sabangstraat,Delft
2612BJ,9,,Sabangstraat,Delft
2612BJ,11,,Sabangstraat,Delft
2612BJ,13,,Sabangstraat,Delft
2612BJ,15,,Sabangstraat,Delft
2612BJ,17,,Sabangstraat,Delft
2612BJ,21,,Sabangstraat,Delft
2612BJ,23,,Sabangstraat,Delft
2612BJ,19,,Sabangstraat,Delft
2612BJ,25,,Sabangstraat,Delft
2612BJ,27,,Sabangstraat,Delft
2612BK,2,,Sabangstraat,Delft
2612BK,4,,Sabangstraat,Delft
2612BK,6,,Sabangstraat,Delft
2612BK,8,,Sabangstraat,Delft
2612BK,10,,Sabangstraat,Delft
2612BK,12,,Sabangstraat,Delft
2612BK,14,,Sabangstraat,Delft
2612BK,16,,Sabangstraat,Delft
2612BK,18,,Sabangstraat,Delft
2612BK,20,,Sabangstraat,Delft
2612BK,22,,Sabangstraat,Delft
2612BK,24,,Sabangstraat,Delft
2612BK,26,,Sabangstraat,Delft
2612BK,28,,Sabangstraat,Delft
2628VG,48,,Spiekmanstraat,Delft
2628VG,50,,Spiekmanstraat,Delft
2628VG,52,,Spiekmanstraat,Delft
2628VG,54,,Spiekmanstraat,Delft
2628BN,2,,Charlotte de Bourbonstraat,Delft
2628BN,4,,Charlotte de Bourbonstraat,Delft
2628BN,6,,Charlotte de Bourbonstraat,Delft
2628BN,8,,Charlotte de Bourbonstraat,Delft
2628BN,10,,Charlotte de Bourbonstraat,Delft
2628BN,12,,Charlotte de Bourbonstraat,Delft
2628BN,14,,Charlotte de Bourbonstraat,Delft
2628BN,16,,Charlotte de Bourbonstraat,Delft
2628BN,18,,Charlotte de Bourbonstraat,Delft
2628BN,20,,Charlotte de Bourbonstraat,Delft
2628BN,22,,Charlotte de Bourbonstraat,Delft
2628BN,24,,Charlotte de Bourbonstraat,Delft
2628BM,5,,Poortlandplein,Delft
2628BM,2,,Poortlandplein,Delft
2628BM,4,,Poortlandplein,Delft
2628BM,3,,Poortlandplein,Delft
2628GA,1,,Nassaulaan,Delft
2628GA,5,,Nassaulaan,Delft
2628GA,7,,Nassaulaan,Delft
2628GA,11,,Nassaulaan,Delft
2628GA,13,,Nassaulaan,Delft
2628GA,17,,Nassaulaan,Delft
2628GA,3,,Nassaulaan,Delft
2628GA,9,,Nassaulaan,Delft
2628GA,15,,Nassaulaan,Delft
2628GA,19,,Nassaulaan,Delft
2628GA,21,,Nassaulaan,Delft
2628VB,1,,Wippolderstraat,Delft
2628VB,3,,Wippolderstraat,Delft
2628VB,5,,Wippolderstraat,Delft
2628VB,7,,Wippolderstraat,Delft
2628VB,9,,Wippolderstraat,Delft
2628VB,11,,Wippolderstraat,Delft
2628VB,13,,Wippolderstraat,Delft
2628VB,15,,Wippolderstraat,Delft
2628VB,17,,Wippolderstraat,Delft
2628VB,19,,Wippolderstraat,Delft
2628VB,21,,Wippolderstraat,Delft
2628VB,23,,Wippolderstraat,Delft
2628VB,25,,Wippolderstraat,Delft
2628VB,27,,Wippolderstraat,Delft
2628VB,29,,Wippolderstraat,Delft
2628VC,2,,Wippolderstraat,Delft
2628VC,4,,Wippolderstraat,Delft
2628VC,6,,Wippolderstraat,Delft
2628VC,8,,Wippolderstraat,Delft
2628VC,10,,Wippolderstraat,Delft
2628VC,12,,Wippolderstraat,Delft
2628VC,14,,Wippolderstraat,Delft
2628VC,16,,Wippolderstraat,Delft
2628VC,18,,Wippolderstraat,Delft
2628VC,20,,Wippolderstraat,Delft
2628VC,22,,Wippolderstraat,Delft
2628VC,24,,Wippolderstraat,Delft
2628VC,26,,Wippolderstraat,Delft
2628VC,28,,Wippolderstraat,Delft
2628VC,30,,Wippolderstraat,Delft
2628VC,32,,Wippolderstraat,Delft
2628TT,3,,Van Oldenbarneveltstraat,Delft
2628TT,7,,Van Oldenbarneveltstraat,Delft
2628TT,9,,Van Oldenbarneveltstraat,Delft
2628TT,11,,Van Oldenbarneveltstraat,Delft
2628TT,13,,Van Oldenbarneveltstraat,Delft
2628TT,15,,Van Oldenbarneveltstraat,Delft
2628TT,17,,Van Oldenbarneveltstraat,Delft
2628TT,19,,Van Oldenbarneveltstraat,Delft
2628TT,21,,Van Oldenbarneveltstraat,Delft
2628TT,23,,Van Oldenbarneveltstraat,Delft
2628TT,25,,Van Oldenbarneveltstraat,Delft
2628TV,27,,Van Oldenbarneveltstraat,Delft
2628TV,29,,Van Oldenbarneveltstraat,Delft
2628TV,31,,Van Oldenbarneveltstraat,Delft
2628TV,33,,Van Oldenbarneveltstraat,Delft
2628TV,35,,Van Oldenbarneveltstraat,Delft
2628TV,37,,Van Oldenbarneveltstraat,Delft
2628TV,39,,Van Oldenbarneveltstraat,Delft
2628TL,1,,Jan Willem Frisostraat,Delft
2628TL,3,,Jan Willem Frisostraat,Delft
2628TL,5,,Jan Willem Frisostraat,Delft
2628TR,50,,Jan Willem Frisostraat,Delft
2628TR,52,,Jan Willem Frisostraat,Delft
2628TR,54,,Jan Willem Frisostraat,Delft
2628TC,40,,Frederik Hendrikstraat,Delft
2628TC,42,,Frederik Hendrikstraat,Delft
2628TC,44,,Frederik Hendrikstraat,Delft
2628TC,46,,Frederik Hendrikstraat,Delft
2628TC,48,,Frederik Hendrikstraat,Delft
2628TC,50,,Frederik Hendrikstraat,Delft
2628TC,52,,Frederik Hendrikstraat,Delft
2628TC,54,,Frederik Hendrikstraat,Delft
2628TC,56,,Frederik Hendrikstraat,Delft
2628TC,58,,Frederik Hendrikstraat,Delft
2628TC,60,,Frederik Hendrikstraat,Delft
2628TC,62,,Frederik Hendrikstraat,Delft
2628TC,64,,Frederik Hendrikstraat,Delft
2628TC,66,,Frederik Hendrikstraat,Delft
2628TC,68,,Frederik Hendrikstraat,Delft
2628TC,70,,Frederik Hendrikstraat,Delft
2628SZ,91,,Frederik Hendrikstraat,Delft
2628SZ,93,,Frederik Hendrikstraat,Delft
2628TA,95,,Frederik Hendrikstraat,Delft
2628TA,97,,Frederik Hendrikstraat,Delft
2628TA,99,,Frederik Hendrikstraat,Delft
2628TA,101,,Frederik Hendrikstraat,Delft
2628TA,103,,Frederik Hendrikstraat,Delft
2628TA,105,,Frederik Hendrikstraat,Delft
2628TA,107,,Frederik Hendrikstraat,Delft
2628TA,109,,Frederik Hendrikstraat,Delft
2628TA,111,,Frederik Hendrikstraat,Delft
2628TA,113,,Frederik Hendrikstraat,Delft
2628TA,117,,Frederik Hendrikstraat,Delft
2628TA,119,,Frederik Hendrikstraat,Delft
2628TA,121,,Frederik Hendrikstraat,Delft
2628TA,123,,Frederik Hendrikstraat,Delft
2628TA,125,,Frederik Hendrikstraat,Delft
2628TA,127,,Frederik Hendrikstraat,Delft
