8603VN,27,,Priorstraat,Sneek
8603XC,50,,Parallelweg,Sneek
8603AC,25,,Looxmadwarsstraat,Sneek
8603AJ,43,,Kapelstraat,Sneek
8603VX,43,,Vesperstraat,Sneek
8603XT,52,,Looxmastraat,Sneek
8603AC,23,,Looxmadwarsstraat,Sneek
8606XT,14,,Woudvaartkade,Sneek
8603XT,50,,Looxmastraat,Sneek
8602VP,21,,Spitaal,Sneek
8602VR,55,,Spitaal,Sneek
8603AB,22,,Looxmagracht,Sneek
8603AB,23,,Looxmagracht,Sneek
8602DC,7,,Vogelzwin,Sneek
8603VX,41,,Vesperstraat,Sneek
8603VV,26,,Monnikstraat,Sneek
8603VN,23,,Priorstraat,Sneek
8602VR,54,,Spitaal,Sneek
8607ET,2,,Wilgeroosje,Sneek
8602DC,23,,Vogelzwin,Sneek
8602DC,25,,Vogelzwin,Sneek
8603XC,49,,Parallelweg,Sneek
8602VP,20,,Spitaal,Sneek
8603XH,4,,Kloosterstraat,Sneek
8602VP,19,,Spitaal,Sneek
8606XZ,68,,Koopmansgracht,Sneek
8602CX,17,,Vliestroom,Sneek
8603AB,21,,Looxmagracht,Sneek
8601AK,38,,Singel,Sneek
8606XZ,67,,Koopmansgracht,Sneek
8606XT,12,,Woudvaartkade,Sneek
8603XT,48,,Looxmastraat,Sneek
8601AA,14,,Harinxmakade,Sneek
8607ET,14,,Wilgeroosje,Sneek
8603VX,37,,Vesperstraat,Sneek
8603VX,39,,Vesperstraat,Sneek
8603XH,2,,Kloosterstraat,Sneek
8607ET,1,,Wilgeroosje,Sneek
8607ET,4,,Wilgeroosje,Sneek
8607ET,13,,Wilgeroosje,Sneek
8607ET,16,,Wilgeroosje,Sneek
8603VN,21,,Priorstraat,Sneek
8603VN,19,,Priorstraat,Sneek
8607ET,3,,Wilgeroosje,Sneek
8606XT,10,,Woudvaartkade,Sneek
8607ET,15,,Wilgeroosje,Sneek
8603VV,14,,Monnikstraat,Sneek
8601BH,8,,Kleinzand,Sneek
8602DC,11,,Vogelzwin,Sneek
8602DC,13,,Vogelzwin,Sneek
8602VR,28,,Spitaal,Sneek
8603VV,18,,Monnikstraat,Sneek
8607HW,1,,Parelmoervlinder,Sneek
8603VX,35,,Vesperstraat,Sneek
8602DC,15,,Vogelzwin,Sneek
8603XT,46,,Looxmastraat,Sneek
8606XT,8,,Woudvaartkade,Sneek
8603VN,17,,Priorstraat,Sneek
8602VR,30,,Spitaal,Sneek
8602VR,31,,Spitaal,Sneek
8602CX,15,,Vliestroom,Sneek
8602VR,58,,Spitaal,Sneek
8602VR,57,,Spitaal,Sneek
8601AJ,2,,Singel,Sneek
8603VV,16,,Monnikstraat,Sneek
8601AL,62,,Singel,Sneek
8601AL,64,,Singel,Sneek
8602VR,60,,Spitaal,Sneek
8603XC,46,,Parallelweg,Sneek
8602VR,29,,Spitaal,Sneek
8603VX,33,,Vesperstraat,Sneek
8603XT,44,,Looxmastraat,Sneek
8606XZ,72,,Koopmansgracht,Sneek
8606XZ,74,,Koopmansgracht,Sneek
8602VR,59,,Spitaal,Sneek
8603VN,15,,Priorstraat,Sneek
8606XZ,76,,Koopmansgracht,Sneek
8601BP,11,,Oosterdijk,Sneek
8603XC,45,,Parallelweg,Sneek
8602DC,21,,Vogelzwin,Sneek
8602CX,13,,Vliestroom,Sneek
8607HW,2,,Parelmoervlinder,Sneek
8602DC,17,,Vogelzwin,Sneek
8601AJ,4,,Singel,Sneek
8606XZ,69,,Koopmansgracht,Sneek
8603VN,13,,Priorstraat,Sneek
8606XZ,78,,Koopmansgracht,Sneek
8607HW,3,,Parelmoervlinder,Sneek
8603XT,40,,Looxmastraat,Sneek
8603VN,9,,Priorstraat,Sneek
8603VX,27,,Vesperstraat,Sneek
8607HW,4,,Parelmoervlinder,Sneek
8602VP,17,,Spitaal,Sneek
8602VP,18,,Spitaal,Sneek
8603VN,11,,Priorstraat,Sneek
8602CX,11,,Vliestroom,Sneek
8601AK,34,,Singel,Sneek
8607HW,5,,Parelmoervlinder,Sneek
8601BW,4,,Gedempte Poortezijlen,Sneek
8603VV,10,,Monnikstraat,Sneek
8603AB,19,,Looxmagracht,Sneek
8603AB,18,,Looxmagracht,Sneek
8607HW,6,,Parelmoervlinder,Sneek
8606XZ,80,,Koopmansgracht,Sneek
8607HW,7,,Parelmoervlinder,Sneek
8602VP,16,,Spitaal,Sneek
8607EV,18,,Wilgeroosje,Sneek
8603VV,8,,Monnikstraat,Sneek
8602CK,54,,Breewijd,Sneek
8602CK,52,,Breewijd,Sneek
8606XZ,73,,Koopmansgracht,Sneek
8607HW,8,,Parelmoervlinder,Sneek
8607ET,6,,Wilgeroosje,Sneek
8607ET,5,,Wilgeroosje,Sneek
8607HW,9,,Parelmoervlinder,Sneek
8603VV,2,,Monnikstraat,Sneek
8603VX,29,,Vesperstraat,Sneek
8602VP,15,,Spitaal,Sneek
8603XC,43,,Parallelweg,Sneek
8607HW,11,,Parelmoervlinder,Sneek
8607HW,10,,Parelmoervlinder,Sneek
8602CX,9,,Vliestroom,Sneek
8602VS,62,,Spitaal,Sneek
8602VS,61,,Spitaal,Sneek
8607HW,12,,Parelmoervlinder,Sneek
8603VT,7,,Monnikstraat,Sneek
8607EV,17,,Wilgeroosje,Sneek
8607EV,20,,Wilgeroosje,Sneek
8602VS,67,,Spitaal,Sneek
8603AB,16,,Looxmagracht,Sneek
8603XL,2,,Schoolstraat,Sneek
8603XT,38,,Looxmastraat,Sneek
8603VV,4,,Monnikstraat,Sneek
8607EV,19,,Wilgeroosje,Sneek
8607HW,36,,Parelmoervlinder,Sneek
8607ET,8,,Wilgeroosje,Sneek
8607ET,7,,Wilgeroosje,Sneek
8607HW,31,,Parelmoervlinder,Sneek
8602VS,70,,Spitaal,Sneek
8607HW,30,,Parelmoervlinder,Sneek
8602VP,14,,Spitaal,Sneek
8607HW,14,,Parelmoervlinder,Sneek
8607HW,13,,Parelmoervlinder,Sneek
8602CK,39,,Breewijd,Sneek
8602CK,41,,Breewijd,Sneek
8602VP,13,,Spitaal,Sneek
8602VS,63,,Spitaal,Sneek
8603XL,4,,Schoolstraat,Sneek
8607HW,15,,Parelmoervlinder,Sneek
8601BW,15,,Gedempte Poortezijlen,Sneek
8601BW,17,,Gedempte Poortezijlen,Sneek
8607HW,16,,Parelmoervlinder,Sneek
8607EV,29,,Wilgeroosje,Sneek
8607EV,30,,Wilgeroosje,Sneek
