5688LB,1,,Ekerschotweg,Oirschot
5688MA,14,,Oude Grintweg,Oirschot
5688VS,4,,Glorie van Holland,Oirschot
5688VT,29,,den Bongerd,Oirschot
5688TA,3,,Dr Feijstraat,Oirschot
5688CL,44,,Michiel de Ruyterlaan,Oirschot
5688TR,8,,de Gaanderij,Oirschot
5688NJ,7,,Straten,Oirschot
5688VN,19,,de Rentmeester,Oirschot
5688PH,30,,Castaert,Oirschot
5688RD,25,,van Aerlestraat,Oirschot
5688DC,1,,Ekkermanstraat,Oirschot
5688VV,26,,Goudrenet,Oirschot
5688AZ,2,,de Lepelaar,Oirschot
5688TA,17,,Dr Feijstraat,Oirschot
5688CL,38,,Michiel de Ruyterlaan,Oirschot
5688PK,27,,Nevenakker,Oirschot
5688AC,25,,Molenstraat,Oirschot
5688KK,22,,Pandgat,Oirschot
5688VM,2,,de Schepen,Oirschot
5688NJ,3,,Straten,Oirschot
5688TG,90,,Spoordonkseweg,Oirschot
5688KE,90,,Spoordonkseweg,Oirschot
5688JW,1,,Broekstraat,Oirschot
5688NP,50,,Bestseweg,Oirschot
5688SB,9,,de Baansteen,Oirschot
5688ED,14,,Rijkesluisstraat,Oirschot
5688CM,11,,Jan van Speyklaan,Oirschot
5688DL,3,,Meervenstraat,Oirschot
5688VK,5,,de Schout,Oirschot
5688JS,3,,Langendonksedijk,Oirschot
5688DC,4,,Ekkermanstraat,Oirschot
5688RJ,11,,Snijdersstraat,Oirschot
5688PK,24,,Nevenakker,Oirschot
5688TA,4,,Dr Feijstraat,Oirschot
5688PJ,47,,Castaert,Oirschot
5688CE,33,,Kortenaarlaan,Oirschot
5688CW,14,,de Kastanjehof,Oirschot
5688DX,20,,van Beeckstraat,Oirschot
5688EG,20,,Pochelarij,Oirschot
5688DV,7,,van Audenhovenstraat,Oirschot
5688NB,17,,Notel,Oirschot
5688AW,33,,Gasthuisstraat,Oirschot
5688SJ,15,,het Luiwerk,Oirschot
5688JC,8,,Lubberstraat,Oirschot
5688EK,5,,Wilhelminakade,Oirschot
5688VH,11,,de Schutter,Oirschot
5688TR,20,,de Gaanderij,Oirschot
5688KC,91,,Spoordonkseweg,Oirschot
5688DX,13,,van Beeckstraat,Oirschot
5688CE,5,,Kortenaarlaan,Oirschot
5688KB,35,,Spoordonkseweg,Oirschot
5688PK,1,,Nevenakker,Oirschot
5688SJ,13,,het Luiwerk,Oirschot
5688KC,79,,Spoordonkseweg,Oirschot
