2941RN,43,,Roggetiende,Lekkerkerk
2941RN,45,,Roggetiende,Lekkerkerk
2941RN,47,,Roggetiende,Lekkerkerk
2941RN,49,,Roggetiende,Lekkerkerk
2941RN,51,,Roggetiende,Lekkerkerk
2941RN,2,,Roggetiende,Lekkerkerk
2941RN,4,,Roggetiende,Lekkerkerk
2941RN,6,,Roggetiende,Lekkerkerk
2941RN,8,,Roggetiende,Lekkerkerk
2941RN,10,,Roggetiende,Lekkerkerk
2941RN,12,,Roggetiende,Lekkerkerk
2941RN,14,,Roggetiende,Lekkerkerk
2941RN,16,,Roggetiende,Lekkerkerk
2941RN,18,,Roggetiende,Lekkerkerk
2941BA,3,,Dammestraat,Lekkerkerk
2941BA,5,,Dammestraat,Lekkerkerk
2931SB,11,ab,Molendijk,Krimpen aan de Lek
2931SB,17,,Molendijk,Krimpen aan de Lek
2931SB,21,ab,Molendijk,Krimpen aan de Lek
2931LD,37,ab,Zaag,Krimpen aan de Lek
2931LD,39,ab,Zaag,Krimpen aan de Lek
2931WB,4,,Marijke Staete,Krimpen aan de Lek
2931WB,7,,Marijke Staete,Krimpen aan de Lek
2931WB,5,,Marijke Staete,Krimpen aan de Lek
2931WB,3,,Marijke Staete,Krimpen aan de Lek
2931WB,6,,Marijke Staete,Krimpen aan de Lek
2931WB,9,,Marijke Staete,Krimpen aan de Lek
2931WB,8,,Marijke Staete,Krimpen aan de Lek
2931WB,11,,Marijke Staete,Krimpen aan de Lek
2941BL,271,,Kerkweg,Lekkerkerk
2941RP,2,,Korentiende,Lekkerkerk
2941RP,4,,Korentiende,Lekkerkerk
2941RP,6,,Korentiende,Lekkerkerk
2941RP,8,,Korentiende,Lekkerkerk
2941RP,10,,Korentiende,Lekkerkerk
2941RP,12,,Korentiende,Lekkerkerk
2941RP,14,,Korentiende,Lekkerkerk
2941RP,16,,Korentiende,Lekkerkerk
2941RP,18,,Korentiende,Lekkerkerk
2941RP,20,,Korentiende,Lekkerkerk
2941RP,22,,Korentiende,Lekkerkerk
2941RP,24,,Korentiende,Lekkerkerk
2941RP,26,,Korentiende,Lekkerkerk
2941RP,28,,Korentiende,Lekkerkerk
2941RP,30,,Korentiende,Lekkerkerk
2941RP,32,,Korentiende,Lekkerkerk
2941RP,34,,Korentiende,Lekkerkerk
2941RP,36,,Korentiende,Lekkerkerk
2941RP,38,,Korentiende,Lekkerkerk
2941RP,1,,Korentiende,Lekkerkerk
2941RP,3,,Korentiende,Lekkerkerk
2941RP,5,,Korentiende,Lekkerkerk
2941RP,7,,Korentiende,Lekkerkerk
2941RP,9,,Korentiende,Lekkerkerk
