1423RT,11,,Bruine Lijster,Uithoorn
1423RT,13,,Bruine Lijster,Uithoorn
1423RT,15,,Bruine Lijster,Uithoorn
1423RT,17,,Bruine Lijster,Uithoorn
1423RT,19,,Bruine Lijster,Uithoorn
1423RT,21,,Bruine Lijster,Uithoorn
1423RB,2,,Rietgans,Uithoorn
1423RB,4,,Rietgans,Uithoorn
1423RB,6,,Rietgans,Uithoorn
1423RB,8,,Rietgans,Uithoorn
1423RB,10,,Rietgans,Uithoorn
1423RB,30,,Rietgans,Uithoorn
1423RB,32,,Rietgans,Uithoorn
1423RB,34,,Rietgans,Uithoorn
1423RB,36,,Rietgans,Uithoorn
1423RB,38,,Rietgans,Uithoorn
1423RB,40,,Rietgans,Uithoorn
1423RB,42,,Rietgans,Uithoorn
1423RB,44,,Rietgans,Uithoorn
1423RB,46,,Rietgans,Uithoorn
1423RB,48,,Rietgans,Uithoorn
1423RA,1,,Rietgans,Uithoorn
1423RA,3,,Rietgans,Uithoorn
1423RA,5,,Rietgans,Uithoorn
1423RA,7,,Rietgans,Uithoorn
1423RA,9,,Rietgans,Uithoorn
1423RA,11,,Rietgans,Uithoorn
1423RA,13,,Rietgans,Uithoorn
1423RB,24,,Rietgans,Uithoorn
1423RB,26,,Rietgans,Uithoorn
1423RB,28,,Rietgans,Uithoorn
1423PV,17,,Roodhalsgans,Uithoorn
1423PV,19,,Roodhalsgans,Uithoorn
1423PV,21,,Roodhalsgans,Uithoorn
1423PV,23,,Roodhalsgans,Uithoorn
1423PV,25,,Roodhalsgans,Uithoorn
1423PV,27,,Roodhalsgans,Uithoorn
1423PV,29,,Roodhalsgans,Uithoorn
1423PV,31,,Roodhalsgans,Uithoorn
1423PV,33,,Roodhalsgans,Uithoorn
1423PV,35,,Roodhalsgans,Uithoorn
1423PV,37,,Roodhalsgans,Uithoorn
1423PV,39,,Roodhalsgans,Uithoorn
1423PV,41,,Roodhalsgans,Uithoorn
1423PW,37,,Canadese Gans,Uithoorn
1423PW,39,,Canadese Gans,Uithoorn
1423PV,1,,Roodhalsgans,Uithoorn
1423PV,3,,Roodhalsgans,Uithoorn
1423PV,5,,Roodhalsgans,Uithoorn
1423PV,7,,Roodhalsgans,Uithoorn
1423PV,9,,Roodhalsgans,Uithoorn
1423PV,11,,Roodhalsgans,Uithoorn
1423PV,13,,Roodhalsgans,Uithoorn
1423PV,15,,Roodhalsgans,Uithoorn
1423PB,1,,Azuurmees,Uithoorn
1423PB,3,,Azuurmees,Uithoorn
1423PM,1,,Canadese Gans,Uithoorn
1423PM,3,,Canadese Gans,Uithoorn
1423PM,5,,Canadese Gans,Uithoorn
1423PM,7,,Canadese Gans,Uithoorn
1423PM,9,,Canadese Gans,Uithoorn
1423NP,73,,Kuifmees,Uithoorn
1423NP,75,,Kuifmees,Uithoorn
1423NP,77,,Kuifmees,Uithoorn
1423NP,79,,Kuifmees,Uithoorn
1423NP,81,,Kuifmees,Uithoorn
1423NN,49,,Kuifmees,Uithoorn
1423NN,51,,Kuifmees,Uithoorn
1423NN,53,,Kuifmees,Uithoorn
1423NL,25,,Kuifmees,Uithoorn
1423NL,27,,Kuifmees,Uithoorn
1423NS,2,,Kuifmees,Uithoorn
1423NS,4,,Kuifmees,Uithoorn
1423NS,6,,Kuifmees,Uithoorn
1423NS,8,,Kuifmees,Uithoorn
1423NS,10,,Kuifmees,Uithoorn
1423NS,12,,Kuifmees,Uithoorn
1423NS,14,,Kuifmees,Uithoorn
1423NS,16,,Kuifmees,Uithoorn
1423NS,18,,Kuifmees,Uithoorn
1423NS,20,,Kuifmees,Uithoorn
1423NS,22,,Kuifmees,Uithoorn
1423NS,24,,Kuifmees,Uithoorn
1423NS,26,,Kuifmees,Uithoorn
1423NS,28,,Kuifmees,Uithoorn
1423NS,30,,Kuifmees,Uithoorn
1423NS,32,,Kuifmees,Uithoorn
1423PB,5,,Azuurmees,Uithoorn
1423PB,7,,Azuurmees,Uithoorn
1423PB,9,,Azuurmees,Uithoorn
1423PB,11,,Azuurmees,Uithoorn
1423PB,13,,Azuurmees,Uithoorn
1423PB,15,,Azuurmees,Uithoorn
1423PB,17,,Azuurmees,Uithoorn
1423PB,23,,Azuurmees,Uithoorn
1423PC,25,,Azuurmees,Uithoorn
1423PC,31,,Azuurmees,Uithoorn
1423PC,33,,Azuurmees,Uithoorn
1423PC,39,,Azuurmees,Uithoorn
1423NX,15,,Pimpelmees,Uithoorn
1423NX,17,,Pimpelmees,Uithoorn
1423PA,2,,Pimpelmees,Uithoorn
1423PA,4,,Pimpelmees,Uithoorn
1423PA,6,,Pimpelmees,Uithoorn
1423PA,8,,Pimpelmees,Uithoorn
1423PA,10,,Pimpelmees,Uithoorn
1423PA,12,,Pimpelmees,Uithoorn
1423PA,14,,Pimpelmees,Uithoorn
1423NR,97,,Kuifmees,Uithoorn
1423NR,101,,Kuifmees,Uithoorn
1423NR,103,,Kuifmees,Uithoorn
