8212CK,183,,Wijngaard,Lelystad
8212CK,185,,Wijngaard,Lelystad
8212CK,187,,Wijngaard,Lelystad
8212CK,188,,Wijngaard,Lelystad
8212CK,189,,Wijngaard,Lelystad
8212CL,191,,Wijngaard,Lelystad
8212CL,192,,Wijngaard,Lelystad
8212CL,193,,Wijngaard,Lelystad
8212CK,180,,Wijngaard,Lelystad
8212CL,195,,Wijngaard,Lelystad
8212CJ,165,,Wijngaard,Lelystad
8242JK,180,,Vliegent Hert,Lelystad
8242JK,182,,Vliegent Hert,Lelystad
8242JK,188,,Vliegent Hert,Lelystad
8242JK,190,,Vliegent Hert,Lelystad
8242JK,192,,Vliegent Hert,Lelystad
8242JK,196,,Vliegent Hert,Lelystad
8242JK,198,,Vliegent Hert,Lelystad
8242JK,206,,Vliegent Hert,Lelystad
8242JK,210,,Vliegent Hert,Lelystad
8242JK,212,,Vliegent Hert,Lelystad
8242JK,214,,Vliegent Hert,Lelystad
8242JK,218,,Vliegent Hert,Lelystad
8242JK,224,,Vliegent Hert,Lelystad
8242JE,191,,Saerdam,Lelystad
8242JE,193,,Saerdam,Lelystad
8242JE,197,,Saerdam,Lelystad
8242JE,243,,Saerdam,Lelystad
8242JE,249,,Saerdam,Lelystad
8242JE,199,,Saerdam,Lelystad
8242JE,201,,Saerdam,Lelystad
8242JE,207,,Saerdam,Lelystad
8232MA,35,,Tjalk 22,Lelystad
8232MC,28,,Tjalk 24,Lelystad
8232LS,22,,Tjalk 28,Lelystad
8232NJ,34,,Tjalk 30,Lelystad
8232ND,1,,Tjalk 31,Lelystad
8232MD,24,,Tjalk 33,Lelystad
8232LV,25,,Tjalk 34,Lelystad
8232MR,6,,Tjalk 35,Lelystad
8232MP,17,,Tjalk 35,Lelystad
8232MP,27,,Tjalk 35,Lelystad
8232MT,4,,Tjalk 36,Lelystad
8232MS,19,,Tjalk 36,Lelystad
8232MJ,4,,Tjalk 38,Lelystad
8232MK,68,,Tjalk 38,Lelystad
8232MV,12,,Tjalk 41,Lelystad
8232MZ,35,,Tjalk 41,Lelystad
8232NA,6,,Tjalk 42,Lelystad
8226JV,36,,Tjeukemeerstraat,Lelystad
8226TK,30,,Trompenburgh,Lelystad
8226TK,41,,Trompenburgh,Lelystad
8245CW,20,,Twente,Lelystad
8245CW,30,,Twente,Lelystad
8245CW,39,,Twente,Lelystad
8245CW,47,,Twente,Lelystad
8226RW,51,,Twickel,Lelystad
8245AB,17,,Uilenweg,Lelystad
8223DD,44,,Vecht,Lelystad
8226HM,6,,Veluwemeerstraat,Lelystad
8245BA,46,,Vijfherenlanden,Lelystad
8245BD,150,,Vijfherenlanden,Lelystad
8223CZ,33,,Vliehors,Lelystad
8226DH,16,,Vloedstraat,Lelystad
8226DH,7,,Vloedstraat,Lelystad
8226GR,27,,Volkerakstraat,Lelystad
8226HD,277,,Voorstraat,Lelystad
8226HA,214,,Voorstraat,Lelystad
8226HE,244,,Voorstraat,Lelystad
8226KD,455,,Voorstraat,Lelystad
8226KE,412,,Voorstraat,Lelystad
8226LZ,52,,Waalstraat,Lelystad
8245GG,3,,Waterland,Lelystad
8245GG,10,,Waterland,Lelystad
8245GG,41,,Waterland,Lelystad
8244EA,23,,Weerribben,Lelystad
8244EX,81,,Weerribben,Lelystad
8245CR,9,,Westergo,Lelystad
8245DD,12,,Westerwolde,Lelystad
8245DD,56,,Westerwolde,Lelystad
8245DH,7,,Westerwolde,Lelystad
8245DH,29,,Westerwolde,Lelystad
8212CD,66,,Wijngaard,Lelystad
8212CG,102,,Wijngaard,Lelystad
8212CL,199,,Wijngaard,Lelystad
8212CM,208,,Wijngaard,Lelystad
8222AE,3,,Wildbaan,Lelystad
8226BP,11,,Wittezeestraat,Lelystad
8226BR,77,,Wittezeestraat,Lelystad
8226BP,19,,Wittezeestraat,Lelystad
8224KJ,387,,Neringweg,Lelystad
8224KE,307,,Neringweg,Lelystad
8224KE,291,,Neringweg,Lelystad
8224KD,269,,Neringweg,Lelystad
8224KB,203,,Neringweg,Lelystad
8224KA,179,,Neringweg,Lelystad
8244AD,143,,Binnendijk,Lelystad
8226DG,73,,Getijdenlaan,Lelystad
8244BP,236,,Ringdijk,Lelystad
8244BN,216,,Ringdijk,Lelystad
8222AB,6,,Jagersveld,Lelystad
8222AB,8,,Jagersveld,Lelystad
8222AB,14,,Jagersveld,Lelystad
8222AB,16,,Jagersveld,Lelystad
8212CJ,168,,Wijngaard,Lelystad
8212CK,169,,Wijngaard,Lelystad
8243HG,47,,Jol 35,Lelystad
8243HG,51,,Jol 35,Lelystad
8243HG,53,,Jol 35,Lelystad
8243HG,55,,Jol 35,Lelystad
8243HG,59,,Jol 35,Lelystad
8243HG,61,,Jol 35,Lelystad
8243HG,65,,Jol 35,Lelystad
8232DZ,17,,Waagstraat,Lelystad
8211AJ,3,,Nikkelstraat,Lelystad
8243PN,20,1,Kolkweg,Lelystad
8243PN,20,12,Kolkweg,Lelystad
8243PN,20,13,Kolkweg,Lelystad
8243PN,20,14,Kolkweg,Lelystad
8243PN,20,15,Kolkweg,Lelystad
8243PN,20,16,Kolkweg,Lelystad
8243PN,20,18,Kolkweg,Lelystad
8243PN,20,6,Kolkweg,Lelystad
8243PN,20,7,Kolkweg,Lelystad
8243PN,20,9,Kolkweg,Lelystad
8243PN,20,2,Kolkweg,Lelystad
8243PN,20,3,Kolkweg,Lelystad
8243PN,20,20,Kolkweg,Lelystad
8243PN,20,21,Kolkweg,Lelystad
8243PN,20,22,Kolkweg,Lelystad
8243PN,20,25,Kolkweg,Lelystad
8243PN,20,27,Kolkweg,Lelystad
8225EL,24,,Kamp 27,Lelystad
8225EJ,42,,Kamp 26,Lelystad
8225EH,14,,Kamp 26,Lelystad
8225DX,23,,Kamp 23,Lelystad
8225DW,14,,Kamp 22,Lelystad
8225DV,6,,Kamp 21,Lelystad
8225DS,54,,Kamp 20,Lelystad
8225DS,44,,Kamp 20,Lelystad
8225DP,33,,Kamp 19,Lelystad
8225DN,5,,Kamp 18,Lelystad
8225DK,44,,Kamp 16,Lelystad
8225GC,38,,Kamp 14,Lelystad
8225GC,28,,Kamp 14,Lelystad
8225GB,45,,Kamp 13,Lelystad
8225GB,35,,Kamp 13,Lelystad
8225GA,1,,Kamp 13,Lelystad
8232RN,2,,Kolbergstraat,Lelystad
8232RN,4,,Kolbergstraat,Lelystad
8219AC,47,,Amstenrade,Lelystad
8232RN,6,,Kolbergstraat,Lelystad
8219AD,48,,Amstenrade,Lelystad
8232RN,8,,Kolbergstraat,Lelystad
8219AC,49,,Amstenrade,Lelystad
8219AD,50,,Amstenrade,Lelystad
8219AC,51,,Amstenrade,Lelystad
8219AD,52,,Amstenrade,Lelystad
8219AC,53,,Amstenrade,Lelystad
8219AC,57,,Amstenrade,Lelystad
8219AC,61,,Amstenrade,Lelystad
8219AC,62,,Amstenrade,Lelystad
8219AD,62,,Amstenrade,Lelystad
8219AC,63,,Amstenrade,Lelystad
8219AC,65,,Amstenrade,Lelystad
8219AC,67,,Amstenrade,Lelystad
8232RN,10,,Kolbergstraat,Lelystad
8232RN,12,,Kolbergstraat,Lelystad
8232RN,14,,Kolbergstraat,Lelystad
8232RN,16,,Kolbergstraat,Lelystad
8232RN,18,,Kolbergstraat,Lelystad
8239DA,2,,Apolloweg,Lelystad
8232RN,20,,Kolbergstraat,Lelystad
8231JE,35,,De Veste 16,Lelystad
8231JM,41,,De Veste 15,Lelystad
8231JL,34,,De Veste 15,Lelystad
8231JD,7,,De Veste 15,Lelystad
8231JC,15,,De Veste 13,Lelystad
8231JB,42,,De Veste 11,Lelystad
8231JB,22,,De Veste 11,Lelystad
8231JB,4,,De Veste 11,Lelystad
8231JB,12,,De Veste 11,Lelystad
8231JA,19,,De Veste 10,Lelystad
8231JA,3,,De Veste 10,Lelystad
8223GH,504,,Bastion,Lelystad
8225LW,26,,Horst 20,Lelystad
8225LV,17,,Horst 19,Lelystad
8225LT,3,,Horst 18,Lelystad
8225LK,8,,Horst 16,Lelystad
8225LJ,29,,Horst 15,Lelystad
8225LG,24,,Horst 14,Lelystad
8225LD,24,,Horst 13,Lelystad
8225LA,13,,Horst 11,Lelystad
8225LA,1,,Horst 11,Lelystad
8225LR,27,,Horst 10,Lelystad
8225TR,45,,Griend 38,Lelystad
8225TH,35,,Griend 37,Lelystad
8225TJ,24,,Griend 37,Lelystad
8225TP,54,,Griend 36,Lelystad
8225TV,46,,Griend 41,Lelystad
8225TG,41,,Griend 36,Lelystad
8225TG,49,,Griend 36,Lelystad
8225TP,36,,Griend 36,Lelystad
8225TL,28,,Griend 36,Lelystad
8225TK,92,,Griend 35,Lelystad
8225TL,24,,Griend 36,Lelystad
8225TK,86,,Griend 35,Lelystad
8225TA,15,,Griend 34,Lelystad
8225SV,72,,Griend 32,Lelystad
8225ST,16,,Griend 32,Lelystad
8225RW,59,,Griend 23,Lelystad
8225RA,81,,Griend 22,Lelystad
8225RB,52,,Griend 22,Lelystad
8225RE,46,,Griend 20,Lelystad
8225RC,23,,Griend 20,Lelystad
8225KP,31,,Zoom 20,Lelystad
8225KM,23,,Zoom 18,Lelystad
8225KJ,32,,Zoom 15,Lelystad
8243PE,56,,Zuiveringweg,Lelystad
8224EB,40,,Strand,Lelystad
8223DS,4,,Schipbeek,Lelystad
8226DL,66,,Vloedstraat,Lelystad
8223BS,27,,Het Spiek,Lelystad
8242VB,74,,Karveel 45,Lelystad
8242VA,26,,Karveel 45,Lelystad
8231DS,62,,Karveel 43,Lelystad
8231BX,36,,Karveel 38,Lelystad
8232XK,21,,Schouw 54,Lelystad
8232VT,60,,Stationsplein,Lelystad
8232VT,84,,Stationsplein,Lelystad
8243PN,20,35,Kolkweg,Lelystad
8224HA,35,,Archipel 30,Lelystad
8226RB,76,,Assumburg,Lelystad
8244CG,111,,Beemster,Lelystad
8212EG,57,,Beukenhof,Lelystad
8242CC,8,,Boeier 02,Lelystad
8223CV,3,,Bosplaat,Lelystad
8232KJ,80,,Botter 29,Lelystad
8226TJ,59,,Bouvigne,Lelystad
8212AL,100,,Buitenplaats,Lelystad
8224AG,36,,Damrif,Lelystad
8232EC,36,,De Stelling 10,Lelystad
8245EB,68,,De Streek,Lelystad
8224ES,113,,Delta,Lelystad
8242JL,4,,Eendragt,Lelystad
8243LV,29,,Galjoen 23,Lelystad
8242JE,211,,Saerdam,Lelystad
8242JE,213,,Saerdam,Lelystad
8242JE,215,,Saerdam,Lelystad
8242JE,219,,Saerdam,Lelystad
8242JE,223,,Saerdam,Lelystad
8242JE,227,,Saerdam,Lelystad
8242JE,229,,Saerdam,Lelystad
8242JE,231,,Saerdam,Lelystad
8242JE,235,,Saerdam,Lelystad
8242JE,237,,Saerdam,Lelystad
8242JE,241,,Saerdam,Lelystad
8243PM,18,,Vijzelweg,Lelystad
8244DL,184,,Harderwijkstraat,Lelystad
8241BD,61,,Birdielaan,Lelystad
8245EA,27,,De Streek,Lelystad
8245GB,29,,Schieland,Lelystad
8223PA,21,,Badweg,Lelystad
8226EN,19,,Haringvlietlaan,Lelystad
8226EN,29,,Haringvlietlaan,Lelystad
8226EN,31,,Haringvlietlaan,Lelystad
8226EN,41,,Haringvlietlaan,Lelystad
8226EN,43,,Haringvlietlaan,Lelystad
8226EN,45,,Haringvlietlaan,Lelystad
8226EN,49,,Haringvlietlaan,Lelystad
8226EP,22,,Haringvlietlaan,Lelystad
8226EP,24,,Haringvlietlaan,Lelystad
8226EP,30,,Haringvlietlaan,Lelystad
8226EP,40,,Haringvlietlaan,Lelystad
8226EP,42,,Haringvlietlaan,Lelystad
8226EP,44,,Haringvlietlaan,Lelystad
8226SG,20,,Langesloot,Lelystad
8226SG,26,,Langesloot,Lelystad
8226SG,30,,Langesloot,Lelystad
8226SG,32,,Langesloot,Lelystad
8226SG,34,,Langesloot,Lelystad
8226SG,38,,Langesloot,Lelystad
8226SG,40,,Langesloot,Lelystad
8226SG,46,,Langesloot,Lelystad
8212EJ,145,,Beukenhof,Lelystad
8212EJ,147,,Beukenhof,Lelystad
8212EJ,149,,Beukenhof,Lelystad
8212EJ,153,,Beukenhof,Lelystad
8212EG,43,,Beukenhof,Lelystad
8212EG,45,,Beukenhof,Lelystad
8212EG,49,,Beukenhof,Lelystad
8212EG,51,,Beukenhof,Lelystad
8212EG,53,,Beukenhof,Lelystad
8226JX,130,,Ketelmeerstraat,Lelystad
8244AA,31,,Binnendijk,Lelystad
8226HT,17,,Vossemeerstraat,Lelystad
8226HT,19,,Vossemeerstraat,Lelystad
8226HT,23,,Vossemeerstraat,Lelystad
8226HT,27,,Vossemeerstraat,Lelystad
8226HT,31,,Vossemeerstraat,Lelystad
8226HV,19,,Gaastmeerstraat,Lelystad
8226HV,21,,Gaastmeerstraat,Lelystad
8226HV,23,,Gaastmeerstraat,Lelystad
8226JB,84,,Merenlaan,Lelystad
8245EB,56,,De Streek,Lelystad
8244GJ,223,,Hollandse Hout,Lelystad
8244GJ,227,,Hollandse Hout,Lelystad
8244BK,301,,Ringdijk,Lelystad
8244BK,277,,Ringdijk,Lelystad
8244AM,139,,Schermer,Lelystad
8244AM,125,,Schermer,Lelystad
8244AX,51,,Purmer,Lelystad
8244AW,31,,Purmer,Lelystad
8244AS,10,,Purmer,Lelystad
8244AS,26,,Purmer,Lelystad
8225NB,12,,Horst 32,Lelystad
8244PA,23,,Oostvaardersdijk,Lelystad
8244PA,3,,Oostvaardersdijk,Lelystad
8223DR,79,,Zwartewater,Lelystad
8223DP,47,,Zwartewater,Lelystad
8223DN,36,,Zwartewater,Lelystad
8212CK,171,,Wijngaard,Lelystad
8212CK,172,,Wijngaard,Lelystad
8212CK,173,,Wijngaard,Lelystad
8212CK,175,,Wijngaard,Lelystad
8212CK,176,,Wijngaard,Lelystad
8212CK,177,,Wijngaard,Lelystad
8212CJ,164,,Wijngaard,Lelystad
8212CK,179,,Wijngaard,Lelystad
8212CJ,149,,Wijngaard,Lelystad
8212CJ,151,,Wijngaard,Lelystad
8212CJ,153,,Wijngaard,Lelystad
8212CJ,155,,Wijngaard,Lelystad
8212CJ,156,,Wijngaard,Lelystad
8212CJ,157,,Wijngaard,Lelystad
8212CJ,159,,Wijngaard,Lelystad
8212CJ,148,,Wijngaard,Lelystad
8212CJ,163,,Wijngaard,Lelystad
8212CH,133,,Wijngaard,Lelystad
8212CH,135,,Wijngaard,Lelystad
8212CH,136,,Wijngaard,Lelystad
8212CH,139,,Wijngaard,Lelystad
8212CH,140,,Wijngaard,Lelystad
8212CH,143,,Wijngaard,Lelystad
8212CH,144,,Wijngaard,Lelystad
8212CH,132,,Wijngaard,Lelystad
8212CJ,147,,Wijngaard,Lelystad
8212CG,117,,Wijngaard,Lelystad
8212CH,119,,Wijngaard,Lelystad
8212CH,120,,Wijngaard,Lelystad
8224JH,107,,Agorahof,Lelystad
8224JH,111,,Agorahof,Lelystad
8232EJ,15,,De Stelling 13,Lelystad
8232EJ,19,,De Stelling 13,Lelystad
8232EH,88,,De Stelling 12,Lelystad
