18,8754AS,Kofstraat,Makkum
25,8754AT,Klipperstraat,Makkum
21,8754GD,Krommesloot,Makkum
23,8754CP,Kerkstraat,Makkum
37,8754CZ,Kerkeburen,Makkum
28,8749GE,Grote Buren,Pingjum
2,8747NT,Terpweg,Wons
16,8754CW,Tuinstraat,Makkum
9,8754HB,Waardwei,Makkum
34,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
18,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
11,8754HB,Waardwei,Makkum
11,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
4,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
32,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
30,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
24,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
22,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
20,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
16,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
13,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
10,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
7,8748GK,De Krânse,Witmarsum
13,8748GK,De Krânse,Witmarsum
82,8744EX,van Osingaweg,Schettens
12,8754HG,De Munniksplaat,Makkum
7,8754HG,De Munniksplaat,Makkum
35,8754HH,Middelgronden,Makkum
37,8754HH,Middelgronden,Makkum
39,8754HH,Middelgronden,Makkum
41,8754HH,Middelgronden,Makkum
43,8754HH,Middelgronden,Makkum
4,8821LX,Winkelsterlaan,Kimswerd
11,8754KK,It Mêd,Makkum
22,8742KL,Sjungadijk,Burgwerd
4,8753JC,Dorpsweg,Cornwerd
28,8754EK,Doniastraat,Makkum
30,8754EK,Doniastraat,Makkum
32,8754EK,Doniastraat,Makkum
5,8754DM,Borndiep,Makkum
6,8754DM,Borndiep,Makkum
8,8754DM,Borndiep,Makkum
5,8753JD,Hayumerlaan,Cornwerd
14,8765LL,Singel,Tjerkwerd
8,8765LK,Kerkstraat,Tjerkwerd
5,8765LS,Baburen,Tjerkwerd
3,8748CC,van Aylvaweg,Witmarsum
23,8745NA,Buren,Longerhouw
10,8754GK,Suderseewei,Makkum
11,8748BK,Hertekampsreed,Witmarsum
13,8748BK,Hertekampsreed,Witmarsum
7,8766TS,Afsluitdijk,Breezanddijk
9,8748GK,De Krânse,Witmarsum
32,8822WG,De Tille,Arum
4,8761PK,Djipwei,Ferwoude
2,8755JH,Dorpsweg,Idsegahuizum
36,8822WG,De Tille,Arum
38,8822WG,De Tille,Arum
