7951AP,21,,Willem de Zwijgerstraat,Staphorst
7951AP,27,,Willem de Zwijgerstraat,Staphorst
7951AR,14,,Willem de Zwijgerstraat,Staphorst
7951AR,30,,Willem de Zwijgerstraat,Staphorst
7951AP,13,,Willem de Zwijgerstraat,Staphorst
7951AP,17,,Willem de Zwijgerstraat,Staphorst
7951AP,3,,Willem de Zwijgerstraat,Staphorst
7951AR,4,,Willem de Zwijgerstraat,Staphorst
7951AP,11,,Willem de Zwijgerstraat,Staphorst
7951AP,7,,Willem de Zwijgerstraat,Staphorst
7951AP,9,,Willem de Zwijgerstraat,Staphorst
7951AR,2,,Willem de Zwijgerstraat,Staphorst
7951AR,38,,Willem de Zwijgerstraat,Staphorst
7951JR,1,,Wittenerf,Staphorst
7951JR,7,,Wittenerf,Staphorst
7951JR,15,,Wittenerf,Staphorst
7951JR,9,,Wittenerf,Staphorst
7951JR,8,,Wittenerf,Staphorst
7951JR,10,,Wittenerf,Staphorst
7951JR,13,,Wittenerf,Staphorst
7951JR,5,,Wittenerf,Staphorst
7951JR,4,,Wittenerf,Staphorst
7951JR,6,,Wittenerf,Staphorst
7951JR,11,,Wittenerf,Staphorst
7951JR,3,,Wittenerf,Staphorst
7951JR,2,,Wittenerf,Staphorst
7951JJ,1,,Wobbenerf,Staphorst
7951JJ,2,,Wobbenerf,Staphorst
7951JJ,7,,Wobbenerf,Staphorst
7951JJ,4,,Wobbenerf,Staphorst
7951JJ,19,,Wobbenerf,Staphorst
7951JJ,17,,Wobbenerf,Staphorst
7951JJ,15,,Wobbenerf,Staphorst
7951JJ,9,,Wobbenerf,Staphorst
7951JJ,8,,Wobbenerf,Staphorst
7951JJ,13,,Wobbenerf,Staphorst
7951JJ,5,,Wobbenerf,Staphorst
7951JJ,6,,Wobbenerf,Staphorst
7951JJ,11,,Wobbenerf,Staphorst
7951JJ,3,,Wobbenerf,Staphorst
7955BD,11,,Ywehof,IJhorst
7955BD,5,,Ywehof,IJhorst
7955BD,29,,Ywehof,IJhorst
7955BD,27,,Ywehof,IJhorst
7955BD,43,,Ywehof,IJhorst
7955BD,25,,Ywehof,IJhorst
7955BD,31,,Ywehof,IJhorst
7955BD,23,,Ywehof,IJhorst
7955BD,35,,Ywehof,IJhorst
7955BD,33,,Ywehof,IJhorst
7955BD,9,,Ywehof,IJhorst
7955BD,7,,Ywehof,IJhorst
7955BD,37,,Ywehof,IJhorst
7955BD,55,,Ywehof,IJhorst
7955BD,41,,Ywehof,IJhorst
7955BD,53,,Ywehof,IJhorst
7955BD,45,,Ywehof,IJhorst
7951RC,9,,Zuidweg,Staphorst
7951RC,4,,Zuidweg,Staphorst
7951RC,2,,Zuidweg,Staphorst
7951RC,7,,Zuidweg,Staphorst
7951RC,1,,Zuidweg,Staphorst
7951RC,5,,Zuidweg,Staphorst
7951RC,3,,Zuidweg,Staphorst
7951RC,11,,Zuidweg,Staphorst
7951MA,1,,Zwaluw,Staphorst
7951MC,2,,Zwaluw,Staphorst
7951MC,8,,Zwaluw,Staphorst
7951MB,65,,Zwaluw,Staphorst
7951MB,63,,Zwaluw,Staphorst
7951MC,62,,Zwaluw,Staphorst
