5401HB,15,,Nieuwe Markt,Uden
5401HB,13,,Nieuwe Markt,Uden
5401HD,2,,Julianastraat,Uden
5401GN,23,,Markt,Uden
5401GN,25,,Markt,Uden
5405NA,18,,Volkelseweg,Uden
5405AE,16,,Handelslaan,Uden
5405AK,7,,Frontstraat,Uden
5405AR,7,,Linie,Uden
5401AN,51,,St. Annastraat,Uden
5401AN,55,,St. Annastraat,Uden
5401BK,66,,Mr. van Coothstraat,Uden
5401BK,68,,Mr. van Coothstraat,Uden
5401BK,70,,Mr. van Coothstraat,Uden
5401BK,72,,Mr. van Coothstraat,Uden
5401BK,74,,Mr. van Coothstraat,Uden
5401BK,76,,Mr. van Coothstraat,Uden
5401BK,78,,Mr. van Coothstraat,Uden
5401BK,80,,Mr. van Coothstraat,Uden
5401BK,82,,Mr. van Coothstraat,Uden
5401BK,84,,Mr. van Coothstraat,Uden
5401BK,86,,Mr. van Coothstraat,Uden
5401BK,88,,Mr. van Coothstraat,Uden
5401BK,90,,Mr. van Coothstraat,Uden
5401BK,92,,Mr. van Coothstraat,Uden
5401BK,94,,Mr. van Coothstraat,Uden
5401BK,96,,Mr. van Coothstraat,Uden
5401BK,98,,Mr. van Coothstraat,Uden
5401BK,100,,Mr. van Coothstraat,Uden
5401BK,102,,Mr. van Coothstraat,Uden
5401BK,104,,Mr. van Coothstraat,Uden
5401BK,108,,Mr. van Coothstraat,Uden
5401BK,110,,Mr. van Coothstraat,Uden
5401BK,112,,Mr. van Coothstraat,Uden
5401BK,114,,Mr. van Coothstraat,Uden
5401BK,116,,Mr. van Coothstraat,Uden
5401BK,120,,Mr. van Coothstraat,Uden
5401BK,122,,Mr. van Coothstraat,Uden
5401BK,124,,Mr. van Coothstraat,Uden
5406BW,27,,Prinsendaalder,Uden
5406BT,7,,Leeuwendaalder,Uden
5406BT,5,,Leeuwendaalder,Uden
5406BT,1,,Leeuwendaalder,Uden
5401ZT,3,,Oudekerkpad,Uden
5401ZT,1,,Oudekerkpad,Uden
5401ZT,21,,Oudekerkpad,Uden
5401ZT,19,,Oudekerkpad,Uden
5401ZT,17,,Oudekerkpad,Uden
5401ZT,13,,Oudekerkpad,Uden
5401ZT,11,,Oudekerkpad,Uden
5401ZT,33,,Oudekerkpad,Uden
5401ZT,31,,Oudekerkpad,Uden
5401ZT,29,,Oudekerkpad,Uden
5401ZT,25,,Oudekerkpad,Uden
5401ZT,23,,Oudekerkpad,Uden
5401AJ,5,,Helenastraat,Uden
5401AJ,3,,Helenastraat,Uden
5401BC,1,,Kerkstraat,Uden
5401AS,5,,Lieve Vrouwenplein,Uden
5401GT,157,,Pastoor Spieringsstraat,Uden
5401GT,155,,Pastoor Spieringsstraat,Uden
5401GT,153,,Pastoor Spieringsstraat,Uden
5401GT,151,,Pastoor Spieringsstraat,Uden
5401HT,12,,De Misse,Uden
5401HT,14,,De Misse,Uden
5401HT,16,,De Misse,Uden
5401HT,18,,De Misse,Uden
5401GT,69,,Pastoor Spieringsstraat,Uden
5401HT,10,,De Misse,Uden
5401GT,81,,Pastoor Spieringsstraat,Uden
5401GT,85,,Pastoor Spieringsstraat,Uden
5401GT,87,,Pastoor Spieringsstraat,Uden
5401GT,89,,Pastoor Spieringsstraat,Uden
5401GT,91,,Pastoor Spieringsstraat,Uden
5401GT,93,,Pastoor Spieringsstraat,Uden
5401GT,97,,Pastoor Spieringsstraat,Uden
5401GT,101,,Pastoor Spieringsstraat,Uden
5401GT,103,,Pastoor Spieringsstraat,Uden
5401GT,181,,Pastoor Spieringsstraat,Uden
5401GT,183,,Pastoor Spieringsstraat,Uden
5402CD,3,,Saxofoonstraat,Uden
5402GB,10,,Lupinestraat,Uden
5402GB,8,,Lupinestraat,Uden
5402GB,6,,Lupinestraat,Uden
5402GB,4,,Lupinestraat,Uden
5402GB,2,,Lupinestraat,Uden
5403AC,621,,Meerhoek,Uden
5408AH,20,,Nieuwstraat,Volkel
5402GA,37,,Ereprijsstraat,Uden
5402GR,107,,Prior van Milstraat,Uden
5409ST,11,,Torenvalkweg,Odiliapeel
5405BH,18,,Vliegeniersstraat,Uden
5405BH,21,,Vliegeniersstraat,Uden
5405BP,5,,Pannebakkerstraat,Uden
5405BR,15,,Zadelmakerstraat,Uden
5405BR,11,,Zadelmakerstraat,Uden
5405BR,7,,Zadelmakerstraat,Uden
5405BR,5,,Zadelmakerstraat,Uden
5405BR,12,,Zadelmakerstraat,Uden
5405BR,9,,Zadelmakerstraat,Uden
5405BR,2,,Zadelmakerstraat,Uden
5405BR,4,,Zadelmakerstraat,Uden
5405BR,6,,Zadelmakerstraat,Uden
5405BR,8,,Zadelmakerstraat,Uden
5405BR,10,,Zadelmakerstraat,Uden
5405BR,3,,Zadelmakerstraat,Uden
5405BE,3,,Erfstraat,Uden
5405BE,7,,Erfstraat,Uden
5405BE,11,,Erfstraat,Uden
5405BE,19,,Erfstraat,Uden
5405BE,9,,Erfstraat,Uden
5405BP,2,,Pannebakkerstraat,Uden
5405BP,4,,Pannebakkerstraat,Uden
5405AP,4,,Vlijtstraat,Uden
5405NG,3,,Neutronenlaan,Uden
5405NH,22,,Neutronenlaan,Uden
5405NH,26,,Neutronenlaan,Uden
5405NH,30,,Neutronenlaan,Uden
5405NH,32,,Neutronenlaan,Uden
5405NH,34,,Neutronenlaan,Uden
5401AS,3,,Lieve Vrouwenplein,Uden
5401AS,4,,Lieve Vrouwenplein,Uden
5401AS,44,,Lieve Vrouwenplein,Uden
5401XT,9,,Walterus Pijnenborghhof,Uden
5401XT,1,,Walterus Pijnenborghhof,Uden
5401XT,12,,Walterus Pijnenborghhof,Uden
5401XT,13,,Walterus Pijnenborghhof,Uden
5401GR,39,,Sacramentsweg,Uden
5401GR,35,,Sacramentsweg,Uden
5401HZ,51,,Sacramentsweg,Uden
5401HZ,53,,Sacramentsweg,Uden
5401HZ,57,,Sacramentsweg,Uden
5401HZ,59,,Sacramentsweg,Uden
5405BS,27,,Koperslagerstraat,Uden
5403WG,406,,Sieberg,Uden
5403WG,404,,Sieberg,Uden
5403WG,402,,Sieberg,Uden
5403WG,102,,Sieberg,Uden
5403WG,104,,Sieberg,Uden
5403WG,501,,Sieberg,Uden
5403WG,503,,Sieberg,Uden
5403WG,505,,Sieberg,Uden
5403WG,507,,Sieberg,Uden
5403WG,509,,Sieberg,Uden
5403WG,511,,Sieberg,Uden
5403WG,519,,Sieberg,Uden
5403WG,517,,Sieberg,Uden
5403WH,508,,Sieberg,Uden
5403WH,506,,Sieberg,Uden
5403WH,504,,Sieberg,Uden
5403WH,502,,Sieberg,Uden
5403WP,817,,Bermershof,Uden
5403WP,811,,Bermershof,Uden
5403WR,534,,Bermershof,Uden
5403WR,532,,Bermershof,Uden
5403WR,530,,Bermershof,Uden
5403WR,526,,Bermershof,Uden
5403WR,524,,Bermershof,Uden
5403WR,520,,Bermershof,Uden
5403WN,131,,Bermershof,Uden
5403WN,135,,Bermershof,Uden
5403WN,137,,Bermershof,Uden
5403WN,139,,Bermershof,Uden
5403WN,143,,Bermershof,Uden
5403KV,306,,Morene,Uden
5403KV,308,,Morene,Uden
5403KV,310,,Morene,Uden
5403KV,312,,Morene,Uden
5403KV,314,,Morene,Uden
5403KW,207,,Morene,Uden
5403KW,221,,Morene,Uden
5403KW,223,,Morene,Uden
5403KZ,109,,Morene,Uden
5403KZ,107,,Morene,Uden
5403KZ,105,,Morene,Uden
5403KZ,103,,Morene,Uden
5403KZ,101,,Morene,Uden
5403KW,201,,Morene,Uden
5403KW,203,,Morene,Uden
5403KV,315,,Morene,Uden
5403KV,317,,Morene,Uden
5403KV,319,,Morene,Uden
5403KZ,113,,Morene,Uden
5403KZ,119,,Morene,Uden
5403KV,318,,Morene,Uden
5403KV,316,,Morene,Uden
5403KZ,125,,Morene,Uden
5403KZ,127,,Morene,Uden
5403KZ,129,,Morene,Uden
5403KZ,131,,Morene,Uden
5403KZ,133,,Morene,Uden
5403KZ,115,,Morene,Uden
5406BP,4,,Graveur,Uden
5406BP,8,,Graveur,Uden
5406BP,10,,Graveur,Uden
5406BP,22,,Graveur,Uden
5406BP,24,,Graveur,Uden
5406BP,17,,Graveur,Uden
5406BP,15,,Graveur,Uden
5406BP,13,,Graveur,Uden
5406BP,9,,Graveur,Uden
5406BP,7,,Graveur,Uden
