7422SK,10,,Duizendblad,Deventer
7422SK,11,,Duizendblad,Deventer
7422SK,13,,Duizendblad,Deventer
7422SK,15,,Duizendblad,Deventer
7422SK,17,,Duizendblad,Deventer
7422SK,19,,Duizendblad,Deventer
7422SK,21,,Duizendblad,Deventer
7422SK,23,,Duizendblad,Deventer
7422SK,25,,Duizendblad,Deventer
7422SK,27,,Duizendblad,Deventer
7422SK,29,,Duizendblad,Deventer
7418CK,1,,Duurstedeweg,Deventer
7418CK,2,,Duurstedeweg,Deventer
7418CK,4,,Duurstedeweg,Deventer
7418CK,6,,Duurstedeweg,Deventer
7418CK,7,,Duurstedeweg,Deventer
7418CK,10,,Duurstedeweg,Deventer
7418CK,13,,Duurstedeweg,Deventer
7418CK,14,,Duurstedeweg,Deventer
7418CK,15,,Duurstedeweg,Deventer
7418CK,16,,Duurstedeweg,Deventer
7418CK,19,,Duurstedeweg,Deventer
7418CK,21,,Duurstedeweg,Deventer
7418CK,30,,Duurstedeweg,Deventer
7415CR,1,,E. Tesschenmacherstraat,Deventer
7415CT,2,,E. Tesschenmacherstraat,Deventer
7415CR,3,,E. Tesschenmacherstraat,Deventer
7415CT,4,,E. Tesschenmacherstraat,Deventer
7415CR,5,,E. Tesschenmacherstraat,Deventer
7415CT,6,,E. Tesschenmacherstraat,Deventer
7415CR,7,,E. Tesschenmacherstraat,Deventer
7415CT,8,,E. Tesschenmacherstraat,Deventer
7415CR,9,1,E. Tesschenmacherstraat,Deventer
7415CR,9,2,E. Tesschenmacherstraat,Deventer
7415CR,9,,E. Tesschenmacherstraat,Deventer
7415CT,10,,E. Tesschenmacherstraat,Deventer
7415CR,11,,E. Tesschenmacherstraat,Deventer
7415CT,12,,E. Tesschenmacherstraat,Deventer
7415CR,13,,E. Tesschenmacherstraat,Deventer
7415CT,14,,E. Tesschenmacherstraat,Deventer
7415CR,15,,E. Tesschenmacherstraat,Deventer
7415CT,16,,E. Tesschenmacherstraat,Deventer
7415CR,17,,E. Tesschenmacherstraat,Deventer
7415CT,18,,E. Tesschenmacherstraat,Deventer
7415CR,19,,E. Tesschenmacherstraat,Deventer
7415CT,20,,E. Tesschenmacherstraat,Deventer
7415CR,21,,E. Tesschenmacherstraat,Deventer
7415CT,22,,E. Tesschenmacherstraat,Deventer
7415CR,23,,E. Tesschenmacherstraat,Deventer
7415CT,24,,E. Tesschenmacherstraat,Deventer
7415CR,25,,E. Tesschenmacherstraat,Deventer
7415CT,26,,E. Tesschenmacherstraat,Deventer
7415CR,27,,E. Tesschenmacherstraat,Deventer
7415CT,28,,E. Tesschenmacherstraat,Deventer
7415CR,29,,E. Tesschenmacherstraat,Deventer
7415CT,30,,E. Tesschenmacherstraat,Deventer
