5066BB,1,,Prinses Beatrixstraat,Moergestel
5066BC,10,,Prinses Beatrixstraat,Moergestel
5066BB,11,,Prinses Beatrixstraat,Moergestel
5066BC,12,,Prinses Beatrixstraat,Moergestel
5066BB,13,,Prinses Beatrixstraat,Moergestel
5066BC,14,,Prinses Beatrixstraat,Moergestel
5066BB,15,,Prinses Beatrixstraat,Moergestel
5066BC,16,,Prinses Beatrixstraat,Moergestel
5066BB,17,,Prinses Beatrixstraat,Moergestel
5066BC,18,,Prinses Beatrixstraat,Moergestel
5066EN,7,,Regenbeemdeke,Moergestel
5066EN,8,,Regenbeemdeke,Moergestel
5066EN,9,,Regenbeemdeke,Moergestel
5066AB,1,,Reuselhof,Moergestel
5066AB,10,,Reuselhof,Moergestel
5066AB,11,,Reuselhof,Moergestel
5066AB,12,,Reuselhof,Moergestel
5066AB,13,,Reuselhof,Moergestel
5066AB,14,,Reuselhof,Moergestel
5066AB,15,,Reuselhof,Moergestel
5066AB,16,,Reuselhof,Moergestel
5066AB,17,,Reuselhof,Moergestel
5066AB,18,,Reuselhof,Moergestel
5066AB,19,,Reuselhof,Moergestel
5066AB,2,,Reuselhof,Moergestel
5066AB,20,,Reuselhof,Moergestel
5066AB,21,,Reuselhof,Moergestel
5066AC,22,,Reuselhof,Moergestel
5066AC,23,,Reuselhof,Moergestel
5066AC,24,,Reuselhof,Moergestel
5066AC,25,,Reuselhof,Moergestel
5066AC,26,,Reuselhof,Moergestel
5066AC,27,,Reuselhof,Moergestel
5066AC,28,,Reuselhof,Moergestel
5066AC,29,,Reuselhof,Moergestel
5066AB,3,,Reuselhof,Moergestel
5066AC,30,,Reuselhof,Moergestel
5066AC,31,,Reuselhof,Moergestel
5066AC,32,,Reuselhof,Moergestel
5066AC,33,,Reuselhof,Moergestel
5066AC,34,,Reuselhof,Moergestel
5066AC,35,,Reuselhof,Moergestel
5066AC,36,,Reuselhof,Moergestel
5066AC,37,,Reuselhof,Moergestel
5066AB,38,,Reuselhof,Moergestel
5066AB,4,,Reuselhof,Moergestel
5066AB,5,,Reuselhof,Moergestel
5066AB,6,,Reuselhof,Moergestel
5066AB,7,,Reuselhof,Moergestel
5066AB,8,,Reuselhof,Moergestel
5066AB,9,,Reuselhof,Moergestel
5066PZ,3,,Rijksweg A58,Moergestel
5066AT,1,,Rootven,Moergestel
5066AW,10,,Rootven,Moergestel
5066AT,11,,Rootven,Moergestel
5066AW,12,,Rootven,Moergestel
5066AT,13,,Rootven,Moergestel
5066AT,13,1,Rootven,Moergestel
5066AW,14,,Rootven,Moergestel
5066AT,15,,Rootven,Moergestel
5066AW,16,,Rootven,Moergestel
5066AT,17,,Rootven,Moergestel
5066AW,18,,Rootven,Moergestel
5066AT,19,,Rootven,Moergestel
5066AW,2,,Rootven,Moergestel
5066AW,20,,Rootven,Moergestel
5066AT,21,,Rootven,Moergestel
5066AW,22,,Rootven,Moergestel
5066AT,23,,Rootven,Moergestel
5066AW,24,,Rootven,Moergestel
5066AT,25,,Rootven,Moergestel
5066AW,26,,Rootven,Moergestel
5066AT,27,,Rootven,Moergestel
5066AW,28,,Rootven,Moergestel
5066AT,29,,Rootven,Moergestel
5066AT,3,,Rootven,Moergestel
5066AW,30,,Rootven,Moergestel
5066AT,31,,Rootven,Moergestel
5066AW,32,,Rootven,Moergestel
5066EE,44,,Schoolstraat,Moergestel
5061ZC,1004,,Waterhoefweg,Oisterwijk
5066ED,45,,Schoolstraat,Moergestel
5066EE,46,,Schoolstraat,Moergestel
5066ED,47,,Schoolstraat,Moergestel
5066EE,48,,Schoolstraat,Moergestel
5066ED,49,,Schoolstraat,Moergestel
5066EC,5,,Schoolstraat,Moergestel
5066EE,50,,Schoolstraat,Moergestel
5066ED,51,,Schoolstraat,Moergestel
5066EE,52,,Schoolstraat,Moergestel
5066ED,53,,Schoolstraat,Moergestel
5066EE,6,,Schoolstraat,Moergestel
5066EE,60,,Schoolstraat,Moergestel
5066EE,62,,Schoolstraat,Moergestel
5066ED,65,,Schoolstraat,Moergestel
5066ED,67,,Schoolstraat,Moergestel
5066ED,69,,Schoolstraat,Moergestel
5066EC,7,,Schoolstraat,Moergestel
5066ED,71,,Schoolstraat,Moergestel
5066ED,73,,Schoolstraat,Moergestel
5066VG,10,,Schout van de Wouwstraat,Moergestel
5066VG,12,,Schout van de Wouwstraat,Moergestel
5066VG,13,,Schout van de Wouwstraat,Moergestel
5066VG,14,,Schout van de Wouwstraat,Moergestel
5066AT,33,,Rootven,Moergestel
5066AW,34,,Rootven,Moergestel
5066AT,35,,Rootven,Moergestel
5066AT,35,1,Rootven,Moergestel
5066AT,35,2,Rootven,Moergestel
5066AX,36,,Rootven,Moergestel
5066AT,37,,Rootven,Moergestel
5066AX,38,,Rootven,Moergestel
5066AW,4,,Rootven,Moergestel
5066AX,40,,Rootven,Moergestel
5066AV,41,,Rootven,Moergestel
5066AX,42,,Rootven,Moergestel
5066AV,43,,Rootven,Moergestel
5066AX,44,,Rootven,Moergestel
5066AV,45,,Rootven,Moergestel
5066AX,46,,Rootven,Moergestel
5066AV,47,,Rootven,Moergestel
5066AX,48,,Rootven,Moergestel
5066AV,49,,Rootven,Moergestel
5066AT,5,,Rootven,Moergestel
5066AX,50,,Rootven,Moergestel
5066AV,51,,Rootven,Moergestel
5066AX,52,,Rootven,Moergestel
5066AX,54,,Rootven,Moergestel
5066AV,55,,Rootven,Moergestel
5066AX,56,,Rootven,Moergestel
5066AV,57,,Rootven,Moergestel
5066AV,59,,Rootven,Moergestel
5066AW,6,,Rootven,Moergestel
5066AX,60,,Rootven,Moergestel
5066AV,61,,Rootven,Moergestel
5066AV,63,,Rootven,Moergestel
5066AV,65,,Rootven,Moergestel
5066AX,66,,Rootven,Moergestel
5066AT,7,,Rootven,Moergestel
5066AX,70,,Rootven,Moergestel
5066AX,74,,Rootven,Moergestel
5066AW,8,,Rootven,Moergestel
5066AX,80,,Rootven,Moergestel
5066AX,82,,Rootven,Moergestel
5066AX,84,,Rootven,Moergestel
5066AT,9,,Rootven,Moergestel
5066EL,1,,Ruymheuvel,Moergestel
5066EL,10,,Ruymheuvel,Moergestel
5066EL,11,,Ruymheuvel,Moergestel
5066EL,12,,Ruymheuvel,Moergestel
5066EL,13,,Ruymheuvel,Moergestel
5066EL,14,,Ruymheuvel,Moergestel
5066EL,15,,Ruymheuvel,Moergestel
5066EL,16,,Ruymheuvel,Moergestel
5066EL,17,,Ruymheuvel,Moergestel
