6171EV,32,,Brugstraat,Stein
6171ET,33,,Brugstraat,Stein
6171EV,34,,Brugstraat,Stein
6171ET,35,,Brugstraat,Stein
6171EV,36,,Brugstraat,Stein
6171ET,37,,Brugstraat,Stein
6171EV,38,,Brugstraat,Stein
6171ET,39,,Brugstraat,Stein
6171ET,41,,Brugstraat,Stein
6171EV,42,,Brugstraat,Stein
6171ET,45,,Brugstraat,Stein
6171DW,7,,Buitenhavenweg,Stein
6181CC,1,,Burg Canisiusstraat,Elsloo
6181CD,2,,Burg Canisiusstraat,Elsloo
6181CC,3,,Burg Canisiusstraat,Elsloo
6181CD,4,,Burg Canisiusstraat,Elsloo
6181CC,5,,Burg Canisiusstraat,Elsloo
6181CD,6,,Burg Canisiusstraat,Elsloo
6181CC,7,,Burg Canisiusstraat,Elsloo
6181CD,8,,Burg Canisiusstraat,Elsloo
6181CC,9,,Burg Canisiusstraat,Elsloo
6181CD,10,,Burg Canisiusstraat,Elsloo
6181CC,11,,Burg Canisiusstraat,Elsloo
6181CD,12,,Burg Canisiusstraat,Elsloo
6181CC,13,,Burg Canisiusstraat,Elsloo
6181CD,14,,Burg Canisiusstraat,Elsloo
6181CC,15,,Burg Canisiusstraat,Elsloo
6181CD,16,,Burg Canisiusstraat,Elsloo
6181CC,17,,Burg Canisiusstraat,Elsloo
6181CD,18,,Burg Canisiusstraat,Elsloo
6181CC,19,,Burg Canisiusstraat,Elsloo
6181CD,20,,Burg Canisiusstraat,Elsloo
6181CC,21,,Burg Canisiusstraat,Elsloo
6181CD,22,,Burg Canisiusstraat,Elsloo
6181CC,23,,Burg Canisiusstraat,Elsloo
6181CD,24,,Burg Canisiusstraat,Elsloo
6181CC,25,,Burg Canisiusstraat,Elsloo
6181CC,27,,Burg Canisiusstraat,Elsloo
6181BV,1,,Burg de Witstraat,Elsloo
6181BV,3,,Burg de Witstraat,Elsloo
6181BV,5,,Burg de Witstraat,Elsloo
6181BV,7,,Burg de Witstraat,Elsloo
6181BV,9,,Burg de Witstraat,Elsloo
6181BV,11,,Burg de Witstraat,Elsloo
6181BV,13,,Burg de Witstraat,Elsloo
6181BV,15,,Burg de Witstraat,Elsloo
6181BV,17,,Burg de Witstraat,Elsloo
6181BW,18,,Burg de Witstraat,Elsloo
6181BV,19,,Burg de Witstraat,Elsloo
6181BW,20,,Burg de Witstraat,Elsloo
6181BV,21,,Burg de Witstraat,Elsloo
6181BW,22,,Burg de Witstraat,Elsloo
6181BV,23,,Burg de Witstraat,Elsloo
6181BW,24,,Burg de Witstraat,Elsloo
6181BV,25,,Burg de Witstraat,Elsloo
6181BW,26,,Burg de Witstraat,Elsloo
6181BV,27,,Burg de Witstraat,Elsloo
6181BW,28,,Burg de Witstraat,Elsloo
6181BV,29,,Burg de Witstraat,Elsloo
6181BV,31,,Burg de Witstraat,Elsloo
6181BV,33,,Burg de Witstraat,Elsloo
6181BV,35,,Burg de Witstraat,Elsloo
6181BV,37,,Burg de Witstraat,Elsloo
6181BV,39,,Burg de Witstraat,Elsloo
6181BV,41,,Burg de Witstraat,Elsloo
6181BV,43,,Burg de Witstraat,Elsloo
6181BV,45,,Burg de Witstraat,Elsloo
6181BP,2,,Burg Eussenstraat,Elsloo
6181BP,4,,Burg Eussenstraat,Elsloo
6181BP,6,,Burg Eussenstraat,Elsloo
6181BP,8,,Burg Eussenstraat,Elsloo
6181BP,10,,Burg Eussenstraat,Elsloo
6181BP,12,,Burg Eussenstraat,Elsloo
6181BP,14,,Burg Eussenstraat,Elsloo
6181BP,16,,Burg Eussenstraat,Elsloo
6181BP,18,,Burg Eussenstraat,Elsloo
6181BP,20,,Burg Eussenstraat,Elsloo
6181BP,22,,Burg Eussenstraat,Elsloo
6181BP,24,,Burg Eussenstraat,Elsloo
6181BP,26,,Burg Eussenstraat,Elsloo
6181BP,28,,Burg Eussenstraat,Elsloo
6181BR,30,,Burg Eussenstraat,Elsloo
6181BR,32,,Burg Eussenstraat,Elsloo
6181BP,33,,Burg Eussenstraat,Elsloo
6181BR,34,,Burg Eussenstraat,Elsloo
6181BP,35,,Burg Eussenstraat,Elsloo
