3712EB,20,,Weerdenburg,Huis ter Heide
3712BX,95,,Beukbergenplein,Huis ter Heide
3712EB,22,,Weerdenburg,Huis ter Heide
3712BX,93,,Beukbergenplein,Huis ter Heide
3712EB,24,,Weerdenburg,Huis ter Heide
3712BX,91,,Beukbergenplein,Huis ter Heide
3712EB,30,,Weerdenburg,Huis ter Heide
3712BX,92,,Beukbergenplein,Huis ter Heide
3712EB,26,,Weerdenburg,Huis ter Heide
3712EB,28,,Weerdenburg,Huis ter Heide
3712BX,88,,Beukbergenplein,Huis ter Heide
3712BX,87,,Beukbergenplein,Huis ter Heide
3712BX,86,,Beukbergenplein,Huis ter Heide
3712BX,85,,Beukbergenplein,Huis ter Heide
3712BX,84,,Beukbergenplein,Huis ter Heide
3712BX,83,,Beukbergenplein,Huis ter Heide
3712BX,82,,Beukbergenplein,Huis ter Heide
3709JH,56,,Odijkerweg,Zeist
3709JH,58,,Odijkerweg,Zeist
3735LA,11,,Duinweg,Bosch en Duin
3709JJ,132,,Odijkerweg,Zeist
3709JJ,134,,Odijkerweg,Zeist
3704KS,1902,,De Clomp,Zeist
3704KS,1904,,De Clomp,Zeist
3704KS,1918,,De Clomp,Zeist
3704KS,1920,,De Clomp,Zeist
3704KS,1922,,De Clomp,Zeist
3704KS,1924,,De Clomp,Zeist
3704KS,1926,,De Clomp,Zeist
3704KS,1928,,De Clomp,Zeist
3704KS,1930,,De Clomp,Zeist
3704KS,1932,,De Clomp,Zeist
3704KS,1934,,De Clomp,Zeist
3704KS,1936,,De Clomp,Zeist
3704KS,1938,,De Clomp,Zeist
3704KS,1940,,De Clomp,Zeist
3704KS,1950,,De Clomp,Zeist
3704KS,1942,,De Clomp,Zeist
3704KS,1952,,De Clomp,Zeist
3704KS,1944,,De Clomp,Zeist
3704KS,1954,,De Clomp,Zeist
3704KS,1946,,De Clomp,Zeist
3704KS,1956,,De Clomp,Zeist
3704KS,1948,,De Clomp,Zeist
3704KS,1958,,De Clomp,Zeist
3704KS,1960,,De Clomp,Zeist
3704KS,1962,,De Clomp,Zeist
3704KS,1964,,De Clomp,Zeist
3704KS,1966,,De Clomp,Zeist
3704KS,1968,,De Clomp,Zeist
3704KS,1970,,De Clomp,Zeist
3712XS,49,,Planetenlaan,Huis ter Heide
3712XS,61,,Planetenlaan,Huis ter Heide
3712XS,51,,Planetenlaan,Huis ter Heide
3712XS,63,,Planetenlaan,Huis ter Heide
3712XS,53,,Planetenlaan,Huis ter Heide
3712XS,65,,Planetenlaan,Huis ter Heide
3712XS,55,,Planetenlaan,Huis ter Heide
3712XS,67,,Planetenlaan,Huis ter Heide
3712XS,57,,Planetenlaan,Huis ter Heide
3712XS,69,,Planetenlaan,Huis ter Heide
3712XS,59,,Planetenlaan,Huis ter Heide
3712XS,71,,Planetenlaan,Huis ter Heide
3712XS,88,,Planetenlaan,Huis ter Heide
3712XS,100,,Planetenlaan,Huis ter Heide
3712XS,90,,Planetenlaan,Huis ter Heide
3712XS,102,,Planetenlaan,Huis ter Heide
3712XS,92,,Planetenlaan,Huis ter Heide
3712XS,104,,Planetenlaan,Huis ter Heide
3712XS,94,,Planetenlaan,Huis ter Heide
3712XS,106,,Planetenlaan,Huis ter Heide
3712XS,96,,Planetenlaan,Huis ter Heide
3712XS,108,,Planetenlaan,Huis ter Heide
3712XS,98,,Planetenlaan,Huis ter Heide
3712XS,110,,Planetenlaan,Huis ter Heide
3712XV,1,,Uranushof,Huis ter Heide
3712XV,3,,Uranushof,Huis ter Heide
3712XV,5,,Uranushof,Huis ter Heide
3712XV,7,,Uranushof,Huis ter Heide
3712XV,9,,Uranushof,Huis ter Heide
3712XV,11,,Uranushof,Huis ter Heide
3712XR,1,,Saturnushof,Huis ter Heide
3712XR,3,,Saturnushof,Huis ter Heide
3712XR,5,,Saturnushof,Huis ter Heide
3712XR,7,,Saturnushof,Huis ter Heide
3712XR,9,,Saturnushof,Huis ter Heide
3712XR,11,,Saturnushof,Huis ter Heide
3712XR,13,,Saturnushof,Huis ter Heide
3712XR,15,,Saturnushof,Huis ter Heide
3712XR,17,,Saturnushof,Huis ter Heide
3712XP,2,,Jupiterhof,Huis ter Heide
3712XP,4,,Jupiterhof,Huis ter Heide
3701XP,6,,Jupiterhof,Huis ter Heide
3712XP,6,,Jupiterhof,Huis ter Heide
3712XP,8,,Jupiterhof,Huis ter Heide
3712XE,2,,Dierenriem,Huis ter Heide
3712XE,4,,Dierenriem,Huis ter Heide
3712XE,6,,Dierenriem,Huis ter Heide
3712XE,8,,Dierenriem,Huis ter Heide
