76,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
78,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
8,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
80,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
82,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
84,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
86,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
88,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
90,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
92,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
94,3344EL,Hooftlaantje,Hendrik-Ido-Ambacht
96,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
98,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
1,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
10,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
11,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
12,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
13,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
14,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
15,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
16,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
17,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
18,3341BH,Hooftwijk,Hendrik-Ido-Ambacht
19,3341BH,Hooftwijk,Hendrik-Ido-Ambacht
2,3341BG,Hooftwijk,Hendrik-Ido-Ambacht
20,3341BH,Hooftwijk,Hendrik-Ido-Ambacht
21,3341BH,Hooftwijk,Hendrik-Ido-Ambacht
50,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
52,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
54,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
56,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
58,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
6,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
60,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
62,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
64,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
66,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
68,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
7,3344CC,Koningsvaren,Hendrik-Ido-Ambacht
70,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
72,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
74,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
76,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
78,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
8,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
9,3344CC,Koningsvaren,Hendrik-Ido-Ambacht
1,3344GH,Koog,Hendrik-Ido-Ambacht
10,3344GH,Koog,Hendrik-Ido-Ambacht
11,3344GH,Koog,Hendrik-Ido-Ambacht
12,3344GH,Koog,Hendrik-Ido-Ambacht
13,3344GH,Koog,Hendrik-Ido-Ambacht
14,3344GH,Koog,Hendrik-Ido-Ambacht
15,3344GH,Koog,Hendrik-Ido-Ambacht
16,3344GH,Koog,Hendrik-Ido-Ambacht
17,3344GH,Koog,Hendrik-Ido-Ambacht
18,3344GH,Koog,Hendrik-Ido-Ambacht
19,3344GH,Koog,Hendrik-Ido-Ambacht
2,3344GH,Koog,Hendrik-Ido-Ambacht
20,3344GH,Koog,Hendrik-Ido-Ambacht
21,3344GH,Koog,Hendrik-Ido-Ambacht
22,3344GH,Koog,Hendrik-Ido-Ambacht
23,3344GH,Koog,Hendrik-Ido-Ambacht
24,3344GH,Koog,Hendrik-Ido-Ambacht
25,3344GH,Koog,Hendrik-Ido-Ambacht
26,3344GH,Koog,Hendrik-Ido-Ambacht
27,3344GH,Koog,Hendrik-Ido-Ambacht
28,3344GH,Koog,Hendrik-Ido-Ambacht
29,3344GH,Koog,Hendrik-Ido-Ambacht
3,3344GH,Koog,Hendrik-Ido-Ambacht
30,3344GH,Koog,Hendrik-Ido-Ambacht
4,3344GH,Koog,Hendrik-Ido-Ambacht
5,3344GH,Koog,Hendrik-Ido-Ambacht
6,3344GH,Koog,Hendrik-Ido-Ambacht
7,3344GH,Koog,Hendrik-Ido-Ambacht
8,3344GH,Koog,Hendrik-Ido-Ambacht
9,3344GH,Koog,Hendrik-Ido-Ambacht
1,3343RB,Koolwijk,Hendrik-Ido-Ambacht
10,3343RB,Koolwijk,Hendrik-Ido-Ambacht
11,3343RB,Koolwijk,Hendrik-Ido-Ambacht
12,3343RB,Koolwijk,Hendrik-Ido-Ambacht
13,3341EK,Mauritsstraat,Hendrik-Ido-Ambacht
131,3341EL,Mauritsstraat,Hendrik-Ido-Ambacht
15,3341EK,Mauritsstraat,Hendrik-Ido-Ambacht
16,3341EM,Mauritsstraat,Hendrik-Ido-Ambacht
17,3341EK,Mauritsstraat,Hendrik-Ido-Ambacht
