11,1441DN,Wolthuissingel,Purmerend
12,1441DN,Wolthuissingel,Purmerend
13,1441DN,Wolthuissingel,Purmerend
14,1441DN,Wolthuissingel,Purmerend
15,1441DN,Wolthuissingel,Purmerend
21,1441DN,Wolthuissingel,Purmerend
22,1441DN,Wolthuissingel,Purmerend
23,1441DN,Wolthuissingel,Purmerend
24,1441DN,Wolthuissingel,Purmerend
25,1441DN,Wolthuissingel,Purmerend
26,1441DN,Wolthuissingel,Purmerend
27,1441DN,Wolthuissingel,Purmerend
28,1441DN,Wolthuissingel,Purmerend
29,1441DN,Wolthuissingel,Purmerend
30,1441DN,Wolthuissingel,Purmerend
31,1441DN,Wolthuissingel,Purmerend
32,1441DN,Wolthuissingel,Purmerend
33,1441DN,Wolthuissingel,Purmerend
34,1441DN,Wolthuissingel,Purmerend
35,1441DN,Wolthuissingel,Purmerend
65,1446TR,Ampèrestraat,Purmerend
48,1443BA,Kometenstraat,Purmerend
50,1443BA,Kometenstraat,Purmerend
52,1443BA,Kometenstraat,Purmerend
46,1443BA,Kometenstraat,Purmerend
68,1443BA,Kometenstraat,Purmerend
42,1443BA,Kometenstraat,Purmerend
44,1443BA,Kometenstraat,Purmerend
62,1443BA,Kometenstraat,Purmerend
64,1443BA,Kometenstraat,Purmerend
66,1443BA,Kometenstraat,Purmerend
60,1443BA,Kometenstraat,Purmerend
54,1443BA,Kometenstraat,Purmerend
56,1443BA,Kometenstraat,Purmerend
58,1443BA,Kometenstraat,Purmerend
18,1443BA,Kometenstraat,Purmerend
20,1443BA,Kometenstraat,Purmerend
22,1443BA,Kometenstraat,Purmerend
16,1443BA,Kometenstraat,Purmerend
10,1443BA,Kometenstraat,Purmerend
12,1443BA,Kometenstraat,Purmerend
14,1443BA,Kometenstraat,Purmerend
24,1443BA,Kometenstraat,Purmerend
34,1443BA,Kometenstraat,Purmerend
36,1443BA,Kometenstraat,Purmerend
38,1443BA,Kometenstraat,Purmerend
32,1443BA,Kometenstraat,Purmerend
26,1443BA,Kometenstraat,Purmerend
28,1443BA,Kometenstraat,Purmerend
30,1443BA,Kometenstraat,Purmerend
40,1443BA,Kometenstraat,Purmerend
22,1441CP,Gouw,Purmerend
24,1441CP,Gouw,Purmerend
111,1444TD,Rietgorsplein,Purmerend
117,1444TD,Rietgorsplein,Purmerend
114,1444TD,Rietgorsplein,Purmerend
112,1444TD,Rietgorsplein,Purmerend
127,1444TD,Rietgorsplein,Purmerend
128,1444TD,Rietgorsplein,Purmerend
126,1444TD,Rietgorsplein,Purmerend
130,1444TD,Rietgorsplein,Purmerend
116,1444TD,Rietgorsplein,Purmerend
121,1444TD,Rietgorsplein,Purmerend
122,1444TD,Rietgorsplein,Purmerend
222,1444TH,Rietgorsplein,Purmerend
221,1444TH,Rietgorsplein,Purmerend
227,1444TH,Rietgorsplein,Purmerend
230,1444TH,Rietgorsplein,Purmerend
