6982BJ,2,,Hortensiastraat,Doesburg
6982BJ,4,,Hortensiastraat,Doesburg
6982BJ,6,,Hortensiastraat,Doesburg
6982BJ,10,,Hortensiastraat,Doesburg
6982BJ,12,,Hortensiastraat,Doesburg
6982BJ,14,,Hortensiastraat,Doesburg
6982BJ,16,,Hortensiastraat,Doesburg
6982BJ,18,,Hortensiastraat,Doesburg
6982BJ,20,,Hortensiastraat,Doesburg
6982BJ,22,,Hortensiastraat,Doesburg
6982BJ,24,,Hortensiastraat,Doesburg
6982BJ,26,,Hortensiastraat,Doesburg
6982BJ,28,,Hortensiastraat,Doesburg
6982BJ,30,,Hortensiastraat,Doesburg
6982BJ,32,,Hortensiastraat,Doesburg
6982BJ,34,,Hortensiastraat,Doesburg
6982BJ,36,,Hortensiastraat,Doesburg
6982BJ,38,,Hortensiastraat,Doesburg
6982BJ,40,,Hortensiastraat,Doesburg
6982BJ,42,,Hortensiastraat,Doesburg
6982BJ,44,,Hortensiastraat,Doesburg
6982BJ,46,,Hortensiastraat,Doesburg
6982AG,38,,Koppelweg,Doesburg
6981HW,26,,Van Vierackerlaan,Doesburg
6981HW,28,,Van Vierackerlaan,Doesburg
6981HW,30,,Van Vierackerlaan,Doesburg
6981HW,32,,Van Vierackerlaan,Doesburg
6983CH,147,,Zanderskamp,Doesburg
6983CH,149,,Zanderskamp,Doesburg
6983CH,151,,Zanderskamp,Doesburg
6983CH,153,,Zanderskamp,Doesburg
6983CH,155,,Zanderskamp,Doesburg
6983CH,157,,Zanderskamp,Doesburg
6983EJ,8,,Smitsweide,Doesburg
6983EJ,10,,Smitsweide,Doesburg
6981CH,12,,Kosterstraat,Doesburg
6981CH,14,,Kosterstraat,Doesburg
6981HA,19,,Kraakselaan,Doesburg
6984AL,4,,Nieuwe Eekstraat,Doesburg
6982DH,25,,Hyacinthstraat,Doesburg
6982DV,3,,Parallelweg Den Helder,Doesburg
6984AA,2,,Verhuellweg,Doesburg
6984AA,4,,Verhuellweg,Doesburg
6981DP,57,,Zandbergstraat,Doesburg
6982AE,22,,Koppelweg,Doesburg
6982BZ,6,,Wilgenstraat,Doesburg
6982DR,124,,Magnolialaan,Doesburg
6981HJ,102,,Kraakselaan,Doesburg
6981CX,7,,Kleine Wal,Doesburg
6981EC,4,,Barend Ubbinkweg,Doesburg
6982DC,11,,Edelweiszstraat,Doesburg
6982AM,2,,Halve Maanweg,Doesburg
6982CD,17,,Ribesstraat,Doesburg
6983AB,2,,Parallelweg,Doesburg
6983AB,4,,Parallelweg,Doesburg
