3512PW,227,,Groenestraat,Utrecht
3512PB,11,,Abraham Dolesteeg,Utrecht
3523EH,227,,Smaragdplein,Utrecht
3555CZ,1,,Smirnoffstraat,Utrecht
3581PZ,2,,Joke Smitplein,Utrecht
3581PZ,14,,Joke Smitplein,Utrecht
3581PZ,40,,Joke Smitplein,Utrecht
3581PZ,49,,Joke Smitplein,Utrecht
3581PZ,59,,Joke Smitplein,Utrecht
3581PZ,85,,Joke Smitplein,Utrecht
3581PZ,94,,Joke Smitplein,Utrecht
3581PZ,104,,Joke Smitplein,Utrecht
3525TH,19,,Snoekstraat,Utrecht
3525TH,43,,Snoekstraat,Utrecht
3514CB,35,,Adelaarstraat,Utrecht
3514CB,37,,Adelaarstraat,Utrecht
3514CB,39,,Adelaarstraat,Utrecht
3514CB,41,,Adelaarstraat,Utrecht
3514CB,43,,Adelaarstraat,Utrecht
3515VR,8,,Bucheliusstraat,Utrecht
3515VP,9,BS,Bucheliusstraat,Utrecht
3515VP,11,,Bucheliusstraat,Utrecht
3515VR,12,BS,Bucheliusstraat,Utrecht
3515VR,14,,Bucheliusstraat,Utrecht
3515VP,15,BS,Bucheliusstraat,Utrecht
3515VP,17,,Bucheliusstraat,Utrecht
3515VR,18,BS,Bucheliusstraat,Utrecht
3515VR,20,,Bucheliusstraat,Utrecht
3515VP,21,BS,Bucheliusstraat,Utrecht
3515VP,23,,Bucheliusstraat,Utrecht
3515VR,24,BS,Bucheliusstraat,Utrecht
3515VR,26,BS,Bucheliusstraat,Utrecht
3551XP,5,,Burgjeslaan,Utrecht
3551XP,11,,Burgjeslaan,Utrecht
3551XP,17,,Burgjeslaan,Utrecht
3551XP,23,,Burgjeslaan,Utrecht
3513AK,108,,Amsterdamsestraatweg,Utrecht
3513AL,112,,Amsterdamsestraatweg,Utrecht
3513AL,116,,Amsterdamsestraatweg,Utrecht
3513AL,120,,Amsterdamsestraatweg,Utrecht
3531SJ,56,BS,Johannes Camphuysstraat,Utrecht
3531SJ,58,,Johannes Camphuysstraat,Utrecht
3531SE,59,BS,Johannes Camphuysstraat,Utrecht
3531SE,61,BS,Johannes Camphuysstraat,Utrecht
3531SE,65,,Johannes Camphuysstraat,Utrecht
3531SE,69,,Johannes Camphuysstraat,Utrecht
3531SE,71,BS,Johannes Camphuysstraat,Utrecht
3514GJ,166,,Willem van Noortstraat,Utrecht
3552AX,4,,Omloop,Utrecht
3513EX,452,,Oudenoord,Utrecht
3531RX,47,,Ternatestraat,Utrecht
3532CC,60,,Thomas à Kempisweg,Utrecht
