5664PD,17,,Donjon,Geldrop
5664PD,18,,Donjon,Geldrop
5664PD,19,,Donjon,Geldrop
5664PD,1,,Donjon,Geldrop
5664PD,20,,Donjon,Geldrop
5664PD,21,,Donjon,Geldrop
5664PD,22,,Donjon,Geldrop
5664PD,23,,Donjon,Geldrop
5664PD,24,,Donjon,Geldrop
5664PD,25,,Donjon,Geldrop
5664PD,26,,Donjon,Geldrop
5664PD,27,,Donjon,Geldrop
5664PD,28,,Donjon,Geldrop
5664PD,29,,Donjon,Geldrop
5664PD,2,,Donjon,Geldrop
5664PD,30,,Donjon,Geldrop
5664PD,31,,Donjon,Geldrop
5664PD,32,,Donjon,Geldrop
5664PD,33,,Donjon,Geldrop
5664PD,34,,Donjon,Geldrop
5664PD,35,,Donjon,Geldrop
5664PD,36,,Donjon,Geldrop
5664PD,37,,Donjon,Geldrop
5664PD,38,,Donjon,Geldrop
5664PD,39,,Donjon,Geldrop
5664PD,3,,Donjon,Geldrop
5664PD,40,,Donjon,Geldrop
5664PD,41,,Donjon,Geldrop
5664PD,42,,Donjon,Geldrop
5664PD,43,,Donjon,Geldrop
5664PD,44,,Donjon,Geldrop
5664PD,45,,Donjon,Geldrop
5731BX,108,,Margrietstraat,Mierlo
5731HB,21,,Morellenhof,Mierlo
5731PE,7,,Sint Sebastiaanweg,Mierlo
5731ZZ,1,,Wolfsberg,Mierlo
5731BL,2,,Christinastraat,Mierlo
5731BL,6,,Christinastraat,Mierlo
5731BL,38,,Christinastraat,Mierlo
5731BL,40,,Christinastraat,Mierlo
5731BL,42,,Christinastraat,Mierlo
5731BL,4,,Christinastraat,Mierlo
5731BR,52,,Margrietstraat,Mierlo
5731BR,54,,Margrietstraat,Mierlo
5731BR,62,,Margrietstraat,Mierlo
5731PS,26,,Aardborstweg,Mierlo
5731PS,17,,Aardborstweg,Mierlo
5731PD,21,,Arkweg,Mierlo
5731PG,12,,Bekelaar,Mierlo
5731PG,23,,Bekelaar,Mierlo
5731PG,39,,Bekelaar,Mierlo
5731RA,63,,Broekstraat,Mierlo
5731SC,5,,Burgemeester Termeerstraat,Mierlo
5731SC,33,,Burgemeester Termeerstraat,Mierlo
5731AK,36,,Burgemeester Verheugtstraat,Mierlo
5731AK,38,,Burgemeester Verheugtstraat,Mierlo
5731AL,40,,Burgemeester Verheugtstraat,Mierlo
5731BM,23,,Margrietstraat,Mierlo
5731BR,50,,Margrietstraat,Mierlo
5731BR,56,,Margrietstraat,Mierlo
5731JK,126,,Dorpsstraat,Mierlo
5731HW,40,,Marktstraat,Mierlo
5731EP,22,,Wilhelminastraat,Mierlo
5731BG,29,,Kerkstraat,Mierlo
5731CA,125,,Heer de Swaeffstraat,Mierlo
5731GA,47,,Bisschop van Mierlostraat,Mierlo
5731JD,15,,Hekelstraat,Mierlo
5731JD,17,,Hekelstraat,Mierlo
5731HK,5,,Eikendreef,Mierlo
5731AC,54,,Geldropseweg,Mierlo
5731HW,10,,Marktstraat,Mierlo
5731HS,35,,Marktstraat,Mierlo
5731HS,7,,Marktstraat,Mierlo
5731VP,83,,Heer van Rodestraat,Mierlo
5731VP,85,,Heer van Rodestraat,Mierlo
5731VP,87,,Heer van Rodestraat,Mierlo
5731VP,89,,Heer van Rodestraat,Mierlo
5731VP,91,,Heer van Rodestraat,Mierlo
5731VR,93,,Heer van Rodestraat,Mierlo
5731VR,95,,Heer van Rodestraat,Mierlo
5731VR,97,,Heer van Rodestraat,Mierlo
5731VR,99,,Heer van Rodestraat,Mierlo
5731VR,119,,Heer van Rodestraat,Mierlo
5731VR,121,,Heer van Rodestraat,Mierlo
5731VR,123,,Heer van Rodestraat,Mierlo
5731VR,125,,Heer van Rodestraat,Mierlo
5731VT,145,,Heer van Rodestraat,Mierlo
5731VT,147,,Heer van Rodestraat,Mierlo
5731VT,149,,Heer van Rodestraat,Mierlo
5731VT,175,,Heer van Rodestraat,Mierlo
5731VV,203,,Heer van Rodestraat,Mierlo
5731VP,81,,Heer van Rodestraat,Mierlo
5731ET,14,,Irenestraat,Mierlo
5731ET,16,,Irenestraat,Mierlo
5731ET,18,,Irenestraat,Mierlo
5731ET,20,,Irenestraat,Mierlo
5731ET,22,,Irenestraat,Mierlo
5731ET,24,,Irenestraat,Mierlo
5731ET,26,,Irenestraat,Mierlo
5731ET,28,,Irenestraat,Mierlo
5731ET,30,,Irenestraat,Mierlo
5731ET,32,,Irenestraat,Mierlo
5731XV,5,,Eksterlaan,Mierlo
5731EN,87,,Wilhelminastraat,Mierlo
5731PS,27,,Aardborstweg,Mierlo
5731PS,25,,Aardborstweg,Mierlo
5731EJ,10,,Pastoor de Winterstraat,Mierlo
5731AK,12,,Burgemeester Verheugtstraat,Mierlo
5666TK,58,,van der Puttstraat,Geldrop
5666TK,60,,van der Puttstraat,Geldrop
5666TK,62,,van der Puttstraat,Geldrop
5666TK,64,,van der Puttstraat,Geldrop
5666TK,66,,van der Puttstraat,Geldrop
5666TK,68,,van der Puttstraat,Geldrop
5666TK,70,,van der Puttstraat,Geldrop
5666TK,72,,van der Puttstraat,Geldrop
5666TK,74,,van der Puttstraat,Geldrop
5666TK,76,,van der Puttstraat,Geldrop
5661BC,1,,Balin,Geldrop
5661BC,2,,Balin,Geldrop
5661BC,3,,Balin,Geldrop
5661BC,4,,Balin,Geldrop
5661BC,5,,Balin,Geldrop
5661BC,6,,Balin,Geldrop
5661BC,7,,Balin,Geldrop
5661BC,8,,Balin,Geldrop
5661AW,10,,Bifur,Geldrop
5661AW,11,,Bifur,Geldrop
5661AW,12,,Bifur,Geldrop
5661AW,1,,Bifur,Geldrop
5661AW,2,,Bifur,Geldrop
5661AW,3,,Bifur,Geldrop
5661AW,4,,Bifur,Geldrop
5661AW,5,,Bifur,Geldrop
5661AW,6,,Bifur,Geldrop
5661AW,7,,Bifur,Geldrop
5661AW,8,,Bifur,Geldrop
5661AW,9,,Bifur,Geldrop
5661AX,10,,Bofur,Geldrop
5661AX,11,,Bofur,Geldrop
5664PD,46,,Donjon,Geldrop
5664PD,47,,Donjon,Geldrop
5664PD,48,,Donjon,Geldrop
5664PD,49,,Donjon,Geldrop
5664PD,4,,Donjon,Geldrop
5664PD,50,,Donjon,Geldrop
5664PD,51,,Donjon,Geldrop
5664PD,52,,Donjon,Geldrop
5664PD,53,,Donjon,Geldrop
5664PD,54,,Donjon,Geldrop
5664PD,55,,Donjon,Geldrop
5664PD,56,,Donjon,Geldrop
5664PD,57,,Donjon,Geldrop
5664PD,58,,Donjon,Geldrop
5664PD,59,,Donjon,Geldrop
5664PD,5,,Donjon,Geldrop
5664PD,60,,Donjon,Geldrop
5664PD,61,,Donjon,Geldrop
5664PD,62,,Donjon,Geldrop
5664PD,63,,Donjon,Geldrop
5664PD,64,,Donjon,Geldrop
5664PD,65,,Donjon,Geldrop
5664PD,66,,Donjon,Geldrop
5664PD,67,,Donjon,Geldrop
5664PD,68,,Donjon,Geldrop
5664PD,69,,Donjon,Geldrop
5664PD,6,,Donjon,Geldrop
5664PD,70,,Donjon,Geldrop
5664PD,71,,Donjon,Geldrop
5664PD,72,,Donjon,Geldrop
5664PD,73,,Donjon,Geldrop
5664PD,74,,Donjon,Geldrop
5664PD,75,,Donjon,Geldrop
5664PD,76,,Donjon,Geldrop
5664PD,77,,Donjon,Geldrop
5664PD,78,,Donjon,Geldrop
5664PD,79,,Donjon,Geldrop
5664PD,7,,Donjon,Geldrop
5664PD,80,,Donjon,Geldrop
5664PD,81,,Donjon,Geldrop
5664PD,82,,Donjon,Geldrop
5731BG,21,,Kerkstraat,Mierlo
5731JL,144,,Dorpsstraat,Mierlo
5731PC,50,,Goorsedijk,Mierlo
5731HE,43,,Brugstraat,Mierlo
5731XV,4,,Eksterlaan,Mierlo
5731AJ,21,,Burgemeester Verheugtstraat,Mierlo
5731JL,146,,Dorpsstraat,Mierlo
5731JH,139,,Dorpsstraat,Mierlo
5731HW,8,,Marktstraat,Mierlo
5731HT,57,,Marktstraat,Mierlo
5731HJ,68,,Brugstraat,Mierlo
5731HJ,70,,Brugstraat,Mierlo
5731BH,49,,Kerkstraat,Mierlo
5731BH,51,,Kerkstraat,Mierlo
5731PN,5,,Trimpert,Mierlo
5731GR,35,,Vesperstraat,Mierlo
5731GG,46,,Bisschop van Mierlostraat,Mierlo
5731VL,14,,Loeswijk,Mierlo
5731VL,20,,Loeswijk,Mierlo
5731JK,102,,Dorpsstraat,Mierlo
5731JK,104,,Dorpsstraat,Mierlo
5731JG,69,,Dorpsstraat,Mierlo
5731RA,79,,Broekstraat,Mierlo
5731SH,4,,Oudvensestraat,Mierlo
5731SH,1,,Oudvensestraat,Mierlo
5731HG,59,,Brugstraat,Mierlo
5731HG,61,,Brugstraat,Mierlo
5731PG,33,,Bekelaar,Mierlo
5731RA,71,,Broekstraat,Mierlo
5731HH,42,,Brugstraat,Mierlo
5731PM,4,,Overakker,Mierlo
5731HJ,60,,Brugstraat,Mierlo
5731DB,10,,Elderse Molen,Mierlo
5731GA,43,,Bisschop van Mierlostraat,Mierlo
5731JL,136,,Dorpsstraat,Mierlo
5731EG,7,,Heer van Scherpenzeelweg,Mierlo
5731GR,19,,Vesperstraat,Mierlo
5731GA,39,,Bisschop van Mierlostraat,Mierlo
5731HK,15,,Eikendreef,Mierlo
5731MJ,60,,Heer de Heuschweg,Mierlo
5731BG,11,,Kerkstraat,Mierlo
5731BG,13,,Kerkstraat,Mierlo
5731VL,38,,Loeswijk,Mierlo
5731GR,21,,Vesperstraat,Mierlo
5731PW,24,,Vamweg,Mierlo
5731XN,4,,Patrijslaan,Mierlo
5731EN,83,,Wilhelminastraat,Mierlo
5731EN,85,,Wilhelminastraat,Mierlo
5731EH,85,,Heer van Scherpenzeelweg,Mierlo
5731PG,8,,Bekelaar,Mierlo
5731GR,27,,Vesperstraat,Mierlo
5731GR,29,,Vesperstraat,Mierlo
5731JA,25,,Ellenaar,Mierlo
5731HT,49,,Marktstraat,Mierlo
5731AC,28,,Geldropseweg,Mierlo
5731HX,74,,Marktstraat,Mierlo
5731XT,30,,Fazantlaan,Mierlo
5731HW,34,,Marktstraat,Mierlo
5731XZ,8,,Boslaan,Mierlo
5731PC,33,,Goorsedijk,Mierlo
5731XX,5,,Boslaan,Mierlo
5731XZ,6,,Boslaan,Mierlo
5731RA,75,,Broekstraat,Mierlo
5731PG,4,,Bekelaar,Mierlo
5731XZ,16,,Boslaan,Mierlo
5731HG,67,,Brugstraat,Mierlo
5731XX,11,,Boslaan,Mierlo
5731PK,44,,Kasteelweg,Mierlo
5731VX,88,,Heer van Rodestraat,Mierlo
5731XZ,12,,Boslaan,Mierlo
5731XZ,4,,Boslaan,Mierlo
