3319PE,160,,Koningstraat,Dordrecht
3319PE,162,,Koningstraat,Dordrecht
3319PE,164,,Koningstraat,Dordrecht
3319PE,166,,Koningstraat,Dordrecht
3319PE,168,,Koningstraat,Dordrecht
3319PE,170,,Koningstraat,Dordrecht
3319PE,172,,Koningstraat,Dordrecht
3319PE,174,,Koningstraat,Dordrecht
3319PE,176,,Koningstraat,Dordrecht
3319PE,178,,Koningstraat,Dordrecht
3319PE,180,,Koningstraat,Dordrecht
3319PE,182,,Koningstraat,Dordrecht
3319PE,184,,Koningstraat,Dordrecht
3319PE,186,,Koningstraat,Dordrecht
3319PE,188,,Koningstraat,Dordrecht
3319PE,190,,Koningstraat,Dordrecht
3319PE,192,,Koningstraat,Dordrecht
3319PE,194,,Koningstraat,Dordrecht
3319PE,196,,Koningstraat,Dordrecht
3319PE,198,,Koningstraat,Dordrecht
3319PG,200,,Koningstraat,Dordrecht
3319PG,202,,Koningstraat,Dordrecht
3319PG,204,,Koningstraat,Dordrecht
3319PG,206,,Koningstraat,Dordrecht
3319PG,208,,Koningstraat,Dordrecht
3319PG,210,,Koningstraat,Dordrecht
3319PG,212,,Koningstraat,Dordrecht
3319PG,214,,Koningstraat,Dordrecht
3319PG,216,,Koningstraat,Dordrecht
3319PG,218,,Koningstraat,Dordrecht
3319PG,220,,Koningstraat,Dordrecht
3319PG,222,,Koningstraat,Dordrecht
3319PG,224,,Koningstraat,Dordrecht
3319PG,226,,Koningstraat,Dordrecht
3319PG,228,,Koningstraat,Dordrecht
3319PG,230,,Koningstraat,Dordrecht
3319PG,232,,Koningstraat,Dordrecht
3319PG,234,,Koningstraat,Dordrecht
3319PG,236,,Koningstraat,Dordrecht
3319PG,238,,Koningstraat,Dordrecht
3319PH,240,,Koningstraat,Dordrecht
3319PH,242,,Koningstraat,Dordrecht
3319PH,244,,Koningstraat,Dordrecht
3319PH,246,,Koningstraat,Dordrecht
3319PH,248,,Koningstraat,Dordrecht
3319PH,250,,Koningstraat,Dordrecht
3319PH,252,,Koningstraat,Dordrecht
3319PH,254,,Koningstraat,Dordrecht
3319PH,256,,Koningstraat,Dordrecht
3319PH,258,,Koningstraat,Dordrecht
3319PH,260,,Koningstraat,Dordrecht
3319PH,262,,Koningstraat,Dordrecht
3319PH,264,,Koningstraat,Dordrecht
3319PH,266,,Koningstraat,Dordrecht
3319PH,268,,Koningstraat,Dordrecht
3319PH,270,,Koningstraat,Dordrecht
3319PH,272,,Koningstraat,Dordrecht
3319PH,274,,Koningstraat,Dordrecht
3319PH,276,,Koningstraat,Dordrecht
3319PH,278,,Koningstraat,Dordrecht
3319PH,280,,Koningstraat,Dordrecht
3319PH,282,,Koningstraat,Dordrecht
3319PH,284,,Koningstraat,Dordrecht
3319PH,286,,Koningstraat,Dordrecht
3319PH,288,,Koningstraat,Dordrecht
3319PH,290,,Koningstraat,Dordrecht
3319PH,294,,Koningstraat,Dordrecht
3319PH,296,,Koningstraat,Dordrecht
3319PH,404,,Koningstraat,Dordrecht
3311ER,1,,Van der Kooghplaats,Dordrecht
3311ND,1,,Korte Breestraat,Dordrecht
3311ND,2,,Korte Breestraat,Dordrecht
3311ND,3,,Korte Breestraat,Dordrecht
3311ND,14,,Korte Breestraat,Dordrecht
3311ND,16,,Korte Breestraat,Dordrecht
3311ND,20,,Korte Breestraat,Dordrecht
3311ND,22,,Korte Breestraat,Dordrecht
3311ND,26,,Korte Breestraat,Dordrecht
3311ND,28,,Korte Breestraat,Dordrecht
3311ND,30,,Korte Breestraat,Dordrecht
3311ND,32,,Korte Breestraat,Dordrecht
3311ND,34,,Korte Breestraat,Dordrecht
3311ND,36,,Korte Breestraat,Dordrecht
3311ND,38,,Korte Breestraat,Dordrecht
3311CG,2,,Korte Engelenburgerkade,Dordrecht
3311CG,3,,Korte Engelenburgerkade,Dordrecht
3311CG,4,,Korte Engelenburgerkade,Dordrecht
3311CG,5,,Korte Engelenburgerkade,Dordrecht
3311CG,6,,Korte Engelenburgerkade,Dordrecht
3311CG,7,,Korte Engelenburgerkade,Dordrecht
3311CG,8,,Korte Engelenburgerkade,Dordrecht
3311CG,10,,Korte Engelenburgerkade,Dordrecht
3311CG,12,,Korte Engelenburgerkade,Dordrecht
3311CG,14,,Korte Engelenburgerkade,Dordrecht
3311CG,16,,Korte Engelenburgerkade,Dordrecht
3311CG,18,,Korte Engelenburgerkade,Dordrecht
3311CG,20,,Korte Engelenburgerkade,Dordrecht
3311CG,22,,Korte Engelenburgerkade,Dordrecht
3311CG,24,,Korte Engelenburgerkade,Dordrecht
3311CG,26,,Korte Engelenburgerkade,Dordrecht
3311CH,1,,Korte Geldersekade,Dordrecht
3311CH,2,,Korte Geldersekade,Dordrecht
3311CH,3,,Korte Geldersekade,Dordrecht
3311CH,4,,Korte Geldersekade,Dordrecht
3311CH,6,,Korte Geldersekade,Dordrecht
3311CH,8,,Korte Geldersekade,Dordrecht
3311JM,1,,Korte Kalkhaven,Dordrecht
3311JM,3,,Korte Kalkhaven,Dordrecht
3311JM,4,,Korte Kalkhaven,Dordrecht
3311JM,5,,Korte Kalkhaven,Dordrecht
3311JM,7,,Korte Kalkhaven,Dordrecht
3311JM,9,,Korte Kalkhaven,Dordrecht
3311XJ,1,,Korte Nieuwstraat,Dordrecht
3311XJ,2,,Korte Nieuwstraat,Dordrecht
3311XJ,4,,Korte Nieuwstraat,Dordrecht
3311XJ,7,,Korte Nieuwstraat,Dordrecht
3311XJ,8,,Korte Nieuwstraat,Dordrecht
3311XJ,9,,Korte Nieuwstraat,Dordrecht
3311XJ,11,,Korte Nieuwstraat,Dordrecht
3311JN,51,,Korte Parallelweg,Dordrecht
3311JN,99,,Korte Parallelweg,Dordrecht
3311JN,155,,Korte Parallelweg,Dordrecht
3311JN,157,,Korte Parallelweg,Dordrecht
3311JN,159,,Korte Parallelweg,Dordrecht
3311JN,165,,Korte Parallelweg,Dordrecht
3311JN,169,,Korte Parallelweg,Dordrecht
3311JN,171,,Korte Parallelweg,Dordrecht
3311JN,175,,Korte Parallelweg,Dordrecht
3311JN,179,,Korte Parallelweg,Dordrecht
3311JN,221,,Korte Parallelweg,Dordrecht
3311JN,235,,Korte Parallelweg,Dordrecht
3312JM,1,,Korte Scheidingsweg,Dordrecht
3312JN,2,,Korte Scheidingsweg,Dordrecht
3312JM,3,,Korte Scheidingsweg,Dordrecht
3312JN,4,,Korte Scheidingsweg,Dordrecht
3312JM,5,,Korte Scheidingsweg,Dordrecht
3312JN,6,,Korte Scheidingsweg,Dordrecht
3312JM,7,,Korte Scheidingsweg,Dordrecht
3312JN,8,,Korte Scheidingsweg,Dordrecht
3312JM,9,,Korte Scheidingsweg,Dordrecht
3312JN,10,,Korte Scheidingsweg,Dordrecht
3312JM,11,,Korte Scheidingsweg,Dordrecht
3312JN,12,,Korte Scheidingsweg,Dordrecht
3312JM,13,,Korte Scheidingsweg,Dordrecht
3312JN,14,,Korte Scheidingsweg,Dordrecht
3312JM,15,,Korte Scheidingsweg,Dordrecht
