8,1448SP,Walvisbaai,Purmerend
9,1448SP,Walvisbaai,Purmerend
10,1444VL,Waterhoenhof,Purmerend
11,1444VK,Waterhoenhof,Purmerend
12,1444VL,Waterhoenhof,Purmerend
13,1444VK,Waterhoenhof,Purmerend
14,1444VL,Waterhoenhof,Purmerend
15,1444VK,Waterhoenhof,Purmerend
16,1444VL,Waterhoenhof,Purmerend
17,1444VK,Waterhoenhof,Purmerend
18,1444VL,Waterhoenhof,Purmerend
1,1444VK,Waterhoenhof,Purmerend
21,1444VK,Waterhoenhof,Purmerend
22,1444VL,Waterhoenhof,Purmerend
24,1444VL,Waterhoenhof,Purmerend
25,1444VK,Waterhoenhof,Purmerend
26,1444VL,Waterhoenhof,Purmerend
75,1442CJ,Van IJsendijkstraat,Purmerend
76,1442CR,Van IJsendijkstraat,Purmerend
77,1442CJ,Van IJsendijkstraat,Purmerend
78,1442CR,Van IJsendijkstraat,Purmerend
79,1442CJ,Van IJsendijkstraat,Purmerend
80,1442CR,Van IJsendijkstraat,Purmerend
82,1442CR,Van IJsendijkstraat,Purmerend
83,1442CJ,Van IJsendijkstraat,Purmerend
84,1442CR,Van IJsendijkstraat,Purmerend
85,1442CJ,Van IJsendijkstraat,Purmerend
86,1442CR,Van IJsendijkstraat,Purmerend
87,1442CJ,Van IJsendijkstraat,Purmerend
88,1442CR,Van IJsendijkstraat,Purmerend
89,1442CJ,Van IJsendijkstraat,Purmerend
9,1442CH,Van IJsendijkstraat,Purmerend
91,1442CJ,Van IJsendijkstraat,Purmerend
93,1442CK,Van IJsendijkstraat,Purmerend
94,1442CR,Van IJsendijkstraat,Purmerend
95,1442CK,Van IJsendijkstraat,Purmerend
96,1442CR,Van IJsendijkstraat,Purmerend
25,1442BA,Johanna Naberstraat,Purmerend
17,1441JC,Hyacinthenstraat,Purmerend
23,1441JC,Hyacinthenstraat,Purmerend
28,1441JC,Hyacinthenstraat,Purmerend
20,1445NL,Jachtwagenstraat,Purmerend
24,1445NL,Jachtwagenstraat,Purmerend
14,1441JX,Jasmijnstraat,Purmerend
144,1441JX,Jasmijnstraat,Purmerend
15,1441JW,Jasmijnstraat,Purmerend
154,1441JX,Jasmijnstraat,Purmerend
12,1443EC,John F. Kennedyplein,Purmerend
18,1443EC,John F. Kennedyplein,Purmerend
21,1443EA,John F. Kennedyplein,Purmerend
25,1443EA,John F. Kennedyplein,Purmerend
15,1448GH,Hydepark,Purmerend
24,1448GH,Hydepark,Purmerend
45,1445NG,Jachtwagenstraat,Purmerend
19,1441KT,Neckerstraat,Purmerend
43,1441KT,Neckerstraat,Purmerend
54,1441TC,Ooievaarsbek,Purmerend
6,1441TB,Ooievaarsbek,Purmerend
7,1441TA,Ooievaarsbek,Purmerend
18,1441CG,Oude Sluis,Purmerend
25,1441CG,Oude Sluis,Purmerend
34,1441CG,Oude Sluis,Purmerend
27,1448CL,Moessonstraat,Purmerend
5,1448CL,Moessonstraat,Purmerend
5,1441AA,Molenplantsoen,Purmerend
47,1446WS,Netwerk,Purmerend
53,1446WS,Netwerk,Purmerend
16,1444XE,Oostervenne,Purmerend
201,1444XH,Oostervenne,Purmerend
104,1445DB,Overlanderstraat,Purmerend
114,1445DB,Overlanderstraat,Purmerend
24,1448GJ,Monceaupark,Purmerend
33,1448GJ,Monceaupark,Purmerend
41,1448GJ,Monceaupark,Purmerend
47,1446VS,Newtonstraat,Purmerend
55,1446VS,Newtonstraat,Purmerend
234,1444XJ,Oostervenne,Purmerend
24,1444XE,Oostervenne,Purmerend
245,1444XK,Oostervenne,Purmerend
160,1445DC,Overlanderstraat,Purmerend
170,1445DC,Overlanderstraat,Purmerend
181,1445DP,Overlanderstraat,Purmerend
186,1445DC,Overlanderstraat,Purmerend
13,1444VM,Meerkoethof,Purmerend
17,1444VM,Meerkoethof,Purmerend
337,1443EM,Boeierstraat,Purmerend
103,1443GJ,Botterstraat,Purmerend
113,1443GJ,Botterstraat,Purmerend
121,1443GK,Botterstraat,Purmerend
53,1448KR,Barcelonahaven,Purmerend
59,1448KR,Barcelonahaven,Purmerend
62,1448KR,Barcelonahaven,Purmerend
15,1448CB,Bromostraat,Purmerend
18,1448CC,Bromostraat,Purmerend
563,1444BR,Burgemeester D. Kooimanweg,Purmerend
571,1444BR,Burgemeester D. Kooimanweg,Purmerend
579,1444BR,Burgemeester D. Kooimanweg,Purmerend
585,1444BR,Burgemeester D. Kooimanweg,Purmerend
593,1444BR,Burgemeester D. Kooimanweg,Purmerend
338,1443XP,Citerstraat,Purmerend
348,1443XP,Citerstraat,Purmerend
356,1443XP,Citerstraat,Purmerend
12,1441PG,Brunelhof,Purmerend
18,1441PG,Brunelhof,Purmerend
623,1444BS,Burgemeester D. Kooimanweg,Purmerend
631,1444BS,Burgemeester D. Kooimanweg,Purmerend
645,1444BT,Burgemeester D. Kooimanweg,Purmerend
651,1444BT,Burgemeester D. Kooimanweg,Purmerend
23,1447PG,Carbasiusstraat,Purmerend
27,1447PG,Carbasiusstraat,Purmerend
30,1447PH,Carbasiusstraat,Purmerend
58,1443XH,Citerstraat,Purmerend
13,1445EC,Bunderstraat,Purmerend
18,1445EC,Bunderstraat,Purmerend
22,1441PT,Dovenetelstraat,Purmerend
25,1441PS,Dovenetelstraat,Purmerend
33,1447NP,Da Palestrinastraat,Purmerend
39,1447NP,Da Palestrinastraat,Purmerend
41,1447NP,Da Palestrinastraat,Purmerend
151,1444XZ,De Roerdomp,Purmerend
157,1444XZ,De Roerdomp,Purmerend
162,1444XZ,De Roerdomp,Purmerend
131,1447ZS,Dom Helder Camarastraat,Purmerend
133,1447ZT,Dom Helder Camarastraat,Purmerend
41,1441PS,Dovenetelstraat,Purmerend
44,1441PT,Dovenetelstraat,Purmerend
47,1441PS,Dovenetelstraat,Purmerend
51,1441PS,Dovenetelstraat,Purmerend
191,1444XZ,De Roerdomp,Purmerend
25,1447BR,Ommeland,Purmerend
37,1443AM,Orionweg,Purmerend
9,1443AM,Orionweg,Purmerend
15,1441SN,Moerasvaren,Purmerend
86,1447KL,Naardermeer,Purmerend
99,1447KM,Naardermeer,Purmerend
8,1441BG,Kaasmarkt,Purmerend
10,1444HV,Karekietpark,Purmerend
2,1445KT,Karnstraat,Purmerend
20,1448DS,Kimonostraat,Purmerend
42,1448DS,Kimonostraat,Purmerend
6,1445LD,Kaasvormstraat,Purmerend
4,1445KT,Karnstraat,Purmerend
54,1445KW,Karnstraat,Purmerend
4,1447JH,Kinselmeer,Purmerend
62,1447CL,Koggenland,Purmerend
23,1448DT,Kabajastraat,Purmerend
37,1448DT,Kabajastraat,Purmerend
19,1441VA,Klaproos,Purmerend
