8802BL,14,,Meteoorbaan,Franeker
8851GZ,24,,De Fjouwere,Tzummarum
8802BL,18,,Meteoorbaan,Franeker
8802BL,4,,Meteoorbaan,Franeker
8802BC,8,,Mercuriusbaan,Franeker
8802ME,12,,Binnenhof,Franeker
8802BL,10,,Meteoorbaan,Franeker
8855DA,19,,De Kampen,Sexbierum
8802BL,19,,Meteoorbaan,Franeker
8801JW,62,,Oostelijke Industrieweg,Franeker
8802BL,9,,Meteoorbaan,Franeker
8802BL,8,,Meteoorbaan,Franeker
8801JW,50,,Oostelijke Industrieweg,Franeker
8802ME,14,,Binnenhof,Franeker
8802BL,3,,Meteoorbaan,Franeker
8804SG,18,,Jorit Martensstrjitte,Tzum
8802BM,9,,Plutobaan,Franeker
8851RH,21,,Sytzamaleane,Tzummarum
8802ME,16,,Binnenhof,Franeker
8804SC,32,,Pastorijleane,Tzum
8802BL,5,,Meteoorbaan,Franeker
8812JS,17,,Potterslân,Peins
8802BM,5,,Plutobaan,Franeker
8802BA,4,,Marsbaan,Franeker
8802DL,13,,Duukelaar,Franeker
8802PK,45,,Sexbierumerweg,Franeker
8802DK,13,,Oevergast,Franeker
8802DB,18,,Sneeuwvlerk,Franeker
8801PB,71,,Harlingerweg,Franeker
8802DB,16,,Sneeuwvlerk,Franeker
8802DB,1,,Sneeuwvlerk,Franeker
8851GR,18,,De Buffer,Tzummarum
8802ZC,11,,A van Voorthuijsenweg,Franeker
8802ZD,27,,A van Voorthuijsenweg,Franeker
8801BZ,1,,Albrondalaan,Franeker
8802DJ,5,,Severander,Franeker
8802DL,42,,Duukelaar,Franeker
8802DK,17,,Oevergast,Franeker
8802DL,40,,Duukelaar,Franeker
8801HB,28,,Professor J Bogermanstraat,Franeker
8802PV,4,,Het Want,Franeker
8802DA,1,,Snepper,Franeker
8801AW,2,,Zevenhuizen,Franeker
8802DJ,34,,Severander,Franeker
8802DL,44,,Duukelaar,Franeker
8802DJ,50,,Severander,Franeker
8802DK,3,,Oevergast,Franeker
8802BN,15,,Junobaan,Franeker
8855GA,20,,De Tsjerke-ekers,Sexbierum
8801HB,30,,Professor J Bogermanstraat,Franeker
8802DL,38,,Duukelaar,Franeker
8802DL,15,,Duukelaar,Franeker
8802PK,43,,Sexbierumerweg,Franeker
8802BN,13,,Junobaan,Franeker
8802DJ,18,,Severander,Franeker
8804NK,15,,Wommelserweg,Tzum
8851GR,12,,De Buffer,Tzummarum
8801KZ,9,,Voorstraat,Franeker
8802BN,11,,Junobaan,Franeker
8806KT,14,,Dorpsstraat,Achlum
8801HB,32,,Professor J Bogermanstraat,Franeker
8802DK,11,,Oevergast,Franeker
8802DL,17,,Duukelaar,Franeker
8802BN,17,,Junobaan,Franeker
8802BG,15,,Neptunusbaan,Franeker
8802DJ,38,,Severander,Franeker
8802DK,5,,Oevergast,Franeker
8802DG,12,,Waloen,Franeker
8802DL,19,,Duukelaar,Franeker
8801RA,25,,De Wieken,Franeker
8801HA,1,,Professor J Bogermanstraat,Franeker
8802DH,1,,Windzwever,Franeker
8802DL,1,,Duukelaar,Franeker
8802BG,13,,Neptunusbaan,Franeker
8802DL,36,,Duukelaar,Franeker
8802DJ,46,,Severander,Franeker
8802BP,8,,Pallasbaan,Franeker
8802DK,7,,Oevergast,Franeker
8802DJ,30,,Severander,Franeker
8854AV,20,,Eilânswei,Oosterbierum
8801HA,3,,Professor J Bogermanstraat,Franeker
8802DD,2,,Maanvogel,Franeker
8802DL,28,,Duukelaar,Franeker
8802BP,6,,Pallasbaan,Franeker
8801PB,69,,Harlingerweg,Franeker
8802DB,2,,Sneeuwvlerk,Franeker
8802DL,2,,Duukelaar,Franeker
8801HA,5,,Professor J Bogermanstraat,Franeker
8802BR,24,,Ceresbaan,Franeker
8802BP,10,,Pallasbaan,Franeker
8802DL,30,,Duukelaar,Franeker
8802DL,7,,Duukelaar,Franeker
8802DL,8,,Duukelaar,Franeker
8802DJ,56,,Severander,Franeker
8802DK,21,,Oevergast,Franeker
8802DL,10,,Duukelaar,Franeker
8802DJ,42,,Severander,Franeker
8801HA,9,,Professor J Bogermanstraat,Franeker
8802DJ,48,,Severander,Franeker
8802DJ,58,,Severander,Franeker
8801PG,13,,Burgemeester J Dijkstraweg,Franeker
8801PG,3,02,Burgemeester J Dijkstraweg,Franeker
8801AT,1,,Vijfhuizen,Franeker
8802NN,54,,Schoener,Franeker
8802LB,10,,Tjotter,Franeker
8801LK,41,,Sint Martiniplantsoen,Franeker
8801HA,11,,Professor J Bogermanstraat,Franeker
8855GA,33,,De Tsjerke-ekers,Sexbierum
8801BB,19,,Lycklamastraat,Franeker
8801BB,33,,Lycklamastraat,Franeker
8801BB,25,,Lycklamastraat,Franeker
8801BB,27,,Lycklamastraat,Franeker
8801BB,31,,Lycklamastraat,Franeker
8802DL,12,,Duukelaar,Franeker
8802DL,18,,Duukelaar,Franeker
8851GR,28,,De Buffer,Tzummarum
8801HA,13,,Professor J Bogermanstraat,Franeker
8854AV,18,,Eilânswei,Oosterbierum
8851GR,36,,De Buffer,Tzummarum
8851GR,38,,De Buffer,Tzummarum
8851GR,34,,De Buffer,Tzummarum
8851GR,24,,De Buffer,Tzummarum
8851GR,32,,De Buffer,Tzummarum
8802DJ,28,,Severander,Franeker
8801BB,21,,Lycklamastraat,Franeker
8801AT,21,,Vijfhuizen,Franeker
8802DA,2,,Snepper,Franeker
8851GR,22,,De Buffer,Tzummarum
8802DH,3,,Windzwever,Franeker
8854AV,16,,Eilânswei,Oosterbierum
8851EH,61,,Swaerderwei,Tzummarum
8802DJ,36,,Severander,Franeker
