11,1486MR,Cornelis Blaauwstraat,West-Graftdijk
45,1483AC,Oosteinde,De Rijp
46,1483AE,Oosteinde,De Rijp
47,1483AC,Oosteinde,De Rijp
51,1483AC,Oosteinde,De Rijp
1,1483AM,Oosterpark,De Rijp
3,1483AM,Oosterpark,De Rijp
4,1483AM,Oosterpark,De Rijp
6,1483AM,Oosterpark,De Rijp
7,1483AM,Oosterpark,De Rijp
8,1483AM,Oosterpark,De Rijp
9,1483AM,Oosterpark,De Rijp
12,1483AM,Oosterpark,De Rijp
13,1483AM,Oosterpark,De Rijp
5,1483VC,Leeghwaterstraat,De Rijp
9,1483VC,Leeghwaterstraat,De Rijp
10,1483VC,Leeghwaterstraat,De Rijp
11,1483VC,Leeghwaterstraat,De Rijp
13,1483VC,Leeghwaterstraat,De Rijp
10,1484EE,Mieuwijdt,Graft
11,1484EE,Mieuwijdt,Graft
14,1484EE,Mieuwijdt,Graft
15,1484EE,Mieuwijdt,Graft
29,1484EE,Mieuwijdt,Graft
31,1484EE,Mieuwijdt,Graft
1,1483TD,Morgenstraat,De Rijp
2,1483TE,Morgenstraat,De Rijp
3,1483TD,Morgenstraat,De Rijp
4,1483TE,Morgenstraat,De Rijp
7,1483TD,Morgenstraat,De Rijp
10,1483TE,Morgenstraat,De Rijp
11,1483TD,Morgenstraat,De Rijp
13,1483TD,Morgenstraat,De Rijp
15,1483TD,Morgenstraat,De Rijp
16,1483TE,Morgenstraat,De Rijp
17,1483TD,Morgenstraat,De Rijp
19,1483TD,Morgenstraat,De Rijp
20,1483TE,Morgenstraat,De Rijp
23,1483TD,Morgenstraat,De Rijp
25,1483TD,Morgenstraat,De Rijp
27,1483TD,Morgenstraat,De Rijp
34,1483TE,Morgenstraat,De Rijp
10,1483BX,Lievelandsbuurt,De Rijp
16,1483BX,Lievelandsbuurt,De Rijp
18,1483BX,Lievelandsbuurt,De Rijp
20,1483BX,Lievelandsbuurt,De Rijp
1,1483CX,Looijerspad,De Rijp
5,1483CX,Looijerspad,De Rijp
4,1483VN,Margrietstraat,De Rijp
6,1483VN,Margrietstraat,De Rijp
10,1483VN,Margrietstraat,De Rijp
12,1483VN,Margrietstraat,De Rijp
13,1483VN,Margrietstraat,De Rijp
5,1536AB,Markervaart,Markenbinnen
7,1536AB,Markervaart,Markenbinnen
11,1536AB,Markervaart,Markenbinnen
15,1536AB,Markervaart,Markenbinnen
2,1483CC,Marten Michielshof,De Rijp
4,1483CC,Marten Michielshof,De Rijp
5,1483CA,Marten Michielshof,De Rijp
7,1483CA,Marten Michielshof,De Rijp
9,1483CA,Marten Michielshof,De Rijp
10,1483CC,Marten Michielshof,De Rijp
13,1483CA,Marten Michielshof,De Rijp
15,1483CA,Marten Michielshof,De Rijp
16,1483CC,Marten Michielshof,De Rijp
28,1483CC,Marten Michielshof,De Rijp
29,1483CB,Marten Michielshof,De Rijp
31,1483CB,Marten Michielshof,De Rijp
34,1483CD,Marten Michielshof,De Rijp
35,1483CB,Marten Michielshof,De Rijp
36,1483CD,Marten Michielshof,De Rijp
39,1483CB,Marten Michielshof,De Rijp
40,1483CD,Marten Michielshof,De Rijp
41,1483CB,Marten Michielshof,De Rijp
44,1483CD,Marten Michielshof,De Rijp
59,1483CB,Marten Michielshof,De Rijp
63,1483CB,Marten Michielshof,De Rijp
65,1483CB,Marten Michielshof,De Rijp
1,1484EB,Meertouw,Graft
2,1484EB,Meertouw,Graft
7,1484EB,Meertouw,Graft
8,1484EB,Meertouw,Graft
12,1484EB,Meertouw,Graft
13,1484EB,Meertouw,Graft
15,1484EB,Meertouw,Graft
16,1484EB,Meertouw,Graft
19,1484EB,Meertouw,Graft
21,1484EB,Meertouw,Graft
23,1484EB,Meertouw,Graft
4,1488AL,Middelweg,Starnmeer
7,1488AK,Middelweg,Starnmeer
8,1488AL,Middelweg,Starnmeer
10,1488AL,Middelweg,Starnmeer
12,1488AL,Middelweg,Starnmeer
16,1488AL,Middelweg,Starnmeer
22,1488AL,Middelweg,Starnmeer
24,1488AL,Middelweg,Starnmeer
26,1488AL,Middelweg,Starnmeer
28,1488AL,Middelweg,Starnmeer
30,1488AL,Middelweg,Starnmeer
36,1488AL,Middelweg,Starnmeer
22,1487MB,Oostgraftdijk,Oost-Graftdijk
23,1487MB,Oostgraftdijk,Oost-Graftdijk
27,1487MB,Oostgraftdijk,Oost-Graftdijk
29,1487MB,Oostgraftdijk,Oost-Graftdijk
48,1487MC,Oostgraftdijk,Oost-Graftdijk
50,1487MC,Oostgraftdijk,Oost-Graftdijk
51,1487MC,Oostgraftdijk,Oost-Graftdijk
56,1487MC,Oostgraftdijk,Oost-Graftdijk
58,1487MC,Oostgraftdijk,Oost-Graftdijk
62,1487MC,Oostgraftdijk,Oost-Graftdijk
64,1487MC,Oostgraftdijk,Oost-Graftdijk
70,1487MD,Oostgraftdijk,Oost-Graftdijk
74,1487MD,Oostgraftdijk,Oost-Graftdijk
82,1487MD,Oostgraftdijk,Oost-Graftdijk
92,1487MD,Oostgraftdijk,Oost-Graftdijk
106,1487MD,Oostgraftdijk,Oost-Graftdijk
107,1487MD,Oostgraftdijk,Oost-Graftdijk
109,1487MD,Oostgraftdijk,Oost-Graftdijk
1,1484ER,Oostwijk,Graft
3,1484ER,Oostwijk,Graft
5,1484ER,Oostwijk,Graft
6,1484ER,Oostwijk,Graft
1,1483BR,Nieuwland,De Rijp
6,1483BR,Nieuwland,De Rijp
8,1483BR,Nieuwland,De Rijp
10,1483BR,Nieuwland,De Rijp
2,1485EV,Noordeinde,Noordeinde
4,1485EV,Noordeinde,Noordeinde
5,1485ET,Noordeinde,Noordeinde
7,1485ET,Noordeinde,Noordeinde
10,1485EV,Noordeinde,Noordeinde
15,1485ET,Noordeinde,Noordeinde
16,1485EV,Noordeinde,Noordeinde
18,1485EV,Noordeinde,Noordeinde
19,1485ET,Noordeinde,Noordeinde
21,1485ET,Noordeinde,Noordeinde
22,1485EV,Noordeinde,Noordeinde
23,1485ET,Noordeinde,Noordeinde
24,1485EV,Noordeinde,Noordeinde
29,1485ET,Noordeinde,Noordeinde
33,1485ET,Noordeinde,Noordeinde
34,1485EV,Noordeinde,Noordeinde
38,1485EV,Noordeinde,Noordeinde
39,1485ET,Noordeinde,Noordeinde
43,1485ET,Noordeinde,Noordeinde
45,1485ET,Noordeinde,Noordeinde
47,1486MZ,Noorderstraat,West-Graftdijk
53,1486MZ,Noorderstraat,West-Graftdijk
59,1486MZ,Noorderstraat,West-Graftdijk
63,1486MZ,Noorderstraat,West-Graftdijk
77,1486MZ,Noorderstraat,West-Graftdijk
2,1483AA,Oostdijkje,De Rijp
5,1483AA,Oostdijkje,De Rijp
7,1483AA,Oostdijkje,De Rijp
12,1483AA,Oostdijkje,De Rijp
14,1483AA,Oostdijkje,De Rijp
3,1483AB,Oosteinde,De Rijp
7,1483AB,Oosteinde,De Rijp
9,1483AB,Oosteinde,De Rijp
10,1483AD,Oosteinde,De Rijp
11,1483AB,Oosteinde,De Rijp
33,1483BA,Rechtestraat,De Rijp
35,1483BB,Rechtestraat,De Rijp
36,1483BD,Rechtestraat,De Rijp
40,1483BD,Rechtestraat,De Rijp
41,1483BB,Rechtestraat,De Rijp
43,1483BB,Rechtestraat,De Rijp
53,1483BB,Rechtestraat,De Rijp
55,1483BB,Rechtestraat,De Rijp
57,1483BB,Rechtestraat,De Rijp
64,1483BE,Rechtestraat,De Rijp
66,1483BE,Rechtestraat,De Rijp
67,1483BC,Rechtestraat,De Rijp
71,1483BC,Rechtestraat,De Rijp
73,1483BC,Rechtestraat,De Rijp
75,1483BC,Rechtestraat,De Rijp
35,1483AR,Tuingracht,De Rijp
37,1483AR,Tuingracht,De Rijp
3,1483BV,Venbuurt,De Rijp
5,1483BV,Venbuurt,De Rijp
10,1483BV,Venbuurt,De Rijp
12,1483BV,Venbuurt,De Rijp
13,1483BV,Venbuurt,De Rijp
15,1483BV,Venbuurt,De Rijp
16,1483BV,Venbuurt,De Rijp
17,1483BV,Venbuurt,De Rijp
18,1483BV,Venbuurt,De Rijp
1,1483BS,Vlaander,De Rijp
2,1483BS,Vlaander,De Rijp
4,1483BS,Vlaander,De Rijp
6,1483BS,Vlaander,De Rijp
8,1483BS,Vlaander,De Rijp
9,1483BS,Vlaander,De Rijp
10,1483BS,Vlaander,De Rijp
1,1483EA,Westeinde,De Rijp
4,1483EA,Westeinde,De Rijp
6,1483EA,Westeinde,De Rijp
32,1483EB,Westeinde,De Rijp
34,1483EB,Westeinde,De Rijp
36,1483EB,Westeinde,De Rijp
44,1483EB,Westeinde,De Rijp
48,1483EB,Westeinde,De Rijp
50,1483EB,Westeinde,De Rijp
54,1483EB,Westeinde,De Rijp
56,1483EB,Westeinde,De Rijp
58,1483EB,Westeinde,De Rijp
60,1483EB,Westeinde,De Rijp
1,1483XJ,Wevershof,De Rijp
4,1483XJ,Wevershof,De Rijp
5,1483XJ,Wevershof,De Rijp
6,1483XJ,Wevershof,De Rijp
9,1483AZ,Rietbuurt,De Rijp
10,1483AZ,Rietbuurt,De Rijp
11,1483AZ,Rietbuurt,De Rijp
12,1483AZ,Rietbuurt,De Rijp
15,1483AZ,Rietbuurt,De Rijp
17,1483AZ,Rietbuurt,De Rijp
20,1483AZ,Rietbuurt,De Rijp
22,1483AZ,Rietbuurt,De Rijp
23,1483AZ,Rietbuurt,De Rijp
1,1486MC,Ringdijk,West-Graftdijk
3,1484PC,Ringdijk,Graft
5,1483AN,Rolderspad,De Rijp
3,1536AP,Schakelstraat,Markenbinnen
5,1536AP,Schakelstraat,Markenbinnen
10,1536AR,Schakelstraat,Markenbinnen
11,1536AP,Schakelstraat,Markenbinnen
12,1536AR,Schakelstraat,Markenbinnen
14,1536AR,Schakelstraat,Markenbinnen
18,1536AR,Schakelstraat,Markenbinnen
20,1536AR,Schakelstraat,Markenbinnen
29,1536AP,Schakelstraat,Markenbinnen
33,1536AP,Schakelstraat,Markenbinnen
35,1536AP,Schakelstraat,Markenbinnen
5,1483AS,Sint Jacobsbuurt,De Rijp
15,1483AM,Oosterpark,De Rijp
19,1487MB,Oostgraftdijk,Oost-Graftdijk
20,1487MB,Oostgraftdijk,Oost-Graftdijk
21,1487MB,Oostgraftdijk,Oost-Graftdijk
7,1484ER,Oostwijk,Graft
11,1484ER,Oostwijk,Graft
12,1484ER,Oostwijk,Graft
1,1483VP,Oranjestraat,De Rijp
2,1483VP,Oranjestraat,De Rijp
3,1483VP,Oranjestraat,De Rijp
4,1483VP,Oranjestraat,De Rijp
6,1483VP,Oranjestraat,De Rijp
7,1483VP,Oranjestraat,De Rijp
9,1483VP,Oranjestraat,De Rijp
10,1483VP,Oranjestraat,De Rijp
12,1483VP,Oranjestraat,De Rijp
14,1483VP,Oranjestraat,De Rijp
16,1483VP,Oranjestraat,De Rijp
24,1483VP,Oranjestraat,De Rijp
3,1486MD,Oude Werf,West-Graftdijk
4,1486MD,Oude Werf,West-Graftdijk
5,1486MD,Oude Werf,West-Graftdijk
6,1486MD,Oude Werf,West-Graftdijk
76,1483BE,Rechtestraat,De Rijp
83,1483BC,Rechtestraat,De Rijp
85,1483BC,Rechtestraat,De Rijp
91,1483BC,Rechtestraat,De Rijp
92,1483BE,Rechtestraat,De Rijp
96,1483BE,Rechtestraat,De Rijp
98,1483BE,Rechtestraat,De Rijp
100,1483BE,Rechtestraat,De Rijp
106,1483BE,Rechtestraat,De Rijp
108,1483BG,Rechtestraat,De Rijp
110,1483BG,Rechtestraat,De Rijp
114,1483BG,Rechtestraat,De Rijp
120,1483BG,Rechtestraat,De Rijp
136,1483BG,Rechtestraat,De Rijp
140,1483BG,Rechtestraat,De Rijp
160,1483BH,Rechtestraat,De Rijp
164,1483BH,Rechtestraat,De Rijp
166,1483BH,Rechtestraat,De Rijp
168,1483BH,Rechtestraat,De Rijp
172,1483BH,Rechtestraat,De Rijp
174,1483BH,Rechtestraat,De Rijp
176,1483BH,Rechtestraat,De Rijp
1,1483AZ,Rietbuurt,De Rijp
3,1483AZ,Rietbuurt,De Rijp
4,1483AZ,Rietbuurt,De Rijp
5,1483AZ,Rietbuurt,De Rijp
8,1486MD,Oude Werf,West-Graftdijk
3,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
5,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
6,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
8,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
10,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
12,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
13,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
15,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
17,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
9,1536AC,Provincialeweg,Markenbinnen
4,1484EM,Raadhuisstraat,Graft
5,1484EM,Raadhuisstraat,Graft
