6691DJ,27,,Dwarsakker,Gendt
6691DK,28,,Dwarsakker,Gendt
6691DJ,29,,Dwarsakker,Gendt
6691DK,30,,Dwarsakker,Gendt
6691DJ,31,,Dwarsakker,Gendt
6691DJ,33,,Dwarsakker,Gendt
6691DJ,35,,Dwarsakker,Gendt
6691DJ,37,,Dwarsakker,Gendt
6691DJ,39,,Dwarsakker,Gendt
6691DJ,41,,Dwarsakker,Gendt
6691DJ,43,,Dwarsakker,Gendt
6691DJ,45,,Dwarsakker,Gendt
6681TR,1,,Dwarsdijk,Bemmel
6681TT,2,,Dwarsdijk,Bemmel
6681TR,3,,Dwarsdijk,Bemmel
6681TT,4,,Dwarsdijk,Bemmel
6681TR,5,,Dwarsdijk,Bemmel
6681TT,6,,Dwarsdijk,Bemmel
6681TR,7,,Dwarsdijk,Bemmel
6681TT,8,,Dwarsdijk,Bemmel
6681TR,9,,Dwarsdijk,Bemmel
6681TT,10,,Dwarsdijk,Bemmel
6681TR,11,,Dwarsdijk,Bemmel
6681TT,12,,Dwarsdijk,Bemmel
6681TR,13,,Dwarsdijk,Bemmel
6681TT,14,,Dwarsdijk,Bemmel
6681TR,15,,Dwarsdijk,Bemmel
6681TT,16,,Dwarsdijk,Bemmel
6681TR,17,,Dwarsdijk,Bemmel
6681TT,18,,Dwarsdijk,Bemmel
6681TR,19,,Dwarsdijk,Bemmel
6681TR,21,,Dwarsdijk,Bemmel
6681TT,22,,Dwarsdijk,Bemmel
6681TR,23,,Dwarsdijk,Bemmel
6681TT,24,,Dwarsdijk,Bemmel
6681TR,25,,Dwarsdijk,Bemmel
6681TT,26,,Dwarsdijk,Bemmel
6681TR,27,,Dwarsdijk,Bemmel
6681TT,28,,Dwarsdijk,Bemmel
6681TR,29,,Dwarsdijk,Bemmel
6681TT,30,,Dwarsdijk,Bemmel
6681TR,31,,Dwarsdijk,Bemmel
6681TT,32,,Dwarsdijk,Bemmel
6681TR,33,,Dwarsdijk,Bemmel
6681TT,34,,Dwarsdijk,Bemmel
6681TR,35,,Dwarsdijk,Bemmel
6681TT,36,,Dwarsdijk,Bemmel
6681TR,37,,Dwarsdijk,Bemmel
6681TT,38,,Dwarsdijk,Bemmel
6681TR,39,,Dwarsdijk,Bemmel
6681TR,41,,Dwarsdijk,Bemmel
6681TR,43,,Dwarsdijk,Bemmel
6681TR,45,,Dwarsdijk,Bemmel
6681TR,47,,Dwarsdijk,Bemmel
6681TS,49,,Dwarsdijk,Bemmel
6681TS,51,,Dwarsdijk,Bemmel
6681TS,53,,Dwarsdijk,Bemmel
6681TS,55,,Dwarsdijk,Bemmel
6681TS,57,,Dwarsdijk,Bemmel
6681TS,59,,Dwarsdijk,Bemmel
6681TS,61,,Dwarsdijk,Bemmel
6681TS,63,,Dwarsdijk,Bemmel
6681TS,65,,Dwarsdijk,Bemmel
6681TS,67,,Dwarsdijk,Bemmel
6681TS,69,,Dwarsdijk,Bemmel
6681TS,71,,Dwarsdijk,Bemmel
6681TS,73,,Dwarsdijk,Bemmel
6681TS,75,,Dwarsdijk,Bemmel
6681TS,77,,Dwarsdijk,Bemmel
6681TS,79,,Dwarsdijk,Bemmel
6681TS,81,,Dwarsdijk,Bemmel
6681TS,83,,Dwarsdijk,Bemmel
6681TS,85,,Dwarsdijk,Bemmel
6681TS,87,,Dwarsdijk,Bemmel
6681TS,89,,Dwarsdijk,Bemmel
6681TS,91,,Dwarsdijk,Bemmel
6681TS,93,,Dwarsdijk,Bemmel
6681TS,95,,Dwarsdijk,Bemmel
6681TS,97,,Dwarsdijk,Bemmel
6681TS,99,,Dwarsdijk,Bemmel
6681TS,101,,Dwarsdijk,Bemmel
6681TS,103,,Dwarsdijk,Bemmel
6681TS,105,,Dwarsdijk,Bemmel
6681TS,107,,Dwarsdijk,Bemmel
6681TS,109,,Dwarsdijk,Bemmel
6681GV,1,,Eest,Bemmel
6681GW,2,,Eest,Bemmel
6681GV,3,,Eest,Bemmel
6681GW,4,,Eest,Bemmel
6681GV,5,,Eest,Bemmel
6681GW,6,,Eest,Bemmel
6681GV,7,,Eest,Bemmel
6681GW,8,,Eest,Bemmel
6681GV,9,,Eest,Bemmel
6681GW,10,,Eest,Bemmel
6681GV,11,,Eest,Bemmel
6681GW,12,,Eest,Bemmel
6681GV,13,,Eest,Bemmel
6681GW,14,,Eest,Bemmel
6681GV,15,,Eest,Bemmel
6681GW,16,,Eest,Bemmel
6681GV,17,,Eest,Bemmel
6681GW,18,,Eest,Bemmel
6681GV,19,,Eest,Bemmel
6681GW,20,,Eest,Bemmel
6681GV,21,,Eest,Bemmel
6681GV,23,,Eest,Bemmel
6681GV,25,,Eest,Bemmel
6681GW,26,,Eest,Bemmel
6681GV,27,,Eest,Bemmel
6681GW,28,,Eest,Bemmel
6681GV,29,,Eest,Bemmel
6681GW,30,,Eest,Bemmel
6681GV,31,,Eest,Bemmel
6681GW,32,,Eest,Bemmel
6681GV,33,,Eest,Bemmel
6681GW,34,,Eest,Bemmel
6681GV,35,,Eest,Bemmel
6681GW,36,,Eest,Bemmel
6681GV,37,,Eest,Bemmel
6681GW,38,,Eest,Bemmel
6681GV,39,,Eest,Bemmel
6681GW,40,,Eest,Bemmel
6681GV,41,,Eest,Bemmel
6681GW,42,,Eest,Bemmel
6681GV,43,,Eest,Bemmel
6681GW,44,,Eest,Bemmel
6681GV,45,,Eest,Bemmel
6681GV,47,,Eest,Bemmel
6681GV,49,,Eest,Bemmel
6681GV,51,,Eest,Bemmel
6852NK,1,,Eg,Huissen
6852NK,2,,Eg,Huissen
6852NK,3,,Eg,Huissen
