9351TE,3,,Oostindie,Leek
9351TE,10,,Oostindie,Leek
9354TC,5,,Oostindie,Zevenhuizen
9354TC,7,,Oostindie,Zevenhuizen
9351PE,1,,Oude Zuiderweg,Leek
9351PE,2,,Oude Zuiderweg,Leek
9351PE,3,,Oude Zuiderweg,Leek
9351PE,4,,Oude Zuiderweg,Leek
9351PE,5,,Oude Zuiderweg,Leek
9351PE,6,,Oude Zuiderweg,Leek
9351PE,7,,Oude Zuiderweg,Leek
9351PE,8,,Oude Zuiderweg,Leek
9351PE,9,,Oude Zuiderweg,Leek
9351PE,10,,Oude Zuiderweg,Leek
9351PE,11,,Oude Zuiderweg,Leek
9351PE,12,,Oude Zuiderweg,Leek
9354AG,2,,Oudestreek,Zevenhuizen
9354AC,3,,Oudestreek,Zevenhuizen
9354AG,4,,Oudestreek,Zevenhuizen
9354AC,5,,Oudestreek,Zevenhuizen
9354AG,6,,Oudestreek,Zevenhuizen
9354AC,7,,Oudestreek,Zevenhuizen
9354AG,8,,Oudestreek,Zevenhuizen
9354AC,9,,Oudestreek,Zevenhuizen
9354AG,10,,Oudestreek,Zevenhuizen
9354AG,12,,Oudestreek,Zevenhuizen
9354AC,13,,Oudestreek,Zevenhuizen
9354AG,14,,Oudestreek,Zevenhuizen
9354AC,15,,Oudestreek,Zevenhuizen
9354AG,16,,Oudestreek,Zevenhuizen
9354AG,18,,Oudestreek,Zevenhuizen
9354AC,19,,Oudestreek,Zevenhuizen
9356EH,12,,'t Emmerrik,Tolbert
9356EG,13,,'t Emmerrik,Tolbert
9356EH,14,,'t Emmerrik,Tolbert
9356EG,15,,'t Emmerrik,Tolbert
9356EH,16,,'t Emmerrik,Tolbert
9356EG,17,,'t Emmerrik,Tolbert
9356EG,19,,'t Emmerrik,Tolbert
9356EG,21,,'t Emmerrik,Tolbert
9356EG,23,,'t Emmerrik,Tolbert
9356EG,25,,'t Emmerrik,Tolbert
9356EG,27,,'t Emmerrik,Tolbert
9356EG,29,,'t Emmerrik,Tolbert
9356EL,1,,'t Kaarnhuus,Tolbert
9356EL,3,,'t Kaarnhuus,Tolbert
9356EL,5,,'t Kaarnhuus,Tolbert
9356EL,7,,'t Kaarnhuus,Tolbert
9356EL,9,,'t Kaarnhuus,Tolbert
9356EL,11,,'t Kaarnhuus,Tolbert
9356EL,13,,'t Kaarnhuus,Tolbert
9356EC,1,,'t Oelbred,Tolbert
9356ED,2,,'t Oelbred,Tolbert
9356ED,4,,'t Oelbred,Tolbert
9356EC,3,,'t Oelbred,Tolbert
9356EC,5,,'t Oelbred,Tolbert
9356ED,6,,'t Oelbred,Tolbert
9356EC,7,,'t Oelbred,Tolbert
9356ED,8,,'t Oelbred,Tolbert
9356EC,9,,'t Oelbred,Tolbert
9356ED,10,,'t Oelbred,Tolbert
9356EC,11,,'t Oelbred,Tolbert
9356ED,12,,'t Oelbred,Tolbert
9356EC,13,,'t Oelbred,Tolbert
9356ED,14,,'t Oelbred,Tolbert
9356EC,15,,'t Oelbred,Tolbert
9356ED,16,,'t Oelbred,Tolbert
9356EC,17,,'t Oelbred,Tolbert
9356ED,18,,'t Oelbred,Tolbert
9356EC,19,,'t Oelbred,Tolbert
9356ED,20,,'t Oelbred,Tolbert
9356EC,21,,'t Oelbred,Tolbert
9356ED,22,,'t Oelbred,Tolbert
9356EC,23,,'t Oelbred,Tolbert
9356ED,24,,'t Oelbred,Tolbert
9356EC,25,,'t Oelbred,Tolbert
9356ED,26,,'t Oelbred,Tolbert
9356EC,27,,'t Oelbred,Tolbert
9356ED,28,,'t Oelbred,Tolbert
9356EC,29,,'t Oelbred,Tolbert
9356ED,30,,'t Oelbred,Tolbert
9356EC,31,,'t Oelbred,Tolbert
9356ED,32,,'t Oelbred,Tolbert
9356EC,33,,'t Oelbred,Tolbert
9356ED,34,,'t Oelbred,Tolbert
