2312TV,131,,Middelstegracht,Leiden
2312KE,1,,Middelweg,Leiden
2312RW,12,,Minnebroersgracht,Leiden
2311RA,13,,Molensteeg,Leiden
2312AZ,300,,Morssingel,Leiden
2313PX,28,,Colenbranderstraat,Leiden
2311WB,4,,Commanderijpoort,Leiden
2324HP,14,,Corellistraat,Leiden
2324HP,16,,Corellistraat,Leiden
2324HP,18,,Corellistraat,Leiden
2324HP,48,,Corellistraat,Leiden
2324HR,74,,Corellistraat,Leiden
2324HR,76,,Corellistraat,Leiden
2324HR,78,,Corellistraat,Leiden
2324HR,104,,Corellistraat,Leiden
2324HR,106,,Corellistraat,Leiden
2324HR,108,,Corellistraat,Leiden
2324VA,16,,Cornelis Schuytlaan,Leiden
2324VA,18,,Cornelis Schuytlaan,Leiden
2324VA,32,,Cornelis Schuytlaan,Leiden
2324VA,34,,Cornelis Schuytlaan,Leiden
2324VB,64,,Cornelis Schuytlaan,Leiden
2324VB,66,,Cornelis Schuytlaan,Leiden
2321EH,57,,De Bazelstraat,Leiden
2321XN,41,,De Genestetstraat,Leiden
2313NV,59,,De Goejestraat,Leiden
2313NX,62,,De Goejestraat,Leiden
2313TN,2,,De Sitterlaan,Leiden
2313TR,56,,De Sitterlaan,Leiden
2331PP,98,,Alexandrine Tinneplein,Leiden
2331PP,100,,Alexandrine Tinneplein,Leiden
2331PP,102,,Alexandrine Tinneplein,Leiden
2331PP,104,,Alexandrine Tinneplein,Leiden
2331PP,106,,Alexandrine Tinneplein,Leiden
2331PP,108,,Alexandrine Tinneplein,Leiden
2331PP,110,,Alexandrine Tinneplein,Leiden
2331PP,112,,Alexandrine Tinneplein,Leiden
2331PP,114,,Alexandrine Tinneplein,Leiden
2316PW,14,,Anna van Saksenstraat,Leiden
2331RZ,33,,Annelien Kappeynestraat,Leiden
2324BX,238,,Apollolaan,Leiden
2324CE,426,,Apollolaan,Leiden
2324CJ,572,,Apollolaan,Leiden
2312DC,12,,Apothekersdijk,Leiden
2312DD,26,,Apothekersdijk,Leiden
2333CN,2,,Archimedesweg,Leiden
2311SW,1,,Arend Roelandsteeg,Leiden
2317JP,1,,Atlasvlinder,Leiden
2317JP,5,,Atlasvlinder,Leiden
2312CC,5,,Beestenmarkt,Leiden
2324EN,84,,Beethovenlaan,Leiden
2311EZ,2,,Begijnhof,Leiden
2331HT,65,,Beppy Nooijstraat,Leiden
2321EJ,11,,Berlagestraat,Leiden
2321EJ,13,,Berlagestraat,Leiden
2321EK,25,,Berlagestraat,Leiden
2321EK,27,,Berlagestraat,Leiden
2321EK,29,,Berlagestraat,Leiden
2321EK,33,,Berlagestraat,Leiden
2321EK,37,,Berlagestraat,Leiden
2334EE,55,,Boerhaavelaan,Leiden
2334ES,72,,Boerhaavelaan,Leiden
2334ES,74,,Boerhaavelaan,Leiden
2334ES,76,,Boerhaavelaan,Leiden
2334ES,78,,Boerhaavelaan,Leiden
2334ET,104,,Boerhaavelaan,Leiden
2334ET,106,,Boerhaavelaan,Leiden
2334ET,108,,Boerhaavelaan,Leiden
2334ET,110,,Boerhaavelaan,Leiden
2334EV,168,,Boerhaavelaan,Leiden
2334EV,170,,Boerhaavelaan,Leiden
2334EV,172,,Boerhaavelaan,Leiden
2334EV,174,,Boerhaavelaan,Leiden
2334EL,265,,Boerhaavelaan,Leiden
2334EL,267,,Boerhaavelaan,Leiden
2334EM,337,,Boerhaavelaan,Leiden
2334EM,339,,Boerhaavelaan,Leiden
2334EM,341,,Boerhaavelaan,Leiden
2311EA,9,,Boommarkt,Leiden
2311EA,10,,Boommarkt,Leiden
2315JA,22,,Borneostraat,Leiden
2324LS,2,,Brandts Buyskade,Leiden
2324LE,2,,Jacques Urlusplantsoen,Leiden
2324LS,10,,Brandts Buyskade,Leiden
2324LS,12,,Brandts Buyskade,Leiden
2324LS,34,,Brandts Buyskade,Leiden
2311CG,3,,Breestraat,Leiden
2311CR,6,,Breestraat,Leiden
2311CR,8,,Breestraat,Leiden
2311CH,31,,Breestraat,Leiden
2311CS,32,,Breestraat,Leiden
2311CH,35,,Breestraat,Leiden
2311CS,36,,Breestraat,Leiden
2311CH,41,,Breestraat,Leiden
2311CS,46,,Breestraat,Leiden
2311CS,48,,Breestraat,Leiden
2311CS,50,,Breestraat,Leiden
2311CS,58,,Breestraat,Leiden
2311CJ,59,,Breestraat,Leiden
2311CS,60,,Breestraat,Leiden
2311CJ,61,,Breestraat,Leiden
2311CS,66,,Breestraat,Leiden
2311CS,68,,Breestraat,Leiden
2311CK,85,,Breestraat,Leiden
2311CK,89,,Breestraat,Leiden
2311CK,91,,Breestraat,Leiden
2311CK,93,,Breestraat,Leiden
2311CK,95,,Breestraat,Leiden
2311CL,103,,Breestraat,Leiden
2311CW,108,,Breestraat,Leiden
2311CW,110,,Breestraat,Leiden
2311CL,117,,Breestraat,Leiden
2311CM,125,,Breestraat,Leiden
2311CM,133,,Breestraat,Leiden
2311CX,138,,Breestraat,Leiden
2311CM,139,,Breestraat,Leiden
