51,8223WD,Langezand,Lelystad
52,8223WD,Langezand,Lelystad
54,8223WD,Langezand,Lelystad
55,8223WE,Langezand,Lelystad
43,8223WD,Langezand,Lelystad
44,8223WD,Langezand,Lelystad
32,8223WC,Langezand,Lelystad
33,8223WC,Langezand,Lelystad
36,8223WC,Langezand,Lelystad
39,8223WD,Langezand,Lelystad
41,8223WD,Langezand,Lelystad
28,8223WC,Langezand,Lelystad
29,8223WC,Langezand,Lelystad
17,8223WB,Langezand,Lelystad
20,8223WB,Langezand,Lelystad
21,8223WC,Langezand,Lelystad
22,8223WC,Langezand,Lelystad
24,8223WC,Langezand,Lelystad
25,8223WC,Langezand,Lelystad
27,8223WC,Langezand,Lelystad
120,8224JL,Agoradek,Lelystad
121,8224JL,Agoradek,Lelystad
124,8224JL,Agoradek,Lelystad
128,8224JL,Agoradek,Lelystad
129,8224JM,Agoradek,Lelystad
130,8224JM,Agoradek,Lelystad
26,8226EH,Hollands Diepstraat,Lelystad
3,8225NK,Horst 30,Lelystad
73,8226DK,Vloedstraat,Lelystad
8,8226EE,Hollands Diepstraat,Lelystad
10,8226EE,Hollands Diepstraat,Lelystad
17,8226EE,Hollands Diepstraat,Lelystad
15,8226EE,Hollands Diepstraat,Lelystad
11,8226EE,Hollands Diepstraat,Lelystad
10,8226DD,Getijdenlaan,Lelystad
6,8226DB,Ebstraat,Lelystad
12,8226DB,Ebstraat,Lelystad
3,8226DC,Ebstraat,Lelystad
5,8226DC,Ebstraat,Lelystad
9,8226DC,Ebstraat,Lelystad
11,8226DC,Ebstraat,Lelystad
13,8226DC,Ebstraat,Lelystad
2,8226DB,Ebstraat,Lelystad
3,8225NP,Horst 36,Lelystad
13,8225NN,Horst 35,Lelystad
156,8244BE,Ringdijk,Lelystad
158,8244BE,Ringdijk,Lelystad
23,8225NP,Horst 36,Lelystad
21,8225NP,Horst 36,Lelystad
15,8225NP,Horst 36,Lelystad
13,8225NP,Horst 36,Lelystad
7,8225NP,Horst 36,Lelystad
5,8225NP,Horst 36,Lelystad
154,8244BE,Ringdijk,Lelystad
128,8244BD,Ringdijk,Lelystad
130,8244BE,Ringdijk,Lelystad
132,8244BE,Ringdijk,Lelystad
136,8244BE,Ringdijk,Lelystad
138,8244BE,Ringdijk,Lelystad
140,8244BE,Ringdijk,Lelystad
146,8244BE,Ringdijk,Lelystad
148,8244BE,Ringdijk,Lelystad
96,8244BC,Ringdijk,Lelystad
102,8244BD,Ringdijk,Lelystad
104,8244BD,Ringdijk,Lelystad
106,8244BD,Ringdijk,Lelystad
110,8244BD,Ringdijk,Lelystad
112,8244BD,Ringdijk,Lelystad
114,8244BD,Ringdijk,Lelystad
12,8226JP,Kinselmeerstraat,Lelystad
41,8225AV,Wold 20,Lelystad
43,8225AV,Wold 20,Lelystad
40,8223DP,Zwartewater,Lelystad
42,8223DP,Zwartewater,Lelystad
43,8223DP,Zwartewater,Lelystad
