29,9723DA,Barkmolenstraat,Groningen
89,9734CW,De Waard,Groningen
130,9722WS,Bloemersmaborg,Groningen
12,9746AS,Oscar Wildestraat,Groningen
175,9723DE,Barkmolenstraat,Groningen
60,9734CM,Damsterwaard,Groningen
804,9728HW,Henri Dunantlaan,Groningen
4,9745AH,Verbindingsstraat,Groningen
37,9746AR,Oscar Wildestraat,Groningen
169,9723DE,Barkmolenstraat,Groningen
83,9735BE,Zilvermeer,Groningen
86,9735BE,Zilvermeer,Groningen
716,9728HW,Henri Dunantlaan,Groningen
193,9723DE,Barkmolenstraat,Groningen
235,9723DG,Barkmolenstraat,Groningen
1024,9731CX,Beijumerweg,Groningen
147,9723DD,Barkmolenstraat,Groningen
116,9722WS,Bloemersmaborg,Groningen
24,9734CR,De Waard,Groningen
78,9734CN,Damsterwaard,Groningen
4,9745DJ,De Held,Groningen
8,9734BL,Zonland,Groningen
5,9723DA,Barkmolenstraat,Groningen
9,9746AR,Oscar Wildestraat,Groningen
120,9722WS,Bloemersmaborg,Groningen
39,9734CL,Damsterwaard,Groningen
57,9727DC,Humsterlandlaan,Groningen
38,9734CL,Damsterwaard,Groningen
57,9711HC,Gedempte Zuiderdiep,Groningen
64,9734CM,Damsterwaard,Groningen
38,9734BL,Zonland,Groningen
197,9723DE,Barkmolenstraat,Groningen
18,9714CE,Eyssoniusplein,Groningen
110,9734CT,De Waard,Groningen
183,9734CX,De Waard,Groningen
33,9734CL,Damsterwaard,Groningen
95,9734CW,De Waard,Groningen
30,9734CL,Damsterwaard,Groningen
177,9734CX,De Waard,Groningen
72,9734CN,Damsterwaard,Groningen
173,9734CX,De Waard,Groningen
93,9734CW,De Waard,Groningen
161,9734CX,De Waard,Groningen
239,9723DG,Barkmolenstraat,Groningen
43,9734CL,Damsterwaard,Groningen
67,9745DP,Jakob Israël de Haanstraat,Groningen
9,9734CK,Damsterwaard,Groningen
77,9734CW,De Waard,Groningen
118,9734CT,De Waard,Groningen
191,9723DE,Barkmolenstraat,Groningen
151,9723DD,Barkmolenstraat,Groningen
13,9723DA,Barkmolenstraat,Groningen
67,9734CN,Damsterwaard,Groningen
25,9727DC,Humsterlandlaan,Groningen
69,9734CN,Damsterwaard,Groningen
48,9745DL,Jakob Israël de Haanstraat,Groningen
104,9722WS,Bloemersmaborg,Groningen
64,9745DL,Jakob Israël de Haanstraat,Groningen
42,9734CL,Damsterwaard,Groningen
2,9734CR,De Waard,Groningen
708,9728HW,Henri Dunantlaan,Groningen
107,9713GR,Linnaeusplein,Groningen
8,9734CR,De Waard,Groningen
114,9734CT,De Waard,Groningen
134,9734CT,De Waard,Groningen
145,9723DD,Barkmolenstraat,Groningen
203,9723DG,Barkmolenstraat,Groningen
173,9723DE,Barkmolenstraat,Groningen
36,9734CR,De Waard,Groningen
17,9734CK,Damsterwaard,Groningen
55,9723DB,Barkmolenstraat,Groningen
183,9715SX,Soendastraat,Groningen
189,9723DE,Barkmolenstraat,Groningen
724,9728HW,Henri Dunantlaan,Groningen
17,9712CC,Tussen beide Markten,Groningen
48,9746AB,Anna Blamanstraat,Groningen
148,9722WS,Bloemersmaborg,Groningen
56,9746AS,Oscar Wildestraat,Groningen
23,9723DA,Barkmolenstraat,Groningen
155,9734CX,De Waard,Groningen
58,9745DL,Jakob Israël de Haanstraat,Groningen
24,9734CL,Damsterwaard,Groningen
51,9746AR,Oscar Wildestraat,Groningen
16,9734CK,Damsterwaard,Groningen
1082,9731CW,Beijumerweg,Groningen
68,9734CN,Damsterwaard,Groningen
153,9723DD,Barkmolenstraat,Groningen
139,9723DD,Barkmolenstraat,Groningen
40,9734CL,Damsterwaard,Groningen
45,9746AB,Anna Blamanstraat,Groningen
11,9723DA,Barkmolenstraat,Groningen
205,9723DG,Barkmolenstraat,Groningen
71,9745DP,Jakob Israël de Haanstraat,Groningen
35,9723DA,Barkmolenstraat,Groningen
4,9734CK,Damsterwaard,Groningen
163,9734CX,De Waard,Groningen
63,9745DP,Jakob Israël de Haanstraat,Groningen
181,9734CX,De Waard,Groningen
25,9712RK,Violenhof,Groningen
37,9734CL,Damsterwaard,Groningen
46,9745DL,Jakob Israël de Haanstraat,Groningen
39,9745DN,Jakob Israël de Haanstraat,Groningen
52,9745DL,Jakob Israël de Haanstraat,Groningen
7,9747AS,Zernikeplein,Groningen
86,9711VX,Turfsingel,Groningen
7,9727DC,Humsterlandlaan,Groningen
6,9745DK,Jakob Israël de Haanstraat,Groningen
23,9745DN,Jakob Israël de Haanstraat,Groningen
57,9723DB,Barkmolenstraat,Groningen
21,9723DA,Barkmolenstraat,Groningen
27,9745DN,Jakob Israël de Haanstraat,Groningen
6,9731HK,Kalmoesstraat,Groningen
31,9723DA,Barkmolenstraat,Groningen
98,9713GW,Hanzeplein,Groningen
1050,9731CX,Beijumerweg,Groningen
11,9727DE,Langewoldlaan,Groningen
27,9717AB,Wilhelminakade,Groningen
10,9734CK,Damsterwaard,Groningen
58,9713GW,Hanzeplein,Groningen
15,9745AA,Zuiderweg,Groningen
13,9734BS,Mooiland,Groningen
109,9734CW,De Waard,Groningen
53,9734CV,De Waard,Groningen
103,9734CW,De Waard,Groningen
61,9734CV,De Waard,Groningen
35,9731AR,Koningsweg,Groningen
1,9723BZ,Sontplein,Groningen
4,9723TV,Narvikweg,Groningen
1,9727CD,Onderduikersstraat,Groningen
30,9723HK,Koldingweg,Groningen
19,9711SG,Damsterdiep,Groningen
11,9747AS,Zernikeplein,Groningen
12,9734CD,Ruischerwaard,Groningen
86,9713GW,Hanzeplein,Groningen
121,9734CW,De Waard,Groningen
73,9723DB,Barkmolenstraat,Groningen
24,9731HK,Kalmoesstraat,Groningen
68,9727DD,Langewoldlaan,Groningen
110,9713GW,Hanzeplein,Groningen
8,9731HK,Kalmoesstraat,Groningen
36,9745DL,Jakob Israël de Haanstraat,Groningen
10,9734CD,Ruischerwaard,Groningen
13,9734CV,De Waard,Groningen
47,9727DC,Humsterlandlaan,Groningen
85,9734CN,Damsterwaard,Groningen
5,9734CV,De Waard,Groningen
5,9745DN,Jakob Israël de Haanstraat,Groningen
18,9745DK,Jakob Israël de Haanstraat,Groningen
29,9734CV,De Waard,Groningen
5,9731HK,Kalmoesstraat,Groningen
12,9727DB,Fivelgolaan,Groningen
107,9734CJ,Ruischerwaard,Groningen
65,9734CV,De Waard,Groningen
242,9731HA,Speenkruidstraat,Groningen
260,9731HA,Speenkruidstraat,Groningen
16,9734BS,Mooiland,Groningen
248,9731HA,Speenkruidstraat,Groningen
21,9745DN,Jakob Israël de Haanstraat,Groningen
87,9723DC,Barkmolenstraat,Groningen
129,9734CX,De Waard,Groningen
81,9734CN,Damsterwaard,Groningen
135,9734CX,De Waard,Groningen
59,9727DC,Humsterlandlaan,Groningen
28,9717AB,Wilhelminakade,Groningen
41,9727DC,Humsterlandlaan,Groningen
47,9723DB,Barkmolenstraat,Groningen
23,9746AE,James Baldwinstraat,Groningen
23,9731HK,Kalmoesstraat,Groningen
15,9734CV,De Waard,Groningen
151,9734CX,De Waard,Groningen
258,9731HA,Speenkruidstraat,Groningen
11,9731HK,Kalmoesstraat,Groningen
24,9745DK,Jakob Israël de Haanstraat,Groningen
89,9723DC,Barkmolenstraat,Groningen
10,9723AX,Bornholmstraat,Groningen
1,9728GZ,Flemingstraat,Groningen
2,9721JM,P.C. Hooftlaan,Groningen
298,9732KG,Lichtboei,Groningen
75,9717HB,Kerklaan,Groningen
88,9722HK,De Savornin Lohmanlaan,Groningen
3,9727CV,Gijzelaarslaan,Groningen
11,9727DC,Humsterlandlaan,Groningen
41,9745DP,Jakob Israël de Haanstraat,Groningen
41,9723DB,Barkmolenstraat,Groningen
91,9734CW,De Waard,Groningen
8,9734CK,Damsterwaard,Groningen
15,9727DC,Humsterlandlaan,Groningen
35,9727DC,Humsterlandlaan,Groningen
79,9734CW,De Waard,Groningen
43,9735BC,Zilvermeer,Groningen
44,9745DL,Jakob Israël de Haanstraat,Groningen
17,9727DC,Humsterlandlaan,Groningen
40,9745DL,Jakob Israël de Haanstraat,Groningen
84,9713GW,Hanzeplein,Groningen
100,9713GW,Hanzeplein,Groningen
57,9745DP,Jakob Israël de Haanstraat,Groningen
145,9734CX,De Waard,Groningen
6,9734CK,Damsterwaard,Groningen
47,9745DP,Jakob Israël de Haanstraat,Groningen
157,9734CX,De Waard,Groningen
55,9713GW,Hanzeplein,Groningen
26,9734CL,Damsterwaard,Groningen
88,9734CN,Damsterwaard,Groningen
15,9731HK,Kalmoesstraat,Groningen
37,9727DC,Humsterlandlaan,Groningen
22,9731HK,Kalmoesstraat,Groningen
83,9734CN,Damsterwaard,Groningen
55,9727DC,Humsterlandlaan,Groningen
81,9723DC,Barkmolenstraat,Groningen
16,9745DK,Jakob Israël de Haanstraat,Groningen
5,9712BZ,Soephuisstraatje,Groningen
1036,9731CX,Beijumerweg,Groningen
46,9734CM,Damsterwaard,Groningen
91,9723DC,Barkmolenstraat,Groningen
63,9723DB,Barkmolenstraat,Groningen
3,9727DE,Langewoldlaan,Groningen
2,9721XA,De Mérodelaan,Groningen
45,9736LC,Claremaheerd,Groningen
13,9711LP,Carolieweg,Groningen
26,9711LJ,Herestraat,Groningen
1,9713BS,Kraanvogelstraat,Groningen
1,9713GN,Linnaeusplein,Groningen
16,9727DB,Fivelgolaan,Groningen
106,9713GW,Hanzeplein,Groningen
105,9734CJ,Ruischerwaard,Groningen
97,9734CW,De Waard,Groningen
165,9734CX,De Waard,Groningen
87,9734CW,De Waard,Groningen
240,9731HA,Speenkruidstraat,Groningen
143,9734CX,De Waard,Groningen
53,9745DP,Jakob Israël de Haanstraat,Groningen
41,9734CL,Damsterwaard,Groningen
99,9734CW,De Waard,Groningen
159,9734CX,De Waard,Groningen
53,9723DB,Barkmolenstraat,Groningen
43,9723DB,Barkmolenstraat,Groningen
61,9723DB,Barkmolenstraat,Groningen
27,9723DA,Barkmolenstraat,Groningen
51,9734CV,De Waard,Groningen
33,9734CV,De Waard,Groningen
167,9734CX,De Waard,Groningen
111,9734CW,De Waard,Groningen
93,9734CJ,Ruischerwaard,Groningen
108,9713GW,Hanzeplein,Groningen
292,9715SX,Soendastraat,Groningen
198,9715SX,Soendastraat,Groningen
122,9734CT,De Waard,Groningen
71,9734CV,De Waard,Groningen
63,9734CV,De Waard,Groningen
127,9734CX,De Waard,Groningen
23,9734CV,De Waard,Groningen
17,9731HK,Kalmoesstraat,Groningen
9,9731HK,Kalmoesstraat,Groningen
90,9734CN,Damsterwaard,Groningen
123,9734CW,De Waard,Groningen
25,9745DN,Jakob Israël de Haanstraat,Groningen
20,9731HK,Kalmoesstraat,Groningen
18,9731HK,Kalmoesstraat,Groningen
19,9731HK,Kalmoesstraat,Groningen
86,9734CN,Damsterwaard,Groningen
21,9734CV,De Waard,Groningen
96,9734CJ,Ruischerwaard,Groningen
103,9734CJ,Ruischerwaard,Groningen
61,9727DC,Humsterlandlaan,Groningen
82,9713GW,Hanzeplein,Groningen
39,9734CV,De Waard,Groningen
49,9727DC,Humsterlandlaan,Groningen
262,9731HA,Speenkruidstraat,Groningen
81,9713GW,Hanzeplein,Groningen
10,9727DB,Fivelgolaan,Groningen
67,9734CV,De Waard,Groningen
4,9727DB,Fivelgolaan,Groningen
109,9727AJ,Peizerweg,Groningen
14,9727DD,Langewoldlaan,Groningen
54,9745DL,Jakob Israël de Haanstraat,Groningen
13,9727DC,Humsterlandlaan,Groningen
55,9745DP,Jakob Israël de Haanstraat,Groningen
53,9713GW,Hanzeplein,Groningen
106,9734CJ,Ruischerwaard,Groningen
18,9734CD,Ruischerwaard,Groningen
83,9734CH,Ruischerwaard,Groningen
13,9734CD,Ruischerwaard,Groningen
65,9713GW,Hanzeplein,Groningen
6,9711CH,Kleine Raamstraat,Groningen
113,9734CW,De Waard,Groningen
34,9745DL,Jakob Israël de Haanstraat,Groningen
244,9731HA,Speenkruidstraat,Groningen
69,9723DB,Barkmolenstraat,Groningen
7,9745DN,Jakob Israël de Haanstraat,Groningen
15,9734CD,Ruischerwaard,Groningen
101,9734CJ,Ruischerwaard,Groningen
6,9727DJ,Duurswoldlaan,Groningen
47,9734CV,De Waard,Groningen
42,9745DL,Jakob Israël de Haanstraat,Groningen
83,9734CW,De Waard,Groningen
